公司品牌簡稱,序號,官方網站,產業,員工人數,聯絡人信箱,聯絡人名稱,聯絡人職稱,來源,徵才職缺名稱,說明,備註
全渠運購,,https://www.bcatlogistics.com/,,,support@bcatlogistics.com,官方,無,https://www.104.com.tw/company/1a2x6bj1pu,無徵才,無,已經有官方網站。
超比流行服飾行,,https://tw.shp.ee/Qozt6qu,,,,官方,無,https://www.104.com.tw/company/1a2x6bmxqd,無徵才,無,已經有官方網站。
鉅田潔淨技術,,https://renouvo.net/,,,service@renouvo.net,官方,無,https://www.104.com.tw/company/1a2x6blmp3,無徵才,無,已經有官方網站。
欣義達,,https://www.houchem.com.tw/,,,,官方,無,https://www.104.com.tw/company/d8z56gw,無徵才,無,已經有官方網站。
臻錄貿易,,,,,,官方,無,https://www.104.com.tw/company/18ipw2tk,無徵才,無,已經有官方網站。
卡門國際貿易,,http://www.carmen.com.tw,,,order@carmen.com.tw,官方,無,https://www.104.com.tw/company/1a2x6bmll0,無徵才,無,已經有官方網站。
京仕地板實業,,,,,,官方,無,https://www.104.com.tw/company/13l433og,無徵才,無,已經有官方網站。
鈞禾生物科技,,,,,,官方,無,https://www.104.com.tw/company/1a2x6bmiiw,無徵才,無,已經有官方網站。
鋐川科技,,http://www.hcfeng.com,,,,官方,無,https://www.104.com.tw/company/1a2x6bka27,無徵才,無,已經有官方網站。
物外,,http://www.ystudiostyle.com.tw/,,,ystudio@ystudiostyle.com,官方,無,https://www.104.com.tw/company/1a2x6bjta4,無徵才,無,已經有官方網站。
物外,,http://www.ystudiostyle.com.tw/,,,service@ystudiostyle.com,官方,無,https://www.104.com.tw/company/1a2x6bjta4,無徵才,無,已經有官方網站。
物外,,http://www.ystudiostyle.com.tw/,,,sales@ystudiostyle.com,官方,無,https://www.104.com.tw/company/1a2x6bjta4,無徵才,無,已經有官方網站。
威泰照明,,https://www.weitai-light.com,,,weitai.light@msa.hinet.net,官方,無,https://www.104.com.tw/company/1a2x6biqar,無徵才,無,已經有官方網站。
千百亮國際,,http://happybright.com.tw,,,,官方,無,https://www.104.com.tw/company/1a2x6bl0uz,無徵才,無,已經有官方網站。
雕坊科技,,http://www.signgrafs.com.tw,,,,官方,無,https://www.104.com.tw/company/12pu3itc,無徵才,無,已經有官方網站。
暐旺百貨,,,,,,官方,無,https://www.104.com.tw/company/1a2x6bil6a,無徵才,無,已經有官方網站。
奧克斯,,http://www.twhusky.com.tw/index.php,,,,官方,無,https://www.104.com.tw/company/1a2x6blfxj,無徵才,無,已經有官方網站。
遠景,,https://www.food7-11.com/,,,service@food7-11.com,官方,無,https://www.104.com.tw/company/1a2x6bke2v,無徵才,無,已經有官方網站。
博揚實業,,,,,,官方,無,https://www.104.com.tw/company/1a2x6blycw,無徵才,無,已經有官方網站。
金富泰五金社,,https://www.gft-hardware.com.tw/,,,service@gft-hardware.com.tw,官方,無,https://www.104.com.tw/company/1a2x6biv1u,無徵才,無,已經有官方網站。
