公司名稱,序號,官方網站,產業,員工人數,email,聯絡人名稱,來源,說明,,Scenarios,day1_title,day1_content,day7_title,day7_content,day14_title,day14_content,day30_title,day30_content,day60_title,day60_content
振大環球股份有限公司,,,一般製造業,10-29人,,官方,https://www.104.com.tw/company/13igcmdk,,,Quickey_快記,,,,,,,,,,
禾玖有限公司,,,一般製造業,10-29人,,官方,https://www.104.com.tw/company/1a2x6bi80m,,,Quickey_快記,,,,,,,,,,
宏森富興業股份有限公司,,,一般製造業,10-29人,,官方,https://www.104.com.tw/company/7ld2c28,,,Quickey_快記,,,,,,,,,,
復興加工所,,,一般製造業,10-29人,,官方,https://www.104.com.tw/company/1a2x6bmwhb,,,Quickey_快記,,,,,,,,,,
九寶生技科技有限公司,,,一般製造業,10-29人,,官方,https://www.104.com.tw/company/1a2x6bk0ec,,,Quickey_快記,,,,,,,,,,
帝碩科技股份有限公司,,,一般製造業,10-29人,,官方,https://www.104.com.tw/company/d1b2pqw,,,Quickey_快記,,,,,,,,,,
長杰實業有限公司,,,一般製造業,10-29人,,官方,https://www.104.com.tw/company/1a2x6bkdmy,,,Quickey_快記,,,,,,,,,,
豪豐塗料企業有限公司,,,一般製造業,10-29人,,官方,https://www.104.com.tw/company/1a2x6bii21,,,Quickey_快記,,,,,,,,,,
合盟工程企業股份有限公司,,,一般製造業,10-29人,,官方,https://www.104.com.tw/company/1a2x6bjy07,,,Quickey_快記,,,,,,,,,,
農力國際有限公司,,,一般製造業,10-29人,,官方,https://www.104.com.tw/company/1a2x6bmqgo,,,Quickey_快記,,,,,,,,,,
台灣紐白特商貿有限公司,,,一般製造業,10-29人,,官方,https://www.104.com.tw/company/1a2x6bk41n,,,Quickey_快記,,,,,,,,,,
金博士彩藝紙品有限公司,,,一般製造業,10-29人,,官方,https://www.104.com.tw/company/1a2x6bmmpx,,,Quickey_快記,,,,,,,,,,
威志印刷事業有限公司,,,一般製造業,10-29人,,官方,https://www.104.com.tw/company/whmkhfc,,,Quickey_快記,,,,,,,,,,
大阪國際實業有限公司,,,一般製造業,10-29人,,官方,https://www.104.com.tw/company/1a2x6bibvm,,,Quickey_快記,,,,,,,,,,
金城彈簧股份有限公司,,,一般製造業,10-29人,,官方,https://www.104.com.tw/company/1a2x6bjuke,,,Quickey_快記,,,,,,,,,,
台灣長信佳企業有限公司,,,一般製造業,10-29人,,官方,https://www.104.com.tw/company/1a2x6bku0e,,,Quickey_快記,,,,,,,,,,
晉凱股份有限公司,,,一般製造業,10-29人,,官方,https://www.104.com.tw/company/1a2x6bm44m,,,Quickey_快記,,,,,,,,,,
