公司品牌簡稱,序號,官方網站,產業,員工人數,聯絡人信箱,聯絡人名稱,聯絡人職稱,來源,徵才職缺名稱,說明,備註
粟野,,http://awanofood.com/,,,example@mysite.com,官方,無,https://www.104.com.tw/company/1a2x6bmjwh,無徵才,無,已經有官方網站。已經有電商購物車。
粟野,,http://awanofood.com/,,,info@awanofood.com,官方,無,https://www.104.com.tw/company/1a2x6bmjwh,無徵才,無,已經有官方網站。已經有電商購物車。
粟野,,http://awanofood.com/,,,info@mysite.com,官方,無,https://www.104.com.tw/company/1a2x6bmjwh,無徵才,無,已經有官方網站。已經有電商購物車。
鉅田潔淨技術,,https://renouvo.net/,,,service@renouvo.net,官方,無,https://www.104.com.tw/company/1a2x6blmp3,無徵才,無,已經有官方網站。已經有電商購物車。
欣義達,,https://www.houchem.com.tw/,,,,官方,無,https://www.104.com.tw/company/d8z56gw,無徵才,無,已經有官方網站。
全渠運購,,https://www.bcatlogistics.com/,,,support@bcatlogistics.com,官方,無,https://www.104.com.tw/company/1a2x6bj1pu,無徵才,無,已經有官方網站。
臻錄貿易,,,,,,官方,無,https://www.104.com.tw/company/18ipw2tk,無徵才,無,已經有官方網站。
超比流行服飾行,,https://tw.shp.ee/Qozt6qu,,,,官方,無,https://www.104.com.tw/company/1a2x6bmxqd,無徵才,無,已經有官方網站。已經有電商購物車。
卡門國際貿易,,http://www.carmen.com.tw,,,order@carmen.com.tw,官方,無,https://www.104.com.tw/company/1a2x6bmll0,無徵才,無,已經有官方網站。
京仕地板實業,,,,,,官方,無,https://www.104.com.tw/company/13l433og,無徵才,無,已經有官方網站。
鈞禾生物科技,,,,,,官方,無,https://www.104.com.tw/company/1a2x6bmiiw,無徵才,無,已經有官方網站。
鋐川科技,,http://www.hcfeng.com,,,,官方,無,https://www.104.com.tw/company/1a2x6bka27,無徵才,無,已經有官方網站。
威泰照明,,https://www.weitai-light.com,,,weitai.light@msa.hinet.net,官方,無,https://www.104.com.tw/company/1a2x6biqar,無徵才,無,已經有官方網站。已經有電商購物車。
千百亮國際,,http://happybright.com.tw,,,,官方,無,https://www.104.com.tw/company/1a2x6bl0uz,無徵才,無,已經有官方網站。
