公司名稱,序號,官方網站,產業,員工人數,email,聯絡人名稱,來源,說明,,Scenarios,day1_title,day1_content,day7_title,day7_content,day14_title,day14_content,day30_title,day30_content,day60_title,day60_content
康德生醫股份有限公司,,,一般製造業,100-249人,,官方,https://www.104.com.tw/company/1a2x6bnr4m?jobsource=m_cs_similar,,,大企業_企業內部系統,,,,,,,,,,
奇祁科技有限公司,,,一般製造業,100-249人,,官方,https://www.104.com.tw/company/7f33gco?jobsource=m_cs_similar,,,大企業_企業內部系統,,,,,,,,,,
明基三豐醫療器材股份有限公司,,,一般製造業,100-249人,,官方,https://www.104.com.tw/company/ap3cms0?jobsource=m_cs_similar,,,大企業_企業內部系統,,,,,,,,,,
富士電梯_大業開發工業股份有限公司,,,一般製造業,100-249人,,官方,https://www.104.com.tw/company/7pmhb80,,,大企業_企業內部系統,,,,,,,,,,
晉弘科技股份有限公司,,,一般製造業,100-249人,,官方,https://www.104.com.tw/company/cwxr9hk,,,大企業_企業內部系統,,,,,,,,,,
凡事康流體科技股份有限公司,,,一般製造業,100-249人,,官方,https://www.104.com.tw/company/1a2x6bi7m3,,,大企業_企業內部系統,,,,,,,,,,
榮陞精密工業股份有限公司,,,一般製造業,100-249人,,官方,https://www.104.com.tw/company/13xbnmjs,,,大企業_企業內部系統,,,,,,,,,,
masse瑪謝律動_光昱金屬有限公司,,,一般製造業,100-249人,,官方,https://www.104.com.tw/company/asy7lqo,,,大企業_企業內部系統,,,,,,,,,,
普泉股份有限公司,,,一般製造業,100-249人,,官方,https://www.104.com.tw/company/12s8groo,,,大企業_企業內部系統,,,,,,,,,,
聲遠精密光學股份有限公司,,,一般製造業,100-249人,,官方,https://www.104.com.tw/company/1a2x6bigtu,,,大企業_企業內部系統,,,,,,,,,,
卡羅端科技有限公司,,,一般製造業,100-249人,,官方,https://www.104.com.tw/company/1a2x6bl422,,,大企業_企業內部系統,,,,,,,,,,
THREE YEN SAFETY EQUIPMENT CO.	 LTD._三研興業股份有限公司,,,一般製造業,100-249人,,官方,https://www.104.com.tw/company/5ol4z4w,,,大企業_企業內部系統,,,,,,,,,,
昱銘穎股份有限公司,,,一般製造業,100-249人,,官方,https://www.104.com.tw/company/1a2x6bi12d,,,大企業_企業內部系統,,,,,,,,,,
陸仕企業股份有限公司,,,一般製造業,100-249人,,官方,https://www.104.com.tw/company/12bj32so,,,大企業_企業內部系統,,,,,,,,,,
台兆精密工業股份有限公司,,,一般製造業,100-249人,,官方,https://www.104.com.tw/company/1a2x6bkxct,,,大企業_企業內部系統,,,,,,,,,,
允豐工業股份有限公司,,,一般製造業,100-249人,,官方,https://www.104.com.tw/company/vxrfnds,,,大企業_企業內部系統,,,,,,,,,,
台灣海博特股份有限公司,,,一般製造業,100-249人,,官方,https://www.104.com.tw/company/61nn174,,,大企業_企業內部系統,,,,,,,,,,
仲恒衡器有限公司,,,一般製造業,100-249人,,官方,https://www.104.com.tw/company/7eo6swo,,,大企業_企業內部系統,,,,,,,,,,
明機工業股份有限公司,,,一般製造業,100-249人,,官方,https://www.104.com.tw/company/18tmiqtc,,,大企業_企業內部系統,,,,,,,,,,
台灣三菱電梯股份有限公司,,,一般製造業,100-249人,,官方,https://www.104.com.tw/company/539qvs8?jobsource=m_cs_similar,,,大企業_企業內部系統,,,,,,,,,,
日立永大電梯股份有限公司,,,一般製造業,100-249人,,官方,https://www.104.com.tw/company/54od6eo?jobsource=m_cs_similar,,,大企業_企業內部系統,,,,,,,,,,
富士達股份有限公司,,,一般製造業,100-249人,,官方,https://www.104.com.tw/company/5msub7c?jobsource=m_cs_similar,,,大企業_企業內部系統,,,,,,,,,,
興台實業股份有限公司,,,一般製造業,100-249人,,官方,https://www.104.com.tw/company/1a2x6bk67q,,,大企業_企業內部系統,,,,,,,,,,
鑫永銓股份有限公司,,,一般製造業,100-249人,,官方,https://www.104.com.tw/company/nr3nw34,,,大企業_企業內部系統,,,,,,,,,,
東南實業股份有限公司,,,一般製造業,100-249人,,官方,https://www.104.com.tw/company/589zb48,,,大企業_企業內部系統,,,,,,,,,,
嘉華盛科技股份有限公司,,,一般製造業,100-249人,,官方,https://www.104.com.tw/company/5xlzjrk,,,大企業_企業內部系統,,,,,,,,,,
君牧塑膠科技股份有限公司,,,一般製造業,100-249人,,官方,https://www.104.com.tw/company/z4sii48,,,大企業_企業內部系統,,,,,,,,,,
United Pacific_優洋企業有限公司,,,一般製造業,100-249人,,官方,https://www.104.com.tw/company/1a2x6bljox,,,大企業_企業內部系統,,,,,,,,,,
福國冷凍股份有限公司,,,一般製造業,100-249人,,官方,https://www.104.com.tw/company/13y92bm8,,,大企業_企業內部系統,,,,,,,,,,
奧齒泰有限公司,,,一般製造業,100-249人,,官方,https://www.104.com.tw/company/cnpj67s,,,大企業_企業內部系統,,,,,,,,,,
台灣關西塗料股份有限公司,,,一般製造業,100-249人,,官方,https://www.104.com.tw/company/3mupl0o,,,大企業_企業內部系統,,,,,,,,,,
永光華金屬工業股份有限公司,,,一般製造業,100-249人,,官方,https://www.104.com.tw/company/54tipf4,,,大企業_企業內部系統,,,,,,,,,,
冠昌塑膠企業股份有限公司,,,一般製造業,100-249人,,官方,https://www.104.com.tw/company/x4dgbcg,,,大企業_企業內部系統,,,,,,,,,,
磯鑫工業股份有限公司,,,一般製造業,100-249人,,官方,https://www.104.com.tw/company/o65uh2g,,,大企業_企業內部系統,,,,,,,,,,
國祥冷凍機械股份有限公司,,,一般製造業,100-249人,,官方,https://www.104.com.tw/company/f8lt8y0,,,大企業_企業內部系統,,,,,,,,,,
臺鍍科技股份有限公司,,,一般製造業,100-249人,,官方,https://www.104.com.tw/company/3i9g8bk,,,大企業_企業內部系統,,,,,,,,,,
政鈺機械股份有限公司,,,一般製造業,100-249人,,官方,https://www.104.com.tw/company/12rc8ejc,,,大企業_企業內部系統,,,,,,,,,,
伊日生活・伊聖詩_台灣伊日股份有限公司,,,一般製造業,100-249人,,官方,https://www.104.com.tw/company/1a2x6bi7nd,,,大企業_企業內部系統,,,,,,,,,,
聖杰國際股份有限公司,,,一般製造業,100-249人,,官方,https://www.104.com.tw/company/10rz6ee8,,,大企業_企業內部系統,,,,,,,,,,
興鑫金屬科技股份有限公司,,,一般製造業,100-249人,,官方,https://www.104.com.tw/company/1a2x6bi0li,,,大企業_企業內部系統,,,,,,,,,,
金駿工業股份有限公司,,,一般製造業,100-249人,,官方,https://www.104.com.tw/company/fq3yvtc,,,大企業_企業內部系統,,,,,,,,,,
強淞企業股份有限公司,,,一般製造業,100-249人,,官方,https://www.104.com.tw/company/12uuojuo,,,大企業_企業內部系統,,,,,,,,,,
詠農工業股份有限公司,,,一般製造業,100-249人,,官方,https://www.104.com.tw/company/7i7n9bk,,,大企業_企業內部系統,,,,,,,,,,
福佑電機股份有限公司,,,一般製造業,100-249人,,官方,https://www.104.com.tw/company/avyvq5s,,,大企業_企業內部系統,,,,,,,,,,
偉勝乾燥工業股份有限公司,,,一般製造業,100-249人,,官方,https://www.104.com.tw/company/a5wsm4o,,,大企業_企業內部系統,,,,,,,,,,
同昱能源科技股份有限公司,,,一般製造業,100-249人,,官方,https://www.104.com.tw/company/csh8y74,,,大企業_企業內部系統,,,,,,,,,,
台灣力豐機械股份有限公司,,,一般製造業,100-249人,,官方,https://www.104.com.tw/company/wgltf0w,,,大企業_企業內部系統,,,,,,,,,,
泓鉅精機股份有限公司,,,一般製造業,100-249人,,官方,https://www.104.com.tw/company/1a2x6bkwfp,,,大企業_企業內部系統,,,,,,,,,,
高端疫苗生物製劑股份有限公司,,,一般製造業,100-249人,,官方,https://www.104.com.tw/company/1a2x6bikup,,,大企業_企業內部系統,,,,,,,,,,
華生水資源生技股份有限公司,,,一般製造業,100-249人,,官方,https://www.104.com.tw/company/13od656w,,,大企業_企業內部系統,,,,,,,,,,
俐準企業股份有限公司,,,一般製造業,100-249人,,官方,https://www.104.com.tw/company/12bf86so,,,大企業_企業內部系統,,,,,,,,,,
世佳工業股份有限公司,,,一般製造業,100-249人,,官方,https://www.104.com.tw/company/1a2x6bidlf,,,大企業_企業內部系統,,,,,,,,,,
上煇精密儀器有限公司,,,一般製造業,100-249人,,官方,https://www.104.com.tw/company/18ophvz4,,,大企業_企業內部系統,,,,,,,,,,
美全企業股份有限公司,,,一般製造業,100-249人,,官方,https://www.104.com.tw/company/vgabl4w,,,大企業_企業內部系統,,,,,,,,,,
億川鐵工所股份有限公司,,,一般製造業,100-249人,,官方,https://www.104.com.tw/company/o6i5l88,,,大企業_企業內部系統,,,,,,,,,,
惠光股份有限公司,,,一般製造業,100-249人,,官方,https://www.104.com.tw/company/vy60gwg,,,大企業_企業內部系統,,,,,,,,,,
舒跑、御茶園、每朝_維他露食品股份有限公司,,,一般製造業,100-249人,,官方,https://www.104.com.tw/company/nt0y6u8,,,大企業_企業內部系統,,,,,,,,,,
偉霸工業股份有限公司,,,一般製造業,100-249人,,官方,https://www.104.com.tw/company/a7wthhs,,,大企業_企業內部系統,,,,,,,,,,
好邦科技股份有限公司,,,一般製造業,100-249人,,官方,https://www.104.com.tw/company/fp4l43s?jobsource=m_cs_similar,,,大企業_企業內部系統,,,,,,,,,,
力企科技股份有限公司,,,一般製造業,100-249人,,官方,https://www.104.com.tw/company/1a2x6bnnh9?jobsource=m_cs_similar,,,大企業_企業內部系統,,,,,,,,,,
廷順企業股份有限公司,,,一般製造業,100-249人,,官方,https://www.104.com.tw/company/1a2x6biozn?jobsource=m_cs_similar,,,大企業_企業內部系統,,,,,,,,,,
馬玉山食品工業股份有限公司,,,一般製造業,100-249人,,官方,https://www.104.com.tw/company/119sq88o,,,大企業_企業內部系統,,,,,,,,,,
厚生玻璃工業股份有限公司,,,一般製造業,100-249人,,官方,https://www.104.com.tw/company/1iasrr4,,,大企業_企業內部系統,,,,,,,,,,
謚源實業股份有限公司,,,一般製造業,100-249人,,官方,https://www.104.com.tw/company/abrz034,,,大企業_企業內部系統,,,,,,,,,,
順升昌企業股份有限公司,,,一般製造業,100-249人,,官方,https://www.104.com.tw/company/1a2x6blq0j,,,大企業_企業內部系統,,,,,,,,,,
統益機電工程股份有限公司,,,一般製造業,100-249人,,官方,https://www.104.com.tw/company/aymxv7s,,,大企業_企業內部系統,,,,,,,,,,
威光自動化科技股份有限公司,,,一般製造業,100-249人,,官方,https://www.104.com.tw/company/ln1t754,,,大企業_企業內部系統,,,,,,,,,,
富豪機電股份有限公司,,,一般製造業,100-249人,,官方,https://www.104.com.tw/company/cm2se9s,,,大企業_企業內部系統,,,,,,,,,,
永輝興電機工業股份有限公司,,,一般製造業,100-249人,,官方,https://www.104.com.tw/company/o1toimw,,,大企業_企業內部系統,,,,,,,,,,
榮炭科技股份有限公司,,,一般製造業,100-249人,,官方,https://www.104.com.tw/company/b90hebs,,,大企業_企業內部系統,,,,,,,,,,
慶堂工業股份有限公司,,,一般製造業,100-249人,,官方,https://www.104.com.tw/company/14qt7b7k,,,大企業_企業內部系統,,,,,,,,,,
高島_台灣好家庭實業股份有限公司,,,一般製造業,100-249人,,官方,https://www.104.com.tw/company/5pypec0,,,大企業_企業內部系統,,,,,,,,,,
光多科技股份有限公司,,,一般製造業,100-249人,,官方,https://www.104.com.tw/company/1a2x6bjqr8,,,大企業_企業內部系統,,,,,,,,,,
英展實業股份有限公司,,,一般製造業,100-249人,,官方,https://www.104.com.tw/company/5mj2o94,,,大企業_企業內部系統,,,,,,,,,,
皇將科技股份有限公司,,,一般製造業,100-249人,,官方,https://www.104.com.tw/company/10uxtvug,,,大企業_企業內部系統,,,,,,,,,,
漢特精密工業股份有限公司,,,一般製造業,100-249人,,官方,https://www.104.com.tw/company/crsrxdk,,,大企業_企業內部系統,,,,,,,,,,
東和食品工業股份有限公司,,,一般製造業,100-249人,,官方,https://www.104.com.tw/company/j4wlya0,,,大企業_企業內部系統,,,,,,,,,,
中國砂輪集團_鴻記工業股份有限公司,,,一般製造業,100-249人,,官方,https://www.104.com.tw/company/fqaohcg,,,大企業_企業內部系統,,,,,,,,,,
穎杰鑄造工業股份有限公司,,,一般製造業,100-249人,,官方,https://www.104.com.tw/company/ukyf5vk,,,大企業_企業內部系統,,,,,,,,,,
呷百二自然洋菓子有限公司,,,一般製造業,100-249人,,官方,https://www.104.com.tw/company/1a2x6bitjy?jobsource=m_cs_similar,,,大企業_企業內部系統,,,,,,,,,,
方師傅點心坊_方師傅食品有限公司,,,一般製造業,100-249人,,官方,https://www.104.com.tw/company/1a2x6bibkz?jobsource=m_cs_similar,,,大企業_企業內部系統,,,,,,,,,,
明豪企業有限公司,,,一般製造業,100-249人,,官方,https://www.104.com.tw/company/1a2x6bjui0?jobsource=m_cs_similar,,,大企業_企業內部系統,,,,,,,,,,
高鼎精密材料股份有限公司,,,一般製造業,100-249人,,官方,https://www.104.com.tw/company/agp5374,,,大企業_企業內部系統,,,,,,,,,,
益宗精機股份有限公司,,,一般製造業,100-249人,,官方,https://www.104.com.tw/company/pnx1ebs,,,大企業_企業內部系統,,,,,,,,,,
北裕塑膠工業股份有限公司,,,一般製造業,100-249人,,官方,https://www.104.com.tw/company/111al9m0,,,大企業_企業內部系統,,,,,,,,,,
技高工業股份有限公司,,,一般製造業,100-249人,,官方,https://www.104.com.tw/company/4cy6dmo,,,大企業_企業內部系統,,,,,,,,,,
鴻績工業股份有限公司,,,一般製造業,100-249人,,官方,https://www.104.com.tw/company/1520guds,,,大企業_企業內部系統,,,,,,,,,,
鵬揚工業股份有限公司,,,一般製造業,100-249人,,官方,https://www.104.com.tw/company/10wbzrf4,,,大企業_企業內部系統,,,,,,,,,,
錫燁股份有限公司,,,一般製造業,100-249人,,官方,https://www.104.com.tw/company/1a2x6bmkzh,,,大企業_企業內部系統,,,,,,,,,,
惠新實業股份有限公司,,,一般製造業,100-249人,,官方,https://www.104.com.tw/company/71soybk,,,大企業_企業內部系統,,,,,,,,,,
峰明機械股份有限公司,,,一般製造業,100-249人,,官方,https://www.104.com.tw/company/fr8zo60,,,大企業_企業內部系統,,,,,,,,,,
邦旭股份有限公司,,,一般製造業,100-249人,,官方,https://www.104.com.tw/company/1zucax4,,,大企業_企業內部系統,,,,,,,,,,
MEGANITE_英屬維京群島商寶相有限公司台灣分公司,,,一般製造業,100-249人,,官方,https://www.104.com.tw/company/1a2x6bjayr,,,大企業_企業內部系統,,,,,,,,,,
筌振實業股份有限公司,,,一般製造業,100-249人,,官方,https://www.104.com.tw/company/cvn6jls,,,大企業_企業內部系統,,,,,,,,,,
本土股份有限公司,,,一般製造業,100-249人,,官方,https://www.104.com.tw/company/o98saug,,,大企業_企業內部系統,,,,,,,,,,
柯聯模具精密有限公司,,,一般製造業,100-249人,,官方,https://www.104.com.tw/company/1a2x6bmppc,,,大企業_企業內部系統,,,,,,,,,,
科德寶遠東股份有限公司,,,一般製造業,100-249人,,官方,https://www.104.com.tw/company/aet24mo,,,大企業_企業內部系統,,,,,,,,,,
翰享實業股份有限公司,,,一般製造業,100-249人,,官方,https://www.104.com.tw/company/1116j39k,,,大企業_企業內部系統,,,,,,,,,,
瑞士商福維克有限公司台灣分公司,,,一般製造業,100-249人,,官方,https://www.104.com.tw/company/1a2x6blvo2,,,大企業_企業內部系統,,,,,,,,,,
振鋒企業股份有限公司,,,一般製造業,100-249人,,官方,https://www.104.com.tw/company/7cli60g?jobsource=m_cs_similar,,,大企業_企業內部系統,,,,,,,,,,
臺灣納米科技股份有限公司,,,一般製造業,100-249人,,官方,https://www.104.com.tw/company/5vfsl14?jobsource=m_cs_similar,,,大企業_企業內部系統,,,,,,,,,,
大東樹脂化學股份有限公司,,,一般製造業,100-249人,,官方,https://www.104.com.tw/company/nfkvxxk?jobsource=m_cs_similar,,,大企業_企業內部系統,,,,,,,,,,
萬得富股份有限公司,,,一般製造業,100-249人,,官方,https://www.104.com.tw/company/131eqlmw,,,大企業_企業內部系統,,,,,,,,,,
惠亞工程股份有限公司,,,一般製造業,100-249人,,官方,https://www.104.com.tw/company/3ii0ibc,,,大企業_企業內部系統,,,,,,,,,,
台灣陶氏化學股份有限公司,,,一般製造業,100-249人,,官方,https://www.104.com.tw/company/9rbbgds,,,大企業_企業內部系統,,,,,,,,,,
維格餅家股份有限公司,,,一般製造業,100-249人,,官方,https://www.104.com.tw/company/10z5uvmg,,,大企業_企業內部系統,,,,,,,,,,
LUXGEN_新北智捷汽車股份有限公司,,,一般製造業,100-249人,,官方,https://www.104.com.tw/company/b6zp760,,,大企業_企業內部系統,,,,,,,,,,
益旻工業有限公司,,,一般製造業,100-249人,,官方,https://www.104.com.tw/company/ay8fc9c,,,大企業_企業內部系統,,,,,,,,,,
大甲永和機械工業股份有限公司,,,一般製造業,100-249人,,官方,https://www.104.com.tw/company/q0barq0,,,大企業_企業內部系統,,,,,,,,,,
大安工研食品工廠股份有限公司,,,一般製造業,100-249人,,官方,https://www.104.com.tw/company/1e31ogg,,,大企業_企業內部系統,,,,,,,,,,
台灣小原光學股份有限公司,,,一般製造業,100-249人,,官方,https://www.104.com.tw/company/a5hus8w,,,大企業_企業內部系統,,,,,,,,,,
允統塑膠工業股份有限公司,,,一般製造業,100-249人,,官方,https://www.104.com.tw/company/xuax3q0,,,大企業_企業內部系統,,,,,,,,,,
世康實業股份有限公司,,,一般製造業,100-249人,,官方,https://www.104.com.tw/company/5504uq0,,,大企業_企業內部系統,,,,,,,,,,
曜智實業股份有限公司,,,一般製造業,100-249人,,官方,https://www.104.com.tw/company/5so9ogo,,,大企業_企業內部系統,,,,,,,,,,
冠閤企業股份有限公司,,,一般製造業,100-249人,,官方,https://www.104.com.tw/company/10xlxzw0,,,大企業_企業內部系統,,,,,,,,,,
天生好米_花東製米股份有限公司,,,一般製造業,100-249人,,官方,https://www.104.com.tw/company/18pzlrdk,,,大企業_企業內部系統,,,,,,,,,,
昇揚金屬股份有限公司,,,一般製造業,100-249人,,官方,https://www.104.com.tw/company/12zhmrwo,,,大企業_企業內部系統,,,,,,,,,,
新康運動用品股份有限公司,,,一般製造業,100-249人,,官方,https://www.104.com.tw/company/1a2x6bldy1,,,大企業_企業內部系統,,,,,,,,,,
台灣真珠樂器股份有限公司,,,一般製造業,100-249人,,官方,https://www.104.com.tw/company/pk6o4co,,,大企業_企業內部系統,,,,,,,,,,
慶展螺絲工業股份有限公司,,,一般製造業,100-249人,,官方,https://www.104.com.tw/company/a5fkxhk,,,大企業_企業內部系統,,,,,,,,,,
凱傳工業股份有限公司,,,一般製造業,100-249人,,官方,https://www.104.com.tw/company/13jw6rpc?jobsource=m_cs_similar,,,大企業_企業內部系統,,,,,,,,,,
亞律渼企業有限公司,,,一般製造業,100-249人,,官方,https://www.104.com.tw/company/1a2x6bjam3?jobsource=m_cs_similar,,,大企業_企業內部系統,,,,,,,,,,
