項次,行業分類,發票日期,發票號碼,廠商名稱,統一編號,品名,數量,單價,品項小計,未稅金額(整筆),營業稅額(整筆),含稅總計(整筆),備註
1,免洗餐具,2026-07-01,EM-11223301,興隆包裝免洗餐具,53291042,紙餐盒(500入/箱),2,450,900,"1,533",77,"1,610",年中活動免洗餐具採購
2,免洗餐具,2026-07-01,EM-11223301,興隆包裝免洗餐具,53291042,免洗竹筷(1000雙/包),1,350,350,"1,533",77,"1,610",年中活動免洗餐具採購
3,免洗餐具,2026-07-01,EM-11223301,興隆包裝免洗餐具,53291042,塑膠湯匙(500入/包),2,180,360,"1,533",77,"1,610",年中活動免洗餐具採購
4,免洗餐具,2026-07-02,EM-11223302,佳豪紙業有限公司,24591023,環保防燙紙杯(1000入),3,600,"1,800","2,905",145,"3,050",同仁餐廳紙杯物料補充
5,免洗餐具,2026-07-02,EM-11223302,佳豪紙業有限公司,24591023,加厚免洗紙碗(200入),5,250,"1,250","2,905",145,"3,050",同仁餐廳紙杯物料補充
6,免洗餐具,2026-07-04,EM-11223303,綠大地環保資材行,80439102,植纖雙格餐盒(100入),10,320,"3,200","3,619",181,"3,800",外帶植纖餐盒新品試用
7,免洗餐具,2026-07-04,EM-11223303,綠大地環保資材行,80439102,可降解環保吸管(500入),4,150,600,"3,619",181,"3,800",外帶植纖餐盒新品試用
8,免洗餐具,2026-07-05,EM-11223304,瑞豐塑膠包材行,16294035,耐熱PP袋(5斤裝/捆),15,85,"1,275","2,357",118,"2,475",廚房打包用耐熱袋採購
9,免洗餐具,2026-07-05,EM-11223304,瑞豐塑膠包材行,16294035,手提式塑膠袋(大/包),10,120,"1,200","2,357",118,"2,475",廚房打包用耐熱袋採購
10,免洗餐具,2026-07-07,EM-11223305,大聯紙器工業,04392015,五層硬質網購紙箱(中),100,25,"2,500","3,238",162,"3,400",寄送週邊專用加厚紙箱
11,免洗餐具,2026-07-07,EM-11223305,大聯紙器工業,04392015,OPP封箱膠帶(6捲裝),5,180,900,"3,238",162,"3,400",寄送週邊專用加厚紙箱
12,超級市場,2026-07-08,EM-11223306,全聯福利中心大安店,24240311,澎湃零食分享包,5,299,"1,495","3,504",175,"3,679",辦公室節慶拜拜零食採購
13,超級市場,2026-07-08,EM-11223306,全聯福利中心大安店,24240311,大包裝科學麵(40入/箱),2,192,384,"3,504",175,"3,679",辦公室節慶拜拜零食採購
14,超級市場,2026-07-08,EM-11223306,全聯福利中心大安店,24240311,綜合堅果隨手包禮盒,4,450,"1,800","3,504",175,"3,679",辦公室節慶拜拜零食採購
15,超級市場,2026-07-10,EM-11223307,家樂福超市中山店,23243202,UCC職人精選咖啡粉,6,189,"1,134","1,594",80,"1,674",公共茶水間茶包與咖啡補充
16,超級市場,2026-07-10,EM-11223307,家樂福超市中山店,23243202,立頓黃牌紅茶(100入),4,135,540,"1,594",80,"1,674",公共茶水間茶包與咖啡補充
17,超級市場,2026-07-11,EM-11223308,美廉社板橋店,28492013,黑松沙士(6入罐裝),8,115,920,"1,600",80,"1,680",專案加班同仁夜間飲品補給
18,超級市場,2026-07-11,EM-11223308,美廉社板橋店,28492013,茶裏王日式綠茶(24入/箱),2,380,760,"1,600",80,"1,680",專案加班同仁夜間飲品補給
19,超級市場,2026-07-12,EM-11223309,楓康超市新竹店,52731049,進口富士蘋果(6入袋),5,159,795,"2,273",114,"2,387",商務研討會水果拼盤採購
20,超級市場,2026-07-12,EM-11223309,楓康超市新竹店,52731049,溫室高山無籽葡萄(盒),8,199,"1,592","2,273",114,"2,387",商務研討會水果拼盤採購
21,超級市場,2026-07-14,EM-11223310,洛寶高檔生鮮超市,22643091,魔術靈強效廚房清潔劑,4,79,316,"2,044",102,"2,146",辦公室日常清潔物資政府採購
22,超級市場,2026-07-14,EM-11223310,洛寶高檔生鮮超市,22643091,妙管家高效洗碗精(大罐),6,65,390,"2,044",102,"2,146",辦公室日常清潔物資政府採購
23,超級市場,2026-07-14,EM-11223310,洛寶高檔生鮮超市,22643091,舒潔抽取式衛生紙(箱裝),2,720,"1,440","2,044",102,"2,146",辦公室日常清潔物資政府採購
24,建材及五金批發,2026-07-15,EM-11223311,特力屋五金建材批發,84302911,牧田專業級電動起子機,1,"3,850","3,850","6,762",338,"7,100",公務空間天花板修繕備品
25,建材及五金批發,2026-07-15,EM-11223311,特力屋五金建材批發,84302911,不鏽鋼膨脹螺絲(百入),3,450,"1,350","6,762",338,"7,100",公務空間天花板修繕備品
26,建材及五金批發,2026-07-15,EM-11223311,特力屋五金建材批發,84302911,水性防霉矽利康(支),20,95,"1,900","6,762",338,"7,100",公務空間天花板修繕備品
27,建材及五金批發,2026-07-16,EM-11223312,國王建材貿易行,16092104,高密度防潮石膏板(坪),15,650,"9,750","13,857",693,"14,550",隔間裝潢輕鋼架及石膏板材料
28,建材及五金批發,2026-07-16,EM-11223312,國王建材貿易行,16092104,輕鋼架專用主架(支),40,120,"4,800","13,857",693,"14,550",隔間裝潢輕鋼架及石膏板材料
29,建材及五金批發,2026-07-18,EM-11223313,東大五金材料有限公司,53792014,三合一智慧防盜電子鎖,2,"8,500","17,000","18,667",933,"19,600",機房大門安全電子鎖更換
30,建材及五金批發,2026-07-18,EM-11223313,東大五金材料有限公司,53792014,重型抗噪不鏽鋼門把,4,650,"2,600","18,667",933,"19,600",機房大門安全電子鎖更換
31,建材及五金批發,2026-07-20,EM-11223314,鑫鋼鐵材批發廠,04521039,萬能黑鐵角鐵(10尺/支),30,180,"5,400","6,333",317,"6,650",戶外宣傳展示架專用鐵材
32,建材及五金批發,2026-07-20,EM-11223314,鑫鋼鐵材批發廠,04521039,高強度角鐵螺絲墊片組,5,250,"1,250","6,333",317,"6,650",戶外宣傳展示架專用鐵材
33,建材及五金批發,2026-07-22,EM-11223315,宏達水泥建材行,28421034,品牌優質波特蘭水泥(包),10,220,"2,200","4,762",238,"5,000",園區外圍路面地坪凹陷修補
34,建材及五金批發,2026-07-22,EM-11223315,宏達水泥建材行,28421034,建築專用過篩細砂(包),20,70,"1,400","4,762",238,"5,000",園區外圍路面地坪凹陷修補
35,建材及五金批發,2026-07-22,EM-11223315,宏達水泥建材行,28421034,強效耐候型益膠泥,5,280,"1,400","4,762",238,"5,000",園區外圍路面地坪凹陷修補
36,超級市場,2026-07-24,EM-11223316,好市多內湖店,97438102,科克蘭全脂鮮乳(兩入組),6,269,"1,614","5,577",279,"5,856",員工餐飲福利大宗常態採購
37,超級市場,2026-07-24,EM-11223316,好市多內湖店,97438102,科克蘭三層抽取衛生紙(30入),5,399,"1,995","5,577",279,"5,856",員工餐飲福利大宗常態採購
