項次,發票日期,發票號碼,廠商名稱,統一編號,品名,數量,單價,小計,未稅金額(整筆),營業稅額(整筆),含稅總計(整筆),備註
1,2026-06-01,DM-88291032,麥當勞台北昆明店,22012403,大麥克豪麥全餐,2,145,290,362,18,380,部門主管例會餐點
2,2026-06-01,DM-88291032,麥當勞台北昆明店,22012403,蛋捲冰淇淋,5,18,90,362,18,380,部門主管例會餐點
3,2026-06-02,DM-88291033,50嵐長春店,28456712,珍珠奶茶(大杯),10,60,600,714,36,750,迎新活動下午茶
4,2026-06-02,DM-88291033,50嵐長春店,28456712,四季春茶(中杯),5,30,150,714,36,750,迎新活動下午茶
5,2026-06-03,DM-88291034,鼎泰豐信義店,04473205,絲瓜蝦仁小籠包(10入),2,340,680,"2,076",104,"2,180",核心客戶商務晚宴
6,2026-06-03,DM-88291034,鼎泰豐信義店,04473205,蝦仁蛋炒飯,3,270,810,"2,076",104,"2,180",核心客戶商務晚宴
7,2026-06-03,DM-88291034,鼎泰豐信義店,04473205,元盅雞湯,3,230,690,"2,076",104,"2,180",核心客戶商務晚宴
8,2026-06-05,DM-88291035,八方雲集南京店,16843021,招牌鮮肉鍋貼,50,7,350,643,32,675,加班同仁晚餐
9,2026-06-05,DM-88291035,八方雲集南京店,16843021,酸辣湯,5,35,175,643,32,675,加班同仁晚餐
10,2026-06-05,DM-88291035,八方雲集南京店,16843021,寒天真傳紅茶,5,30,150,643,32,675,加班同仁晚餐
11,2026-06-06,DM-88291036,星巴克重慶門市,16097091,那堤(特大杯),6,150,900,"1,181",59,"1,240",跨部門專案會議
12,2026-06-06,DM-88291036,星巴克重慶門市,16097091,巧克力可頌,4,85,340,"1,181",59,"1,240",跨部門專案會議
13,2026-06-08,DM-88291037,梁社漢排骨民生店,50792144,炸排骨飯便當,8,115,920,"1,543",77,"1,620",執行團隊午餐便當
14,2026-06-08,DM-88291037,梁社漢排骨民生店,50792144,炸雞腿麵,4,130,520,"1,543",77,"1,620",執行團隊午餐便當
15,2026-06-08,DM-88291037,梁社漢排骨民生店,50792144,蜂蜜香檸茶,6,30,180,"1,543",77,"1,620",執行團隊午餐便當
16,2026-06-10,DM-88291038,すき家 SUKIYA古亭店,54372910,牛肉丼(中碗),5,89,445,733,37,770,值班人員晚班餐點
17,2026-06-10,DM-88291038,すき家 SUKIYA古亭店,54372910,青菜套餐(附湯),5,40,200,733,37,770,值班人員晚班餐點
18,2026-06-10,DM-88291038,すき家 SUKIYA古亭店,54372910,溫泉蛋,5,25,125,733,37,770,值班人員晚班餐點
19,2026-06-11,DM-88291039,鬍鬚張魯肉飯承德店,04593288,魯肉飯(大碗),10,59,590,"1,324",66,"1,390",股東會工作人員便當
20,2026-06-11,DM-88291039,鬍鬚張魯肉飯承德店,04593288,貢丸湯,10,35,350,"1,324",66,"1,390",股東會工作人員便當
21,2026-06-11,DM-88291039,鬍鬚張魯肉飯承德店,04593288,唐山排骨,5,90,450,"1,324",66,"1,390",股東會工作人員便當
22,2026-06-12,DM-88291040,珍煮丹信義店,42681023,黑糖珍珠鮮奶(大杯),8,75,600,905,45,950,暑期慰勞研發部飲品
23,2026-06-12,DM-88291040,珍煮丹信義店,42681023,泰泰鮮奶茶(大杯),5,70,350,905,45,950,暑期慰勞研發部飲品
24,2026-06-14,DM-88291041,摩斯漢堡松江店,23525982,燒肉珍珠堡,12,100,"1,200","1,914",96,"2,010",策略規劃工作坊早餐
25,2026-06-14,DM-88291041,摩斯漢堡松江店,23525982,摩斯紅茶(L),12,40,480,"1,914",96,"2,010",策略規劃工作坊早餐
26,2026-06-14,DM-88291041,摩斯漢堡松江店,23525982,金黃薯條,6,55,330,"1,914",96,"2,010",策略規劃工作坊早餐
27,2026-06-15,DM-88291042,瓦城泰國料理復興店,23223023,原味月亮蝦餅,2,385,770,"2,324",116,"2,440",第二季慶生會聚餐
28,2026-06-15,DM-88291042,瓦城泰國料理復興店,23223023,風味椒麻雞,2,315,630,"2,324",116,"2,440",第二季慶生會聚餐
29,2026-06-15,DM-88291042,瓦城泰國料理復興店,23223023,綠咖哩椰汁雞,2,295,590,"2,324",116,"2,440",第二季慶生會聚餐
30,2026-06-15,DM-88291042,瓦城泰國料理復興店,23223023,泰國茉莉香米飯,10,45,450,"2,324",116,"2,440",第二季慶生會聚餐
31,2026-06-17,DM-88291043,春水堂光復店,84392011,功夫麵,5,110,550,"1,414",71,"1,485",外部顧問接待餐敘
32,2026-06-17,DM-88291043,春水堂光復店,84392011,珍珠奶茶(S),5,100,500,"1,414",71,"1,485",外部顧問接待餐敘
33,2026-06-17,DM-88291043,春水堂光復店,84392011,招牌滷味豆干,3,145,435,"1,414",71,"1,485",外部顧問接待餐敘
34,2026-06-18,DM-88291044,大戶屋民權店,28491034,雞肉蔬菜燴黑醋定食,4,320,"1,280","2,362",118,"2,480",行銷部績效達標慶功
