交易日期,開盤,最高,最低,收盤,漲跌,漲跌%,振幅%,成交億元,成交均張,外資,投信,自營,法人合計,融資餘額億,融資增減億,融券餘額萬,融券增減萬,5日均線,10日均線,20日均線,60日均線,120日均線,240日均線,5日平均成交量,10日平均成交量,20日平均成交量
2026/03/04,"34,228.75","34,228.75","32,828.88","32,828.88","-1,494.77",-4.35,4.08,"10,993.39",1.99,-965,67.3,-400,"-1,297",-,-,-,-,"34,615.04","34,063.26","33,105.61","30,479.13","28,539.73","25,271.09","10,910.04","9,298.56","8,665.76"
2026/03/03,"35,106.22","35,264.59","34,323.65","34,323.65",-771.44,-2.20,2.68,"11,132.33",2.02,-947,39.2,-247,"-1,155","3,844",-71.6,24.5,-1.01,"34,989.42","33,958.66","33,062.24","30,388.81","28,468.12","25,228.37","10,434.98","8,899.54","8,525.31"
2026/03/02,"35,277.48","35,345.72","34,605.36","35,095.09",-319.40,-0.9,2.09,"10,140.40",2.21,-390,83.2,-125,-432,"3,916",17.6,25.5,-1.99,"34,879.35","33,706.42","32,933.36","30,265.28","28,386.43","25,180.00","10,108.50","8,501.47","8,375.99"
2026/02/26,"35,457.76","35,579.34","35,171.52","35,414.49",1.42,0,1.15,"12,078.37",2.55,-106,-10.6,-18,-134,"3,899",67.3,27.5,0.03,"34,581.47","33,425.89","32,740.93","30,122.10","28,296.51","25,129.07","9,479.00","8,192.08","8,318.62"
2026/02/25,"34,753.31","35,521.54","34,753.31","35,413.07",712.25,2.05,2.21,"10,205.71",2.54,411,51.2,-38.3,424,"3,831",56.3,27.4,-0.72,"34,113.17","33,103.98","32,558.20","29,972.44","28,203.70","25,075.66","8,420.31","7,805.81","8,114.52"
2026/02/24,"34,020.71","34,786.42","33,987.51","34,700.82",927.56,2.75,2.37,"8,618.09",2.52,627,61.6,153,842,"3,775",53,28.2,2.56,"33,511.48","32,725.08","32,369.51","29,839.33","28,106.63","25,022.93","7,687.09","7,556.66","8,015.95"
2026/02/23,"33,663.02","34,212.38","33,663.02","33,773.26",167.55,0.5,1.63,"9,499.93",2.38,83.5,-20,-115,-51,"3,722",47,25.6,0.79,"32,927.90","32,461.37","32,204.91","29,703.99","28,017.14","24,974.40","7,364.09","7,636.18","8,010.77"
2026/02/11,"33,086.15","33,707.83","33,071.67","33,605.71",532.74,1.61,1.92,"6,992.92",2.28,524,40.9,13.7,578,"3,680",-45,24.8,-0.18,"32,533.50","32,337.67","32,056.77","29,587.04","27,932.58","24,931.18","6,894.45","7,645.83","7,871.75"
2026/02/10,"32,439.71","33,072.97","32,439.71","33,072.97",668.35,2.06,1.95,"6,784.91",2.19,557,46.7,28,632,"3,726",-29,25,-1,"32,270.32","32,257.48","31,923.58","29,484.40","27,855.47","24,888.18","6,905.15","7,800.46","7,863.10"
2026/02/09,"31,956.21","32,666.05","31,956.21","32,404.62",621.70,1.96,2.23,"6,539.58",2.38,248,8.96,107,363,"3,755",15,26,-0.23,"32,094.80","32,181.98","31,805.29","29,389.80","27,783.89","24,848.57","7,191.32","7,939.58","7,898.44"
2026/02/06,"31,746.44","31,842.62","31,164.28","31,782.92",-18.35,-0.06,2.13,"7,003.13",2.33,-71.5,67.6,-189,-193,"3,740",-89,26.2,-0.44,"31,938.68","32,147.97","31,713.42","29,314.79","27,716.64","24,812.43","7,426.24","8,032.96","7,884.67"
2026/02/05,"32,241.64","32,241.64","31,769.08","31,801.27",-488.54,-1.51,1.46,"7,151.69",2.26,-727,31.6,-209,-904,"3,829",-11,26.7,-1.05,"31,994.84","32,165.83","31,638.73","29,250.86","27,653.76","24,777.86","7,908.26","8,151.08","7,886.70"
2026/02/04,"32,196.57","32,380.00","31,942.28","32,289.81",94.45,0.29,1.36,"7,046.44",2.49,121,58.2,-16.7,162,"3,840",19,27.7,1.13,"32,141.84","32,160.31","31,566.69","29,183.92","27,591.83","24,743.71","8,397.22","8,250.50","7,908.75"
2026/02/03,"31,737.66","32,293.83","31,737.66","32,195.36",571.33,1.81,1.76,"8,215.74",2.45,72.7,106,-69,110,"3,821",33,26.6,-1.47,"32,244.65","32,055.96","31,473.97","29,110.25","27,524.07","24,707.77","8,695.78","8,445.17","7,997.29"
2026/02/02,"32,008.46","32,008.46","31,359.95","31,624.03",-439.72,-1.37,2.02,"7,714.20",2.04,-480,49.5,-105,-536,"3,788",-50,28.1,-1,"32,269.16","32,012.43","31,393.02","29,034.51","27,456.91","24,671.57","8,687.84","8,423.23","7,968.13"
2026/01/30,"32,555.52","32,555.52","32,004.96","32,063.75",-472.52,-1.45,1.69,"9,413.21",2.14,-512,-33,-94,-639,"3,839",21,28.7,-1.88,"32,357.26","32,013.95","31,317.07","28,972.44","27,393.55","24,636.27","8,639.68","8,475.24","7,982.81"
2026/01/29,"32,828.02","32,996.03","32,472.45","32,536.27",-267.55,-0.82,1.6,"9,596.52",2.26,147,-29.6,-134,-17,"3,818",-31,30.6,0.15,"32,336.81","31,948.45","31,181.37","28,899.99","27,326.38","24,600.17","8,393.89","8,385.37","7,847.04"
2026/01/28,"32,381.76","32,803.82","32,381.76","32,803.82",485.90,1.5,1.31,"8,539.22",2.36,333,-13.9,-19,300,"3,849",22,30.5,0.5,"32,178.77","31,775.88","31,002.74","28,826.33","27,250.64","24,561.64","8,103.78","8,097.67","7,641.43"
2026/01/27,"32,095.08","32,428.17","32,095.08","32,317.92",253.40,0.79,1.04,"8,176.05",2.37,223,-50.2,53,226,"3,827",12,30,-0.57,"31,867.28","31,589.67","30,797.91","28,751.84","27,174.45","24,522.39","8,194.56","7,925.73","7,449.41"
2026/01/26,"32,002.56","32,196.75","31,989.86","32,064.52",103.01,0.32,0.65,"7,473.39",2.31,-14.9,-41.3,-33,-89,"3,816",55,30.5,0.75,"31,755.69","31,428.60","30,622.55","28,683.77","27,099.96","24,484.62","8,158.62","7,857.31","7,275.13"
2026/01/23,"31,788.77","32,042.44","31,693.15","31,961.51",215.43,0.68,1.1,"8,184.29",2.30,232,-8.38,47,271,"3,761",43,29.8,-1,"31,670.65","31,278.88","30,447.13","28,620.82","27,028.04","24,448.84","8,310.80","7,736.38","7,123.46"
2026/01/22,"31,371.13","31,890.62","31,371.13","31,746.08",499.71,1.6,1.66,"8,145.96",2.41,193,-19.2,70,244,"3,717",40,31.2,0,"31,560.09","31,111.63","30,267.65","28,559.70","26,957.88","24,412.82","8,376.85","7,622.32","6,933.78"
2026/01/21,"31,749.14","31,749.14","31,200.76","31,246.37",-513.62,-1.62,1.73,"8,993.09",2.21,-446,-175,-156,-776,"3,678",-35,31.3,0.1,"31,372.99","30,973.07","30,095.87","28,496.42","26,888.85","24,377.05","8,091.56","7,566.99","6,742.48"
2026/01/20,"31,584.34","31,759.99","31,340.10","31,759.99",120.70,0.38,1.33,"7,996.39",2.30,-39.8,-88,-29,-157,"3,712",18,31.2,0,"31,312.07","30,891.98","29,941.04","28,442.21","26,821.81","24,341.83","7,656.91","7,549.42","6,545.06"
2026/01/19,"31,336.77","31,827.39","31,285.53","31,639.29",230.59,0.73,1.73,"8,234.28",2.31,-278,-131,-53,-462,"3,694",60,31.5,-0.65,"31,101.51","30,773.61","29,737.85","28,371.75","26,752.25","24,304.06","7,555.99","7,513.02","6,429.40"
2026/01/16,"30,844.63","31,475.22","30,844.63","31,408.70",598.12,1.94,2.05,"8,514.52",2.37,399,-77.2,51,373,"3,634",41,32.2,-2,"30,887.11","30,620.19","29,529.32","28,305.24","26,683.29","24,270.25","7,161.95","7,490.39","6,247.71"
2026/01/15,"30,746.98","30,877.31","30,663.87","30,810.58",-131.20,-0.42,0.69,"6,719.54",2.38,-2.1,-27.8,-58.4,-88.3,"3,593",8.46,33.8,1.45,"30,663.17","30,414.30","29,335.14","28,244.30","26,616.33","24,236.47","6,867.79","7,308.72","6,084.40"
2026/01/14,"30,742.53","30,994.81","30,742.53","30,941.78",234.56,0.76,0.82,"6,819.83",2.42,133,-65.1,71,139,"3,585",28,32.3,-0.32,"30,573.16","30,229.60","29,171.44","28,192.27","26,553.90","24,205.03","7,042.42","7,185.19","6,022.01"
2026/01/13,"30,630.86","30,973.85","30,529.33","30,707.22",139.93,0.46,1.45,"7,491.79",2.46,157,-67.7,39,128,"3,556",-9,32.7,1,"30,471.90","30,006.14","29,017.70","28,131.61","26,487.62","24,172.56","7,441.93","6,973.08","5,906.89"
2026/01/12,"30,472.70","30,681.99","30,472.70","30,567.29",278.33,0.92,0.69,"6,264.08",2.51,-122,-100,77,-145,"3,565",50,31.9,0.19,"30,445.71","29,816.50","28,892.24","28,080.62","26,426.23","24,140.55","7,470.05","6,692.96","5,776.63"
2026/01/09,"30,370.45","30,500.42","29,925.49","30,288.96",-71.59,-0.24,1.89,"7,043.71",2.45,-84.4,-47.3,20,-112,"3,515",-9,31.7,-2,"30,353.26","29,615.38","28,765.11","28,025.76","26,366.36","24,107.00","7,818.82","6,510.55","5,731.99"
2026/01/08,"30,330.58","30,593.49","30,268.36","30,360.55",-74.92,-0.25,1.07,"7,592.71",2.45,-6.78,-55.3,-53,-115,"3,524",-47,34.2,-0.24,"30,165.43","29,423.68","28,670.70","27,967.50","26,306.56","24,075.78","7,749.64","6,245.24","5,634.37"
2026/01/07,"30,412.32","30,570.26","30,306.16","30,435.47",-140.83,-0.46,0.86,"8,817.37",2.57,-295,-82.1,23,-354,"3,571",25,34.4,-0.97,"29,886.04","29,218.67","28,561.81","27,910.22","26,245.58","24,042.98","7,327.95","5,917.96","5,517.00"
2026/01/06,"29,933.65","30,576.30","29,933.65","30,576.30",471.26,1.57,2.13,"7,632.37",2.58,28.4,-27.8,92,93,"3,545",36,35.4,3,"29,540.38","28,990.09","28,455.22","27,857.99","26,182.25","24,012.05","6,504.22","5,540.69","5,295.28"
2026/01/05,"29,779.70","30,339.32","29,779.70","30,105.04",755.23,2.57,1.91,"8,007.94",2.49,-76.4,-3.11,107,28,"3,509",43,32.7,0,"29,187.29","28,702.09","28,325.45","27,799.45","26,115.91","23,980.82","5,915.87","5,345.79","5,142.28"
2026/01/02,"29,016.68","29,363.43","29,007.75","29,349.81",386.21,1.33,1.23,"6,697.82",2.46,120,-41.9,112,191,"3,466",32,32.5,1.15,"28,877.49","28,438.44","28,209.98","27,751.23","26,054.62","23,952.92","5,202.27","5,005.03","4,940.88"
2025/12/31,"28,723.49","29,009.81","28,687.90","28,963.60",256.47,0.89,1.12,"5,484.25",2.55,-5.19,-28.7,-34,-68,"3,434",20,31.4,0.14,"28,681.92","28,255.98","28,132.15","27,708.08","25,999.15","23,929.17","4,740.83","4,860.07","4,834.63"
2025/12/30,"28,723.82","28,833.03","28,553.64","28,707.13",-103.76,-0.36,0.97,"4,698.72",2.54,44.7,-40.8,22,26,"3,414",15,31.3,0.57,"28,551.30","28,113.28","28,062.18","27,664.99","25,945.51","23,906.61","4,507.97","4,858.84","4,803.68"
2025/12/29,"28,662.79","28,841.64","28,595.35","28,810.89",254.87,0.89,0.86,"4,690.62",2.51,95.1,-13.1,68,150,"3,399",-5,30.7,0.11,"28,439.80","28,029.27","27,993.95","27,619.59","25,892.64","23,882.44","4,577.17","4,840.70","4,815.47"
2025/12/26,"28,443.48","28,590.91","28,404.34","28,556.02",184.04,0.65,0.66,"4,439.94",2.51,84.2,-52.6,65,97,"3,403",14,30.6,1.57,"28,216.89","27,967.98","27,934.73","27,569.75","25,839.46","23,857.53","4,775.70","4,860.29","4,825.88"
2025/12/24,"28,383.61","28,486.38","28,280.59","28,371.98",61.51,0.22,0.73,"4,390.62",2.50,-38,-47,98,13,"3,389",13,29,1.04,"27,999.39","27,914.85","27,884.65","27,520.16","25,789.39","23,834.53","4,807.78","4,953.43","4,857.14"
2025/12/23,"28,253.14","28,350.37","28,212.84","28,310.47",160.83,0.57,0.49,"4,319.94",2.53,-81.8,18,81,18,"3,376",24,28,0,"27,830.03","27,917.73","27,836.53","27,481.02","25,742.23","23,812.94","4,979.32","5,023.51","4,899.38"
2025/12/22,"27,986.66","28,168.75","27,986.66","28,149.64",453.29,1.64,0.66,"5,044.72",2.86,226,11.2,158,396,"3,352",19,28.2,-2,"27,675.27","27,904.94","27,766.62","27,445.79","25,694.45","23,791.96","5,209.70","5,116.04","4,928.76"
2025/12/19,"27,685.74","27,869.78","27,672.05","27,696.35",227.82,0.83,0.72,"5,683.28",3.07,-1.24,43.5,75,118,"3,333",9,30.2,0,"27,618.73","27,920.35","27,684.35","27,414.09","25,647.82","23,771.53","5,104.24","5,049.86","5,051.10"
2025/12/18,"27,447.45","27,569.44","27,350.77","27,468.53",-56.64,-0.21,0.79,"4,600.36",2.53,-268,37.5,71,-160,"3,324",2,30,-0.15,"27,719.06","27,948.81","27,621.28","27,383.83","25,602.49","23,752.88","4,944.89","4,938.78","5,057.87"
2025/12/17,"27,596.18","27,780.69","27,469.60","27,525.17",-11.49,-0.04,1.13,"5,248.29",2.45,-354,7.98,110,-236,"3,322",33.8,30.2,0.52,"27,830.31","27,981.53","27,619.17","27,352.32","25,561.75","23,734.76","5,099.07","4,876.73","5,124.03"
2025/12/16,"27,721.10","27,740.66","27,355.67","27,536.66",-330.28,-1.19,1.38,"5,471.86",2.21,-595,36.3,-149,-708,"3,288",-30.7,29.7,-0.74,"28,005.42","28,008.31","27,571.92","27,323.06","25,519.81","23,716.34","5,067.70","4,809.18","5,119.71"
2025/12/15,"28,119.79","28,119.79","27,684.87","27,866.94",-331.08,-1.17,1.54,"4,517.40",2.21,-490,-21.2,-36.6,-548,"3,319",25.1,30.4,-0.32,"28,134.61","28,011.07","27,532.89","27,288.09","25,477.26","23,695.40","5,022.38","4,748.53","5,182.50"
2025/12/12,"28,097.54","28,272.06","28,071.34","28,198.02",173.27,0.62,0.72,"4,886.53",2.46,166,13.5,74.2,254,"3,294",26.8,30.7,-0.04,"28,221.98","27,958.63","27,511.91","27,250.80","25,429.94","23,674.84","4,995.49","4,790.24","5,230.49"
