日期,開盤,最高,最低,收盤,漲跌,成交金額,='儀表板'!$A$4&'儀表板'!$A$3,='儀表板'!$A$5&'儀表板'!$A$3,='儀表板'!$A$6&'儀表板'!$A$3,='儀表板'!$A$7&'儀表板'!$A$3,='儀表板'!$A$8&'儀表板'!$A$3,='儀表板'!$A$9&'儀表板'!$A$3,='儀表板'!$B$4&'儀表板'!$B$3,='儀表板'!$B$5&'儀表板'!$B$3,='儀表板'!$B$6&'儀表板'!$B$3
2026/05/14,422.74,431.74,422.74,426.57,6.03,3057,"=IF(COUNTA($D2:$G2) = 0, """", LET(N, '儀表板'!$A$4, range, OFFSET($E2, 0, 0, N, 1), IF(OR(NOT(ISNUMBER($E2)), COUNT(range) < N), ""-"", AVERAGE(range))))","=IF(COUNTA($D2:$G2) = 0, """", LET(N, '儀表板'!$A$5, range, OFFSET($E2, 0, 0, N, 1), IF(OR(NOT(ISNUMBER($E2)), COUNT(range) < N), ""-"", AVERAGE(range))))","=IF(COUNTA($D2:$G2) = 0, """", LET(N, '儀表板'!$A$6, range, OFFSET($E2, 0, 0, N, 1), IF(OR(NOT(ISNUMBER($E2)), COUNT(range) < N), ""-"", AVERAGE(range))))","=IF(COUNTA($D2:$G2) = 0, """", LET(N, '儀表板'!$A$7, range, OFFSET($E2, 0, 0, N, 1), IF(OR(NOT(ISNUMBER($E2)), COUNT(range) < N), ""-"", AVERAGE(range))))","=IF(COUNTA($D2:$G2) = 0, """", LET(N, '儀表板'!$A$8, range, OFFSET($E2, 0, 0, N, 1), IF(OR(NOT(ISNUMBER($E2)), COUNT(range) < N), ""-"", AVERAGE(range))))","=IF(COUNTA($D2:$G2) = 0, """", LET(N, '儀表板'!$A$9, range, OFFSET($E2, 0, 0, N, 1), IF(OR(NOT(ISNUMBER($E2)), COUNT(range) < N), ""-"", AVERAGE(range))))","=IF(COUNTA($D2:$G2) = 0, """", LET(N, '儀表板'!$B$4, range, OFFSET($G2, 0, 0, N, 1), IF(OR(NOT(ISNUMBER($G2)), COUNT(range) < N), ""-"", AVERAGE(range))))","=IF(COUNTA($D2:$G2) = 0, """", LET(N, '儀表板'!$B$5, range, OFFSET($G2, 0, 0, N, 1), IF(OR(NOT(ISNUMBER($G2)), COUNT(range) < N), ""-"", AVERAGE(range))))","=IF(COUNTA($D2:$G2) = 0, """", LET(N, '儀表板'!$B$6, range, OFFSET($G2, 0, 0, N, 1), IF(OR(NOT(ISNUMBER($G2)), COUNT(range) < N), ""-"", AVERAGE(range))))"
2026/05/13,424.2,424.2,414.53,420.54,-5.17,2822,"=IF(COUNTA($D3:$G3) = 0, """", LET(N, '儀表板'!$A$4, range, OFFSET($E3, 0, 0, N, 1), IF(OR(NOT(ISNUMBER($E3)), COUNT(range) < N), ""-"", AVERAGE(range))))","=IF(COUNTA($D3:$G3) = 0, """", LET(N, '儀表板'!$A$5, range, OFFSET($E3, 0, 0, N, 1), IF(OR(NOT(ISNUMBER($E3)), COUNT(range) < N), ""-"", AVERAGE(range))))","=IF(COUNTA($D3:$G3) = 0, """", LET(N, '儀表板'!$A$6, range, OFFSET($E3, 0, 0, N, 1), IF(OR(NOT(ISNUMBER($E3)), COUNT(range) < N), ""-"", AVERAGE(range))))","=IF(COUNTA($D3:$G3) = 0, """", LET(N, '儀表板'!$A$7, range, OFFSET($E3, 0, 0, N, 1), IF(OR(NOT(ISNUMBER($E3)), COUNT(range) < N), ""-"", AVERAGE(range))))","=IF(COUNTA($D3:$G3) = 0, """", LET(N, '儀表板'!$A$8, range, OFFSET($E3, 0, 0, N, 1), IF(OR(NOT(ISNUMBER($E3)), COUNT(range) < N), ""-"", AVERAGE(range))))","=IF(COUNTA($D3:$G3) = 0, """", LET(N, '儀表板'!$A$9, range, OFFSET($E3, 0, 0, N, 1), IF(OR(NOT(ISNUMBER($E3)), COUNT(range) < N), ""-"", AVERAGE(range))))","=IF(COUNTA($D3:$G3) = 0, """", LET(N, '儀表板'!$B$4, range, OFFSET($G3, 0, 0, N, 1), IF(OR(NOT(ISNUMBER($G3)), COUNT(range) < N), ""-"", AVERAGE(range))))","=IF(COUNTA($D3:$G3) = 0, """", LET(N, '儀表板'!$B$5, range, OFFSET($G3, 0, 0, N, 1), IF(OR(NOT(ISNUMBER($G3)), COUNT(range) < N), ""-"", AVERAGE(range))))","=IF(COUNTA($D3:$G3) = 0, """", LET(N, '儀表板'!$B$6, range, OFFSET($G3, 0, 0, N, 1), IF(OR(NOT(ISNUMBER($G3)), COUNT(range) < N), ""-"", AVERAGE(range))))"
2026/05/12,423.72,430.05,423.06,425.71,3.7,3602,"=IF(COUNTA($D4:$G4) = 0, """", LET(N, '儀表板'!$A$4, range, OFFSET($E4, 0, 0, N, 1), IF(OR(NOT(ISNUMBER($E4)), COUNT(range) < N), ""-"", AVERAGE(range))))","=IF(COUNTA($D4:$G4) = 0, """", LET(N, '儀表板'!$A$5, range, OFFSET($E4, 0, 0, N, 1), IF(OR(NOT(ISNUMBER($E4)), COUNT(range) < N), ""-"", AVERAGE(range))))","=IF(COUNTA($D4:$G4) = 0, """", LET(N, '儀表板'!$A$6, range, OFFSET($E4, 0, 0, N, 1), IF(OR(NOT(ISNUMBER($E4)), COUNT(range) < N), ""-"", AVERAGE(range))))","=IF(COUNTA($D4:$G4) = 0, """", LET(N, '儀表板'!$A$7, range, OFFSET($E4, 0, 0, N, 1), IF(OR(NOT(ISNUMBER($E4)), COUNT(range) < N), ""-"", AVERAGE(range))))","=IF(COUNTA($D4:$G4) = 0, """", LET(N, '儀表板'!$A$8, range, OFFSET($E4, 0, 0, N, 1), IF(OR(NOT(ISNUMBER($E4)), COUNT(range) < N), ""-"", AVERAGE(range))))","=IF(COUNTA($D4:$G4) = 0, """", LET(N, '儀表板'!$A$9, range, OFFSET($E4, 0, 0, N, 1), IF(OR(NOT(ISNUMBER($E4)), COUNT(range) < N), ""-"", AVERAGE(range))))","=IF(COUNTA($D4:$G4) = 0, """", LET(N, '儀表板'!$B$4, range, OFFSET($G4, 0, 0, N, 1), IF(OR(NOT(ISNUMBER($G4)), COUNT(range) < N), ""-"", AVERAGE(range))))","=IF(COUNTA($D4:$G4) = 0, """", LET(N, '儀表板'!$B$5, range, OFFSET($G4, 0, 0, N, 1), IF(OR(NOT(ISNUMBER($G4)), COUNT(range) < N), ""-"", AVERAGE(range))))","=IF(COUNTA($D4:$G4) = 0, """", LET(N, '儀表板'!$B$6, range, OFFSET($G4, 0, 0, N, 1), IF(OR(NOT(ISNUMBER($G4)), COUNT(range) < N), ""-"", AVERAGE(range))))"
2026/05/11,410.24,422.14,410.24,422.01,12.57,3037,"=IF(COUNTA($D5:$G5) = 0, """", LET(N, '儀表板'!$A$4, range, OFFSET($E5, 0, 0, N, 1), IF(OR(NOT(ISNUMBER($E5)), COUNT(range) < N), ""-"", AVERAGE(range))))","=IF(COUNTA($D5:$G5) = 0, """", LET(N, '儀表板'!$A$5, range, OFFSET($E5, 0, 0, N, 1), IF(OR(NOT(ISNUMBER($E5)), COUNT(range) < N), ""-"", AVERAGE(range))))","=IF(COUNTA($D5:$G5) = 0, """", LET(N, '儀表板'!$A$6, range, OFFSET($E5, 0, 0, N, 1), IF(OR(NOT(ISNUMBER($E5)), COUNT(range) < N), ""-"", AVERAGE(range))))","=IF(COUNTA($D5:$G5) = 0, """", LET(N, '儀表板'!$A$7, range, OFFSET($E5, 0, 0, N, 1), IF(OR(NOT(ISNUMBER($E5)), COUNT(range) < N), ""-"", AVERAGE(range))))","=IF(COUNTA($D5:$G5) = 0, """", LET(N, '儀表板'!$A$8, range, OFFSET($E5, 0, 0, N, 1), IF(OR(NOT(ISNUMBER($E5)), COUNT(range) < N), ""-"", AVERAGE(range))))","=IF(COUNTA($D5:$G5) = 0, """", LET(N, '儀表板'!$A$9, range, OFFSET($E5, 0, 0, N, 1), IF(OR(NOT(ISNUMBER($E5)), COUNT(range) < N), ""-"", AVERAGE(range))))","=IF(COUNTA($D5:$G5) = 0, """", LET(N, '儀表板'!$B$4, range, OFFSET($G5, 0, 0, N, 1), IF(OR(NOT(ISNUMBER($G5)), COUNT(range) < N), ""-"", AVERAGE(range))))","=IF(COUNTA($D5:$G5) = 0, """", LET(N, '儀表板'!$B$5, range, OFFSET($G5, 0, 0, N, 1), IF(OR(NOT(ISNUMBER($G5)), COUNT(range) < N), ""-"", AVERAGE(range))))","=IF(COUNTA($D5:$G5) = 0, """", LET(N, '儀表板'!$B$6, range, OFFSET($G5, 0, 0, N, 1), IF(OR(NOT(ISNUMBER($G5)), COUNT(range) < N), ""-"", AVERAGE(range))))"
2026/05/08,415.61,420.38,402.08,409.44,-6.97,3848,"=IF(COUNTA($D6:$G6) = 0, """", LET(N, '儀表板'!$A$4, range, OFFSET($E6, 0, 0, N, 1), IF(OR(NOT(ISNUMBER($E6)), COUNT(range) < N), ""-"", AVERAGE(range))))","=IF(COUNTA($D6:$G6) = 0, """", LET(N, '儀表板'!$A$5, range, OFFSET($E6, 0, 0, N, 1), IF(OR(NOT(ISNUMBER($E6)), COUNT(range) < N), ""-"", AVERAGE(range))))","=IF(COUNTA($D6:$G6) = 0, """", LET(N, '儀表板'!$A$6, range, OFFSET($E6, 0, 0, N, 1), IF(OR(NOT(ISNUMBER($E6)), COUNT(range) < N), ""-"", AVERAGE(range))))","=IF(COUNTA($D6:$G6) = 0, """", LET(N, '儀表板'!$A$7, range, OFFSET($E6, 0, 0, N, 1), IF(OR(NOT(ISNUMBER($E6)), COUNT(range) < N), ""-"", AVERAGE(range))))","=IF(COUNTA($D6:$G6) = 0, """", LET(N, '儀表板'!$A$8, range, OFFSET($E6, 0, 0, N, 1), IF(OR(NOT(ISNUMBER($E6)), COUNT(range) < N), ""-"", AVERAGE(range))))","=IF(COUNTA($D6:$G6) = 0, """", LET(N, '儀表板'!$A$9, range, OFFSET($E6, 0, 0, N, 1), IF(OR(NOT(ISNUMBER($E6)), COUNT(range) < N), ""-"", AVERAGE(range))))","=IF(COUNTA($D6:$G6) = 0, """", LET(N, '儀表板'!$B$4, range, OFFSET($G6, 0, 0, N, 1), IF(OR(NOT(ISNUMBER($G6)), COUNT(range) < N), ""-"", AVERAGE(range))))","=IF(COUNTA($D6:$G6) = 0, """", LET(N, '儀表板'!$B$5, range, OFFSET($G6, 0, 0, N, 1), IF(OR(NOT(ISNUMBER($G6)), COUNT(range) < N), ""-"", AVERAGE(range))))","=IF(COUNTA($D6:$G6) = 0, """", LET(N, '儀表板'!$B$6, range, OFFSET($G6, 0, 0, N, 1), IF(OR(NOT(ISNUMBER($G6)), COUNT(range) < N), ""-"", AVERAGE(range))))"
2026/05/07,410.89,417.86,410.89,416.41,6.12,3544,"=IF(COUNTA($D7:$G7) = 0, """", LET(N, '儀表板'!$A$4, range, OFFSET($E7, 0, 0, N, 1), IF(OR(NOT(ISNUMBER($E7)), COUNT(range) < N), ""-"", AVERAGE(range))))","=IF(COUNTA($D7:$G7) = 0, """", LET(N, '儀表板'!$A$5, range, OFFSET($E7, 0, 0, N, 1), IF(OR(NOT(ISNUMBER($E7)), COUNT(range) < N), ""-"", AVERAGE(range))))","=IF(COUNTA($D7:$G7) = 0, """", LET(N, '儀表板'!$A$6, range, OFFSET($E7, 0, 0, N, 1), IF(OR(NOT(ISNUMBER($E7)), COUNT(range) < N), ""-"", AVERAGE(range))))","=IF(COUNTA($D7:$G7) = 0, """", LET(N, '儀表板'!$A$7, range, OFFSET($E7, 0, 0, N, 1), IF(OR(NOT(ISNUMBER($E7)), COUNT(range) < N), ""-"", AVERAGE(range))))","=IF(COUNTA($D7:$G7) = 0, """", LET(N, '儀表板'!$A$8, range, OFFSET($E7, 0, 0, N, 1), IF(OR(NOT(ISNUMBER($E7)), COUNT(range) < N), ""-"", AVERAGE(range))))","=IF(COUNTA($D7:$G7) = 0, """", LET(N, '儀表板'!$A$9, range, OFFSET($E7, 0, 0, N, 1), IF(OR(NOT(ISNUMBER($E7)), COUNT(range) < N), ""-"", AVERAGE(range))))","=IF(COUNTA($D7:$G7) = 0, """", LET(N, '儀表板'!$B$4, range, OFFSET($G7, 0, 0, N, 1), IF(OR(NOT(ISNUMBER($G7)), COUNT(range) < N), ""-"", AVERAGE(range))))","=IF(COUNTA($D7:$G7) = 0, """", LET(N, '儀表板'!$B$5, range, OFFSET($G7, 0, 0, N, 1), IF(OR(NOT(ISNUMBER($G7)), COUNT(range) < N), ""-"", AVERAGE(range))))","=IF(COUNTA($D7:$G7) = 0, """", LET(N, '儀表板'!$B$6, range, OFFSET($G7, 0, 0, N, 1), IF(OR(NOT(ISNUMBER($G7)), COUNT(range) < N), ""-"", AVERAGE(range))))"
2026/05/06,408.15,416.46,399.85,410.29,2.85,4274,"=IF(COUNTA($D8:$G8) = 0, """", LET(N, '儀表板'!$A$4, range, OFFSET($E8, 0, 0, N, 1), IF(OR(NOT(ISNUMBER($E8)), COUNT(range) < N), ""-"", AVERAGE(range))))","=IF(COUNTA($D8:$G8) = 0, """", LET(N, '儀表板'!$A$5, range, OFFSET($E8, 0, 0, N, 1), IF(OR(NOT(ISNUMBER($E8)), COUNT(range) < N), ""-"", AVERAGE(range))))","=IF(COUNTA($D8:$G8) = 0, """", LET(N, '儀表板'!$A$6, range, OFFSET($E8, 0, 0, N, 1), IF(OR(NOT(ISNUMBER($E8)), COUNT(range) < N), ""-"", AVERAGE(range))))","=IF(COUNTA($D8:$G8) = 0, """", LET(N, '儀表板'!$A$7, range, OFFSET($E8, 0, 0, N, 1), IF(OR(NOT(ISNUMBER($E8)), COUNT(range) < N), ""-"", AVERAGE(range))))","=IF(COUNTA($D8:$G8) = 0, """", LET(N, '儀表板'!$A$8, range, OFFSET($E8, 0, 0, N, 1), IF(OR(NOT(ISNUMBER($E8)), COUNT(range) < N), ""-"", AVERAGE(range))))","=IF(COUNTA($D8:$G8) = 0, """", LET(N, '儀表板'!$A$9, range, OFFSET($E8, 0, 0, N, 1), IF(OR(NOT(ISNUMBER($E8)), COUNT(range) < N), ""-"", AVERAGE(range))))","=IF(COUNTA($D8:$G8) = 0, """", LET(N, '儀表板'!$B$4, range, OFFSET($G8, 0, 0, N, 1), IF(OR(NOT(ISNUMBER($G8)), COUNT(range) < N), ""-"", AVERAGE(range))))","=IF(COUNTA($D8:$G8) = 0, """", LET(N, '儀表板'!$B$5, range, OFFSET($G8, 0, 0, N, 1), IF(OR(NOT(ISNUMBER($G8)), COUNT(range) < N), ""-"", AVERAGE(range))))","=IF(COUNTA($D8:$G8) = 0, """", LET(N, '儀表板'!$B$6, range, OFFSET($G8, 0, 0, N, 1), IF(OR(NOT(ISNUMBER($G8)), COUNT(range) < N), ""-"", AVERAGE(range))))"
2026/05/05,398.61,407.44,398.61,407.44,9.19,3032,"=IF(COUNTA($D9:$G9) = 0, """", LET(N, '儀表板'!$A$4, range, OFFSET($E9, 0, 0, N, 1), IF(OR(NOT(ISNUMBER($E9)), COUNT(range) < N), ""-"", AVERAGE(range))))","=IF(COUNTA($D9:$G9) = 0, """", LET(N, '儀表板'!$A$5, range, OFFSET($E9, 0, 0, N, 1), IF(OR(NOT(ISNUMBER($E9)), COUNT(range) < N), ""-"", AVERAGE(range))))","=IF(COUNTA($D9:$G9) = 0, """", LET(N, '儀表板'!$A$6, range, OFFSET($E9, 0, 0, N, 1), IF(OR(NOT(ISNUMBER($E9)), COUNT(range) < N), ""-"", AVERAGE(range))))","=IF(COUNTA($D9:$G9) = 0, """", LET(N, '儀表板'!$A$7, range, OFFSET($E9, 0, 0, N, 1), IF(OR(NOT(ISNUMBER($E9)), COUNT(range) < N), ""-"", AVERAGE(range))))","=IF(COUNTA($D9:$G9) = 0, """", LET(N, '儀表板'!$A$8, range, OFFSET($E9, 0, 0, N, 1), IF(OR(NOT(ISNUMBER($E9)), COUNT(range) < N), ""-"", AVERAGE(range))))","=IF(COUNTA($D9:$G9) = 0, """", LET(N, '儀表板'!$A$9, range, OFFSET($E9, 0, 0, N, 1), IF(OR(NOT(ISNUMBER($E9)), COUNT(range) < N), ""-"", AVERAGE(range))))","=IF(COUNTA($D9:$G9) = 0, """", LET(N, '儀表板'!$B$4, range, OFFSET($G9, 0, 0, N, 1), IF(OR(NOT(ISNUMBER($G9)), COUNT(range) < N), ""-"", AVERAGE(range))))","=IF(COUNTA($D9:$G9) = 0, """", LET(N, '儀表板'!$B$5, range, OFFSET($G9, 0, 0, N, 1), IF(OR(NOT(ISNUMBER($G9)), COUNT(range) < N), ""-"", AVERAGE(range))))","=IF(COUNTA($D9:$G9) = 0, """", LET(N, '儀表板'!$B$6, range, OFFSET($G9, 0, 0, N, 1), IF(OR(NOT(ISNUMBER($G9)), COUNT(range) < N), ""-"", AVERAGE(range))))"
2026/05/04,385.82,398.43,385.82,398.25,13.67,2601,"=IF(COUNTA($D10:$G10) = 0, """", LET(N, '儀表板'!$A$4, range, OFFSET($E10, 0, 0, N, 1), IF(OR(NOT(ISNUMBER($E10)), COUNT(range) < N), ""-"", AVERAGE(range))))","=IF(COUNTA($D10:$G10) = 0, """", LET(N, '儀表板'!$A$5, range, OFFSET($E10, 0, 0, N, 1), IF(OR(NOT(ISNUMBER($E10)), COUNT(range) < N), ""-"", AVERAGE(range))))","=IF(COUNTA($D10:$G10) = 0, """", LET(N, '儀表板'!$A$6, range, OFFSET($E10, 0, 0, N, 1), IF(OR(NOT(ISNUMBER($E10)), COUNT(range) < N), ""-"", AVERAGE(range))))","=IF(COUNTA($D10:$G10) = 0, """", LET(N, '儀表板'!$A$7, range, OFFSET($E10, 0, 0, N, 1), IF(OR(NOT(ISNUMBER($E10)), COUNT(range) < N), ""-"", AVERAGE(range))))","=IF(COUNTA($D10:$G10) = 0, """", LET(N, '儀表板'!$A$8, range, OFFSET($E10, 0, 0, N, 1), IF(OR(NOT(ISNUMBER($E10)), COUNT(range) < N), ""-"", AVERAGE(range))))","=IF(COUNTA($D10:$G10) = 0, """", LET(N, '儀表板'!$A$9, range, OFFSET($E10, 0, 0, N, 1), IF(OR(NOT(ISNUMBER($E10)), COUNT(range) < N), ""-"", AVERAGE(range))))","=IF(COUNTA($D10:$G10) = 0, """", LET(N, '儀表板'!$B$4, range, OFFSET($G10, 0, 0, N, 1), IF(OR(NOT(ISNUMBER($G10)), COUNT(range) < N), ""-"", AVERAGE(range))))","=IF(COUNTA($D10:$G10) = 0, """", LET(N, '儀表板'!$B$5, range, OFFSET($G10, 0, 0, N, 1), IF(OR(NOT(ISNUMBER($G10)), COUNT(range) < N), ""-"", AVERAGE(range))))","=IF(COUNTA($D10:$G10) = 0, """", LET(N, '儀表板'!$B$6, range, OFFSET($G10, 0, 0, N, 1), IF(OR(NOT(ISNUMBER($G10)), COUNT(range) < N), ""-"", AVERAGE(range))))"
2026/04/30,383.49,390.16,383.49,384.58,1.83,2714,"=IF(COUNTA($D11:$G11) = 0, """", LET(N, '儀表板'!$A$4, range, OFFSET($E11, 0, 0, N, 1), IF(OR(NOT(ISNUMBER($E11)), COUNT(range) < N), ""-"", AVERAGE(range))))","=IF(COUNTA($D11:$G11) = 0, """", LET(N, '儀表板'!$A$5, range, OFFSET($E11, 0, 0, N, 1), IF(OR(NOT(ISNUMBER($E11)), COUNT(range) < N), ""-"", AVERAGE(range))))","=IF(COUNTA($D11:$G11) = 0, """", LET(N, '儀表板'!$A$6, range, OFFSET($E11, 0, 0, N, 1), IF(OR(NOT(ISNUMBER($E11)), COUNT(range) < N), ""-"", AVERAGE(range))))","=IF(COUNTA($D11:$G11) = 0, """", LET(N, '儀表板'!$A$7, range, OFFSET($E11, 0, 0, N, 1), IF(OR(NOT(ISNUMBER($E11)), COUNT(range) < N), ""-"", AVERAGE(range))))","=IF(COUNTA($D11:$G11) = 0, """", LET(N, '儀表板'!$A$8, range, OFFSET($E11, 0, 0, N, 1), IF(OR(NOT(ISNUMBER($E11)), COUNT(range) < N), ""-"", AVERAGE(range))))","=IF(COUNTA($D11:$G11) = 0, """", LET(N, '儀表板'!$A$9, range, OFFSET($E11, 0, 0, N, 1), IF(OR(NOT(ISNUMBER($E11)), COUNT(range) < N), ""-"", AVERAGE(range))))","=IF(COUNTA($D11:$G11) = 0, """", LET(N, '儀表板'!$B$4, range, OFFSET($G11, 0, 0, N, 1), IF(OR(NOT(ISNUMBER($G11)), COUNT(range) < N), ""-"", AVERAGE(range))))","=IF(COUNTA($D11:$G11) = 0, """", LET(N, '儀表板'!$B$5, range, OFFSET($G11, 0, 0, N, 1), IF(OR(NOT(ISNUMBER($G11)), COUNT(range) < N), ""-"", AVERAGE(range))))","=IF(COUNTA($D11:$G11) = 0, """", LET(N, '儀表板'!$B$6, range, OFFSET($G11, 0, 0, N, 1), IF(OR(NOT(ISNUMBER($G11)), COUNT(range) < N), ""-"", AVERAGE(range))))"
