交易日期,開盤,最高,最低,收盤,漲跌,漲跌%,振幅%,成交張數,成交筆數,成交均張,成交億元,外資,投信,自營,法人合計,外資持股%,融資增減,融資餘額,融券增減,融券餘額,券資比%,5日均線,10日均線,20日均線,60日均線,120日均線,240日均線,5日平均成交量,10日平均成交量,20日平均成交量
2026/05/08,96.10,96.50,93.30,94.20,-1.40,-1.46,3.35,416,"1,302",0,0,19,0,-15,4,30,-6,560,0,0,0,94.12,93.63,93.22,92.82,90.89,88.88,389,536,560
2026/05/07,94.80,96.00,94.10,95.60,1.80,1.92,2.03,526,739,1,1,96,0,-30,66,30,2,566,0,0,0,93.68,94.21,92.90,92.82,90.79,88.88,345,633,550
2026/05/06,94.20,94.70,92.50,93.80,0.70,0.75,2.36,530,515,1,1,-19,0,-16,-35,30,21,564,0,0,0,93.26,94.57,92.57,92.80,90.67,88.88,295,665,549
2026/05/05,92.70,94.10,92.40,93.10,-0.80,-0.85,1.81,237,456,1,0,-6,0,9,3,30,-12,543,0,0,0,92.86,95.06,92.23,92.83,90.56,88.88,265,762,554
2026/05/04,93.10,94.40,92.20,93.90,1.90,2.07,2.39,237,333,1,0,77,0,0,77,30,-27,555,0,0,0,92.66,95.03,91.75,92.86,90.46,88.88,362,780,549
2026/04/30,93.50,94.00,91.80,92.00,-1.50,-1.60,2.35,194,290,1,0,-52,0,2,-50,30,6,582,0,0,0,93.14,94.75,91.29,92.88,90.36,88.88,682,778,546
2026/04/29,91.80,93.60,91.80,93.50,1.70,1.85,1.96,276,326,1,0,16,0,-10,6,30,11,576,0,0,0,94.74,94.75,90.84,92.95,90.28,88.87,922,808,546
2026/04/28,92.20,92.20,90.70,91.80,-0.30,-0.33,1.63,379,424,1,0,-55,0,0,-55,30,-7,565,-1,0,0,95.88,94.22,90.35,92.99,90.20,88.86,"1,035",802,542
2026/04/27,97.30,97.30,91.80,92.10,-4.20,-4.36,5.71,726,973,1,1,-98,0,10,-88,30,-33,572,-2,1,0,97.26,93.96,89.99,93.06,90.13,88.87,"1,259",787,530
2026/04/24,102.50,103.00,96.10,96.30,-3.70,-3.70,6.90,"1,834","5,312",0,2,-44,0,0,-44,30,-135,605,0,3,1,97.40,93.63,89.64,93.14,90.07,88.87,"1,198",754,502
2026/04/23,101.00,101.50,97.80,100.00,0.80,0.81,3.73,"1,394","3,307",0,1,216,0,-3,213,30,108,740,0,3,0,96.36,92.81,89.10,93.14,89.96,88.86,874,584,419
2026/04/22,100.00,100.00,98.20,99.20,0.50,0.51,1.82,844,"1,596",1,1,-5,0,0,-5,30,17,632,0,3,0,94.76,91.59,88.34,93.08,89.82,88.83,694,467,360
2026/04/21,94.30,99.10,93.90,98.70,5.90,6.36,5.60,"1,497","3,002",1,1,543,0,-3,540,30,163,615,3,3,0,92.56,90.56,87.62,93.01,89.68,88.81,569,433,346
2026/04/20,91.90,93.50,91.70,92.80,1.70,1.87,1.98,419,486,1,0,232,0,-1,231,29,18,452,0,0,0,90.66,89.39,86.99,92.95,89.56,88.78,316,347,286
2026/04/17,92.00,92.00,91.00,91.10,-0.90,-0.98,1.09,218,363,1,0,-20,0,-1,-21,29,-17,434,-1,0,0,89.86,88.47,86.68,92.99,89.46,88.78,310,317,281
2026/04/16,88.80,92.00,88.80,92.00,3.80,4.31,3.63,492,613,1,0,128,0,0,128,29,1,451,1,1,0,89.26,87.82,86.55,93.01,89.41,88.76,294,315,291
2026/04/15,89.20,89.70,88.20,88.20,-1.00,-1.12,1.68,220,407,1,0,-21,0,0,-21,29,6,450,0,0,0,88.42,86.93,86.36,93.02,89.36,88.74,240,285,285
2026/04/14,89.30,89.70,88.30,89.20,0.40,0.45,1.58,229,349,1,0,41,0,1,42,29,3,444,0,0,0,88.56,86.47,86.36,93.13,89.34,88.75,297,282,294
2026/04/13,88.10,88.90,86.70,88.80,0.70,0.79,2.50,390,357,1,0,200,0,7,207,29,-7,441,0,0,0,88.12,86.02,86.35,93.18,89.30,88.75,378,272,298
2026/04/10,89.00,89.00,88.10,88.10,0.30,0.34,1.03,139,332,0,0,33,0,0,33,28,0,448,0,0,0,87.08,85.64,86.35,93.18,89.27,88.76,324,250,318
2026/04/09,88.30,88.40,87.60,87.80,-1.10,-1.24,0.90,220,651,0,0,-69,0,0,-69,28,6,448,0,0,0,86.38,85.39,86.74,93.19,89.25,88.77,335,253,362
2026/04/08,89.50,89.50,87.40,88.90,1.90,2.18,2.41,505,633,1,0,118,0,5,123,28,-30,439,0,0,0,85.44,85.09,87.09,93.22,89.23,88.77,330,254,384
2026/04/07,83.30,87.80,83.20,87.00,3.40,4.07,5.50,637,587,1,1,110,0,-2,108,28,9,469,0,0,0,84.38,84.68,87.38,93.22,89.21,88.76,267,259,386
