分類,項目,2026Q2,2026Q1,2025Q4,2025Q3,2025Q2,2025Q1,2024Q4,2024Q3,2024Q2,2024Q1,2023Q4,2023Q3,2023Q2,2023Q1,2022Q4,2022Q3,2022Q2,2022Q1,2021Q4,2021Q3,2021Q2,2021Q1,2020Q4,2020Q3,2020Q2,2020Q1,2019Q4,2019Q3,2019Q2,2019Q1,2018Q4,2018Q2,,,,,,,,,
資產,現金（億）,-,-,3.58,4.42,4.11,7.3,6.41,5.93,5.52,6.57,6,5.3,5.67,8.62,7.01,5.22,4.83,3.27,2.52,3.88,3.87,4.35,4.48,1.59,1.78,1.09,0.62,0.67,0.37,0.35,0.09,0.08,,,,,,,,,
資產,應收帳款（億）,-,-,6.47,5,5.15,6.26,5.58,4.41,4.81,5.25,4.83,5.45,3.8,3.98,4.01,4.33,3.88,4.27,3.81,3.05,2.51,2.82,2.03,2.86,2.63,2.87,2.25,3.37,2.27,1.98,2.36,2.38,,,,,,,,,
資產,存貨（億）,-,-,11.7,11.1,10.1,10.3,9.95,9.75,8.9,8.98,8.57,8.25,8.09,8,7.43,8.83,8.83,8.4,8.07,7.01,5.75,5.16,4.84,4.71,4.91,4.85,4.72,4.77,5.02,5.21,5.21,4.81,,,,,,,,,
資產,流動資產（億）,-,-,22.4,21.1,19.8,24.5,22.5,21,19.8,21.2,19.9,19.6,18.1,21,18.9,18.7,17.9,16.4,15,14.5,12.8,12.6,11.7,9.53,9.67,9.1,8.49,9.11,7.9,7.79,7.86,7.66,,,,,,,,,
資產,基金投資（億）,-,-,-,0,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,-,-,-,-,-,-,-,-,-,-,,,,,,,,,
資產,固定資產（億）,-,-,12.7,12.7,12.8,12.7,12.7,12.4,12.4,12.2,12,11.2,10.7,10.5,10.2,9.59,9.04,8.72,8.3,7.86,7.88,7.84,7.51,7.2,6.84,6.71,6.27,6.08,6.13,6.25,5.21,5.13,,,,,,,,,
資產,無形資產（億）,-,-,0.02,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0,0,0,0.01,0.01,0.01,0.01,0.01,0.01,,,,,,,,,
資產,其他資產（億）,-,-,0.07,0.07,0.07,0.06,0.06,0.07,0.08,0.08,0.07,0.07,0.08,0.07,0.07,0.07,0.07,0.07,0.07,0.08,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,,,,,,,,,
資產,資產總額（億）,-,-,35.8,34.6,33.5,38,35.9,33.9,32.7,34,32.5,31.3,29.5,32.1,29.9,29.1,27.7,25.8,24,22.9,21.3,21,19.8,17.3,17,16.3,15.2,15.6,14.5,14.5,13.2,12.9,,,,,,,,,
資產,現金％,-,-,9.99,12.8,12.3,19.2,17.8,17.5,16.9,19.3,18.5,16.9,19.2,26.8,23.5,17.9,17.5,12.7,10.5,16.9,18.1,20.8,22.7,9.19,10.5,6.71,4.1,4.26,2.53,2.38,0.68,0.65,,,,,,,,,
