交易日期,開盤,最高,最低,收盤,漲跌,漲跌%,振幅%,成交張數,成交筆數,成交均張,成交億元,外資,投信,自營,法人合計,外資持股%,融資增減,融資餘額,融券增減,融券餘額,券資比%,5日均線,10日均線,20日均線,60日均線,120日均線,240日均線,5日平均成交量,10日平均成交量,20日平均成交量
2026/04/13,519.00,524.00,506.00,519.00,3.00,0.58,3.49,"1,856","3,620",1,10,416,-77,-39,300,35,-20,"1,783",-21,114,6,503.60,474.70,467.35,449.17,391.93,348.95,"2,905","2,277","2,434"
2026/04/10,515.00,522.00,508.00,516.00,8.00,1.57,2.76,"2,438","4,310",1,13,401,-30,12,383,35,-33,"1,803",11,135,7,488.40,468.90,464.20,447.56,390.40,347.59,"2,933","2,228","2,575"
2026/04/09,506.00,520.00,501.00,508.00,7.00,1.40,3.79,"2,759","5,877",0,14,269,-27,-49,193,34,-49,"1,836",-19,124,7,475.60,463.25,462.53,445.74,388.94,346.29,"2,854","2,175","2,615"
2026/04/08,498.00,506.00,492.50,501.00,27.00,5.70,2.85,"3,816","6,324",1,19,789,216,56,"1,061",34,5,"1,875",9,141,8,459.10,457.05,460.63,443.88,387.56,344.98,"2,654","2,136","2,558"
2026/04/07,454.00,478.00,450.50,474.00,31.00,7.00,6.21,"3,655","5,244",0.7,17.2,"1,089",-3,109,"1,195",34,-187,"1,870",36,132,7,448.70,451.15,458.13,442.18,386.25,343.67,"2,154","2,161","2,442"
2026/04/02,460.00,474.50,442.50,443.00,-9.00,-1.99,7.08,"1,999","3,243",0.62,9.13,-46,-23,-34.9,-104,32.9,-53,"2,057",-10,96,4.67,445.80,451.15,458.75,440.58,385.09,342.45,"1,649","1,991","2,335"
2026/04/01,442.00,456.00,439.00,452.00,26.50,6.23,4.00,"2,041","2,869",0.71,9.16,395,-3,194,586,33,16,"2,110",19,106,5.02,449.40,453.55,460.55,439.44,384.13,341.29,"1,522","2,123","2,358"
2026/03/31,442.50,449.50,425.50,425.50,-23.50,-5.23,5.35,"1,758","3,706",0.47,7.65,-342,47,-29,-324,32.7,-20,"2,094",-6,87,4.15,450.90,456.90,461.15,438.09,383.20,340.17,"1,495","2,407","2,494"
2026/03/30,447.00,450.00,439.00,449.00,-10.50,-2.29,2.39,"1,317","2,598",0.51,5.87,-359,0,-29,-388,32.9,12,"2,114",-8,93,4.4,455.00,459.50,464.75,437.18,382.55,339.25,"1,617","2,515","2,559"
2026/03/27,457.00,459.50,445.50,459.50,-1.50,-0.33,3.04,"1,129","2,474",0.46,5.1,-42,-94,-7,-143,33.1,35,"2,102",1,101,4.8,453.60,459.95,467.60,435.79,381.63,338.31,"2,167","2,533","2,619"
2026/03/26,464.00,467.50,456.00,461.00,1.50,0.33,2.5,"1,364","2,333",0.58,6.3,24,-4,-45,-25,33.2,-27,"2,067",-16,100,4.84,456.50,460.00,470.83,434.22,380.58,337.33,"2,334","2,590","2,799"
2026/03/25,454.00,466.50,452.00,459.50,13.50,3.03,3.25,"1,908","2,932",0.65,8.79,370,-35,1,335,33.1,-130,"2,094",21,116,5.54,457.70,459.50,472.50,432.56,379.50,336.30,"2,725","2,922","2,887"
2026/03/24,452.00,456.50,437.50,446.00,4.00,0.9,4.3,"2,369","3,456",0.69,10.6,586,-21,20,585,32.9,-191,"2,224",-2,95,4.27,462.90,461.80,474.43,431.00,378.39,335.38,"3,318","3,055","3,149"
2026/03/23,464.50,464.50,438.50,442.00,-32.00,-6.75,5.49,"4,067","7,942",0.51,18.2,-492,-780,-19,"-1,291",32.5,244,"2,415",-73,97,4.02,464.00,464.20,475.50,429.73,377.37,334.56,"3,412","2,980","3,320"
2026/03/20,473.00,476.50,461.00,474.00,7.00,1.5,3.32,"1,962","3,172",0.62,9.26,283,-1,-19,264,33,-99,"2,171",3,170,7.83,466.30,465.10,474.65,428.65,376.45,333.77,"2,899","2,723","3,243"
