分類,項目,2026Q2,2026Q1,2025Q4,2025Q3,2025Q2,2025Q1,2024Q4,2024Q3,2024Q2,2024Q1,2023Q4,2023Q3,2023Q2,2023Q1,2022Q4,2022Q3,2022Q2,2022Q1,2021Q4,2021Q3,2021Q2,2021Q1,2020Q4,2020Q3,2020Q2,2020Q1,2019Q4,2019Q3,2019Q2,2019Q1,2018Q4,2018Q3,2018Q2,2018Q1,2017Q4,2017Q3,2017Q2,2017Q1,2016Q4,2016Q3,2016Q2
資產,現金（億）,-,-,15.7,18.2,15.4,22,20,16.5,28.5,17,9.92,12.7,16,14,11.3,11.9,16.8,12.3,19.2,9.21,10.2,8.64,7.14,6.14,10.7,6.01,7.07,5.5,6.88,5.13,4.23,6.1,6.37,5.63,4.02,4.14,4.32,5.56,3.9,4.94,4.03
資產,應收帳款（億）,-,-,14.3,13.8,14.1,11.3,11.6,12.4,12.2,10.8,10.9,11.1,9.99,10.2,11,12.3,12.9,11.7,11.2,11.3,10.9,10.6,9.72,9.76,9.78,8.79,8.61,9.86,9.16,9.75,11.7,11.2,9.51,8.35,8.4,8.1,7.62,7.17,8.04,7.47,7.51
資產,存貨（億）,-,-,24.3,24,23.7,20.4,20.5,20.1,20.7,20,19.2,19.4,18.9,17.9,18.1,16.7,15.7,14.7,14.4,13.5,13.4,13.5,14.1,13.6,13.4,13.1,13.7,14.7,14.4,13.7,12.9,12.9,10.5,9.8,8.63,7.68,7.05,6.52,6.3,7.01,7.09
資產,流動資產（億）,-,-,54.8,56.4,53.7,54.1,52.4,49.4,61.8,48.4,40.4,43.4,45.3,42.3,40.6,41.8,48.8,42.5,45.1,34.4,34.8,33.4,31.8,30.4,35,29,30.2,30.8,31.2,29.4,29.8,31.2,27.3,24.6,21.5,20.3,20.9,19.6,18.5,19.8,19
資產,基金投資（億）,-,-,13.8,12,11.6,12,11.3,10.7,10.5,10.6,10.6,10,8.88,8.99,6.96,5.23,4.41,4.21,4.24,4.53,4.61,4.41,4.49,1.21,1.2,1.24,1.3,1.38,1.48,1.53,0.52,0.61,0,0.01,0.01,0.02,0.02,0.02,0,0,0
資產,固定資產（億）,-,-,54.2,48.7,46.2,41.3,42.5,43.5,44.2,41.8,42.4,43.1,43.4,44.7,45.6,46.8,47.3,48.3,48.8,49.9,51.1,52.4,52.5,46.6,43.4,32.7,35.1,32.2,30.9,29.4,29.4,28.8,27.6,27.4,27.8,27.4,27.7,27.7,27.9,28.5,27.1
資產,無形資產（億）,-,-,-,-,-,-,-,-,-,-,-,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.2,0.1,0,0,0,0,-,-,-,-
資產,其他資產（億）,-,-,9,7.63,6.93,5.94,3.65,1.7,1.37,4.51,4.34,1.61,2.28,1.52,1.42,1.02,1.46,1.61,2.26,4.35,3.93,3.94,4.54,7.84,9.53,18.9,11.1,8.43,7.02,6.19,5.82,4.94,3.14,3.35,3.36,3.64,3.4,2.9,3.13,3.05,4.66
資產,資產總額（億）,-,-,133,126,119,114,111,106,119,106,98.6,99.1,101,98.5,95.4,95.9,103,97.7,102,94.3,95.5,95.2,94.5,87.4,90.4,83.3,79.3,74.3,72.1,67.9,66.3,66.3,58.6,55.9,53.1,51.8,52.4,50.7,50,51.7,51.2
資產,現金％,-,-,11.9,14.5,12.9,19.3,18.1,15.6,24,16,10.1,12.8,15.9,14.2,11.8,12.4,16.3,12.6,18.9,9.77,10.6,9.07,7.55,7.02,11.8,7.22,8.92,7.4,9.54,7.55,6.38,9.21,10.9,10.1,7.58,7.99,8.25,11,7.8,9.57,7.88
