交易日期,開盤,最高,最低,收盤,漲跌,漲跌%,振幅%,成交張數,成交筆數,成交均張,成交億元,外資,投信,自營,法人合計,外資持股%,融資增減,融資餘額,融券增減,融券餘額,券資比%,5日均線,10日均線,20日均線,60日均線,120日均線,240日均線,5日平均成交量,10日平均成交量,20日平均成交量
2026/05/05,"2,185.00","2,195.00","2,145.00","2,165.00",-55.00,-2.48,2.25,"10,559","61,328",0,229,"-4,258",213,-39,"-4,084",64,194,"5,763",-11,78,1,"2,168.00","2,094.50","1,918.25","1,536.08","1,262.49",944.36,"12,914","13,236","12,623"
2026/05/04,"2,250.00","2,260.00","2,150.00","2,220.00",55.00,2.54,5.08,"12,649","42,036",0,277,-370,193,123,-54,64,-126,"5,569",-7,89,2,"2,139.00","2,068.00","1,881.50","1,520.50","1,252.87",936.89,"13,982","13,386","12,593"
2026/04/30,"2,220.00","2,280.00","2,150.00","2,165.00",0.00,0.00,6.00,"14,061","36,963",0,310,-663,208,-212,-667,64,10,"5,695",-67,96,2,"2,110.00","2,030.00","1,844.25","1,504.50","1,243.20",929.16,"13,766","13,198","12,589"
2026/04/29,"2,040.00","2,170.00","2,035.00","2,165.00",40.00,1.88,6.35,"12,261","31,550",0,260,"-1,104",347,48,-709,64,545,"5,685",60,163,3,"2,073.00","1,998.00","1,805.00","1,489.17","1,234.12",921.63,"14,440","13,118","12,955"
2026/04/28,"2,030.00","2,160.00","2,030.00","2,125.00",105.00,5.20,6.44,"15,039","38,360",0,317,"3,732",16,59,"3,807",65,-203,"5,140",7,103,2,"2,043.00","1,960.00","1,771.00","1,472.00","1,224.99",914.10,"14,182","13,179","12,935"
2026/04/27,"2,070.00","2,080.00","1,995.00","2,020.00",-55.00,-2.65,4.10,"15,898","74,557",0,324,"-3,574",-223,3,"-3,794",64,171,"5,343",-4,96,2,"2,021.00","1,922.50","1,740.25","1,455.42","1,215.70",906.72,"13,557","12,955","12,709"
2026/04/24,"2,005.00","2,090.00","1,990.00","2,075.00",95.00,4.80,5.05,"11,571","36,988",0,237,535,-38,121,618,64,232,"5,172",-4,100,2,"1,997.00","1,894.50","1,715.00","1,440.42","1,207.37",899.70,"12,790","12,073","12,607"
2026/04/23,"2,100.00","2,115.00","1,935.00","1,980.00",-35.00,-1.74,8.93,"17,431","91,481",0,350,"-4,522",385,-183,"-4,319",64,-4,"4,940",-15,104,2,"1,950.00","1,860.50","1,688.75","1,424.58","1,198.58",892.47,"12,630","12,071","12,857"
2026/04/22,"2,040.00","2,045.00","1,995.00","2,015.00",0.00,0.00,2.48,"10,969","31,887",0,222,"-2,394",-68,2,"-2,459",65,125,"4,944",3,119,2,"1,923.00","1,827.00","1,660.50","1,409.00","1,190.53",885.64,"11,795","11,841","12,646"
2026/04/21,"1,950.00","2,035.00","1,930.00","2,015.00",115.00,6.05,5.53,"11,917","32,389",0,236,4,"1,058",49,"1,110",65,159,"4,819",7,116,2,"1,877.00","1,792.00","1,630.25","1,393.08","1,182.07",878.62,"12,177","12,084","12,792"
2026/04/20,"1,860.00","1,980.00","1,860.00","1,900.00",60.00,3.26,6.52,"12,064","33,366",0,233,445,26,19,490,65,-144,"4,660",5,109,2,"1,824.00","1,742.00","1,603.25","1,376.67","1,173.82",871.58,"12,354","12,011","12,994"
2026/04/17,"1,865.00","1,870.00","1,830.00","1,840.00",-5.00,-0.27,2.17,"10,770","25,991",0,200,-875,357,58,-460,65,-10,"4,804",-3,104,2,"1,792.00","1,695.00","1,581.00","1,362.58","1,166.44",865.04,"11,355","11,800","12,807"
2026/04/16,"1,835.00","1,845.00","1,785.00","1,845.00",60.00,3.36,3.36,"13,255","23,645",1,243,"2,051",-23,162,"2,191",65,-116,"4,814",8,107,2,"1,771.00","1,658.50","1,562.25","1,348.83","1,159.38",858.66,"11,512","11,979","12,841"
2026/04/15,"1,785.00","1,835.00","1,785.00","1,785.00",35.00,2.00,2.86,"12,877","30,473",0,232,"1,623",-64,166,"1,726",65,-90,"4,930",6,99,2,"1,731.00","1,612.00","1,542.00","1,334.92","1,152.58",852.28,"11,887","12,793","12,854"
2026/04/14,"1,805.00","1,820.00","1,750.00","1,750.00",10.00,0.57,4.02,"12,802","30,852",0,228,"-2,178",-159,94,"-2,244",65,162,"5,020",-13,93,2,"1,707.00","1,582.00","1,520.75","1,322.33","1,146.03",846.17,"11,991","12,691","12,522"
2026/04/13,"1,730.00","1,760.00","1,710.00","1,740.00",5.00,0.29,2.88,"7,069","20,473",0,123,-247,-310,35,-523,65,0,"4,858",3,106,2,"1,660.00","1,558.00","1,502.50","1,310.67","1,139.63",840.19,"11,669","12,463","12,272"
2026/04/10,"1,690.00","1,750.00","1,675.00","1,735.00",90.00,5.47,4.56,"11,557","31,879",0,199,581,25,250,857,65,-44,"4,858",17,103,2,"1,598.00","1,535.50","1,484.00","1,298.50","1,133.35",834.28,"12,246","13,142","12,308"
2026/04/09,"1,685.00","1,705.00","1,635.00","1,645.00",-20.00,-1.20,4.20,"15,129","31,714",0,253,"1,053",-98,871,"1,827",65,-711,"4,902",-14,86,2,"1,546.00","1,517.00","1,467.25","1,286.17","1,126.74",828.43,"12,447","13,643","12,486"
