分類,項目,2026Q2,2026Q1,2025Q4,2025Q3,2025Q2,2025Q1,2024Q4,2024Q3,2024Q2,2024Q1,2023Q4,2023Q3,2023Q2,2023Q1,2022Q4,2022Q3,2022Q2,2022Q1,2021Q4,2021Q3,2021Q2,2021Q1,2020Q4,2020Q3,2020Q2,2020Q1,2019Q4,2019Q3,2019Q2,2019Q1,2018Q4,2018Q3,2018Q2,2018Q1,2017Q4,2017Q3,2017Q2,2017Q1,2016Q4,2016Q3,2016Q2
資產,現金（億）,-,-,"1,512","1,384","1,395","1,403","1,175","1,204","1,056",972,875,700,754,692,615,649,610,532,499,544,575,609,587,518,493,496,440,453,442,685,596,587,575,561,574,691,602,540,556,545,639
資產,應收帳款（億）,-,-,"1,250","1,192",932,977,922,905,869,791,817,966,836,791,897,908,766,737,727,670,655,623,648,644,586,497,585,643,652,501,587,560,531,472,555,538,486,463,526,529,498
資產,存貨（億）,-,-,"1,015",868,815,834,839,806,745,724,762,809,820,805,798,788,713,672,661,619,562,491,449,435,439,380,393,397,430,334,343,319,316,304,308,291,275,245,260,244,231
資產,流動資產（億）,-,-,"3,958","3,634","3,316","3,381","3,109","3,085","2,820","2,626","2,600","2,589","2,514","2,384","2,405","2,436","2,176","2,017","1,969","1,909","1,875","1,788","1,749","1,671","1,581","1,427","1,476","1,553","1,592","1,578","1,573","1,517","1,477","1,392","1,477","1,570","1,409","1,310","1,384","1,365","1,425"
資產,基金投資（億）,-,-,61,84.6,81.9,85.6,85,82,79.7,80.9,34.8,49.5,47.7,49.2,46.2,43.2,44.4,47.9,50.2,45.8,49.8,60.1,56.7,46.3,43.6,43.1,51.8,54.7,59.5,147,164,166,161,165,161,160,162,162,173,166,165
資產,固定資產（億）,-,-,"1,420","1,244","1,171","1,198","1,157","1,086","1,037","1,015",980,961,912,891,863,845,803,791,766,754,730,711,684,664,654,638,636,625,623,485,464,454,456,439,443,430,420,394,406,406,414
資產,無形資產（億）,-,-,753,736,719,808,788,795,820,819,785,789,774,772,772,807,763,752,736,727,736,760,755,781,804,825,824,857,866,323,326,329,333,329,338,289,293,292,309,307,269
資產,其他資產（億）,-,-,57.7,70.9,39.3,45,35.4,33.3,34.3,33.9,33.9,82.1,32.6,34.9,36,23.9,28.5,23.2,23.5,23.4,22.2,21.1,19.4,19.4,20.9,24.4,21.8,22.6,21.2,17.7,25.5,25.7,25.4,30.7,27.5,73.1,30.5,25.9,26.2,22.4,22.8
資產,資產總額（億）,-,-,"6,396","5,906","5,464","5,666","5,319","5,226","4,938","4,721","4,577","4,611","4,417","4,266","4,259","4,283","3,939","3,742","3,651","3,556","3,509","3,438","3,364","3,283","3,202","3,058","3,110","3,218","3,271","2,653","2,619","2,559","2,523","2,419","2,505","2,583","2,377","2,235","2,351","2,318","2,349"
資產,現金％,-,-,23.6,23.4,25.5,24.8,22.1,23,21.4,20.6,19.1,15.2,17.1,16.2,14.5,15.2,15.5,14.2,13.7,15.3,16.4,17.7,17.5,15.8,15.4,16.2,14.1,14.1,13.5,25.8,22.8,22.9,22.8,23.2,22.9,26.7,25.3,24.2,23.6,23.5,27.2
