分類,項目,26M04,26M03,26M02,26M01,25M12,25M11,25M10,25M09,25M08,25M07,25M06,25M05,25M04,25M03,25M02,25M01,24M12,24M11,24M10,24M09,24M08,24M07,24M06,24M05,24M04,24M03,24M02,24M01,23M12,23M11,23M10,23M09,23M08,23M07,23M06,23M05,23M04,23M03,23M02,23M01,22M12
月營收,營收（億）,-,-,499,496.8,536.9,505.4,573.8,570.6,478.6,454,422.1,410.4,407.8,434.4,380.9,373.9,387.4,366.5,388.2,370.9,377.7,373.4,348.3,350.8,335.4,315.8,272.1,325.1,317,336.5,346.8,353.9,364.4,359.7,348.2,341.8,315.4,341.8,291.2,295.6,344.2
月營收,月增 %,-,-,0.44,-7.47,6.21,-11.9,0.56,19.2,5.42,7.55,2.83,0.64,-6.12,14,1.88,-3.49,5.7,-5.58,4.64,-1.78,1.15,7.2,-0.7,4.59,6.2,16.1,-16.3,2.58,-5.8,-2.96,-2,-2.88,1.28,3.3,1.87,8.37,-7.71,17.4,-1.5,-14.1,-3.6
月營收,年增 %,-,-,31,32.9,38.6,37.9,47.8,53.8,26.7,21.6,21.2,17,21.6,37.6,40,15,22.2,8.91,11.9,4.82,3.66,3.79,0.01,2.61,6.32,-7.61,-6.56,9.98,-7.91,-5.76,-2.4,-4.16,3.56,5.36,8.3,11.8,15.6,11.5,13.6,12.5,14.5
本益比,目前本益比,61.8,59.64,61.8,52.72,41.62,42.68,48.46,44.41,38.59,32.17,24.55,22.93,21.11,23.54,27.32,30.95,31.75,27.63,28.82,26.7,28.8,30.73,29.56,25.23,25.34,27.46,23.44,22.02,24.38,24.88,23.09,26.09,27.32,28.36,26.28,24.27,23.12,23.32,22.38,22.77,22.77
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
