項目,2021Q1,2021Q2,2021Q3,2021Q4,2022Q1,2022Q2,2022Q3,2022Q4,2023Q1,2023Q2,2023Q3,2023Q4,2024Q1,2024Q2,2024Q3,2024Q4,2025Q1,2025Q2,2025Q3,2025Q4,,,,,,,,,,
## 每股價值,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
近4季EPS,-,-,-,10.31,10.11,10.13,11.94,12.58,12.91,13.11,12.45,12.85,12.41,13.10,14.25,13.56,15.28,16.82,19.23,23.14,,,,,,,,,,
單季EPS,2.53,2.92,2.45,2.41,2.33,2.94,4.26,3.05,2.66,3.14,3.6,3.45,2.22,3.83,4.75,2.76,3.94,5.37,7.16,6.67,,,,,,,,,,
每股淨值,59.21,55.42,57.33,59.59,64.14,62.62,70.06,71.91,74.41,68.22,76.03,76.67,81.27,79.51,84.15,88.58,94.31,81.69,92.68,103.2,,,,,,,,,,
## 總資產,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
現金及約當現金,"60,858,095","57,483,109","54,393,270","49,855,053","53,165,861","61,048,738","64,941,352","61,546,836","69,192,921","75,369,349","70,006,505","87,455,916","97,216,667","105,567,377","120,444,815","117,459,250","140,291,096","139,527,968","138,355,883","151,172,175",,,,,,,,,,
短期投資,"932,925","1,042,097","1,033,252","1,085,729","1,404,647","1,449,914","1,392,627","1,759,612","1,782,595","2,195,627","2,100,345","4,904,074","4,282,070","4,451,932","5,815,595","4,180,276","3,974,524","3,697,138","3,686,307","3,724,428",,,,,,,,,,
應收帳款及票據,"60,510,876","63,481,377","64,932,889","70,884,841","71,032,575","74,786,151","88,577,585","87,227,262","76,275,867","82,129,093","87,287,989","79,379,663","77,009,325","84,853,929","87,801,829","89,920,501","95,310,131","91,443,153","116,018,198","121,716,564",,,,,,,,,,
存貨,"49,144,171","56,150,566","61,935,059","66,107,351","67,188,249","71,344,118","78,751,233","79,844,364","80,529,074","82,032,430","80,930,090","76,226,562","72,411,050","74,541,690","80,635,736","83,856,341","83,434,958","81,529,671","86,780,660","101,478,308",,,,,,,,,,
其餘流動資產,"7,312,705","9,298,261","8,578,033","8,945,220","8,916,660","9,003,473","9,905,020","10,072,392","10,612,554","9,690,858","18,565,858","11,991,969","11,643,274","12,562,136","13,770,387","15,508,480","15,072,810","15,417,328","18,604,246","17,689,312",,,,,,,,,,
流動資產,"178,758,772","187,455,410","190,872,503","196,878,194","201,707,992","217,632,394","243,567,817","240,450,466","238,393,011","251,417,357","258,890,787","259,958,184","262,562,386","281,977,064","308,468,362","310,924,848","338,083,519","331,615,258","363,445,294","395,780,787",,,,,,,,,,
長期投資,"4,034,727","3,175,035","3,056,288","3,415,529","3,144,985","2,785,469","2,753,823","2,864,057","2,515,726","2,369,044","2,423,959","1,466,798","1,486,820","1,366,533","1,694,574","1,695,724","1,772,483","1,739,787","1,872,507","1,997,342",,,,,,,,,,
固定資產,"71,097,325","73,025,221","75,393,641","76,607,285","79,143,617","80,310,399","84,548,986","86,266,587","89,136,306","91,187,717","96,078,331","98,001,515","101,536,053","103,734,799","108,592,011","115,710,424","119,804,425","117,057,726","124,413,972","142,039,843",,,,,,,,,,
其餘資產,"89,909,947","87,263,468","86,301,225","88,211,302","90,196,721","93,220,409","97,432,327","96,292,696","96,592,296","96,754,729","103,714,612","98,320,081","106,555,605","106,749,862","103,813,732","103,566,721","106,908,246","96,006,145","100,857,862","99,800,628",,,,,,,,,,
總資產,"343,800,771","350,919,134","355,623,657","365,112,310","374,193,315","393,948,671","428,302,953","425,873,806","426,637,339","441,728,847","461,107,689","457,746,578","472,140,864","493,828,258","522,568,679","531,897,717","566,568,673","546,418,916","590,589,635","639,618,600",,,,,,,,,,
## 負債和股東權益,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
短期借款,"1,678,806","1,562,853","2,885,046","4,397,362","3,503,632","2,335,181","2,040,552","2,076,762","1,387,775","2,452,071","1,620,129","3,334,888","4,916,038","1,501,544","1,585,979","1,917,874","1,517,683","1,609,213","1,429,677","2,364,109",,,,,,,,,,
合約負債,"5,076,625","5,701,674","5,699,419","5,438,939","5,454,738","6,052,343","6,740,837","7,536,826","8,383,813","7,651,939","7,834,140","9,156,906","9,327,961","9,427,596","10,899,527","10,771,046","11,504,580","10,211,443","9,174,976","10,686,522",,,,,,,,,,
應付短期票券,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,,,,,,,,,,
應付帳款及票據,"47,785,446","52,474,238","54,736,148","54,569,925","51,435,010","56,412,317","66,911,367","62,715,670","56,230,217","60,292,007","61,992,649","53,538,944","48,531,678","57,616,165","63,589,054","69,223,251","67,809,498","69,448,125","81,653,171","94,451,507",,,,,,,,,,
預收款項,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,,,,,,,,,,
一年內到期長期負債,無,無,無,無,無,無,無,無,無,無,"2,992,332","2,539,678","2,085,898","1,631,379","1,020,531","6,203,089","11,216,631","20,196,167","20,225,570","14,960,903",,,,,,,,,,
其餘流動負債,"42,204,140","54,152,586","39,560,874","43,763,251","43,261,763","57,723,485","47,111,537","52,684,170","51,209,206","78,329,644","53,900,398","57,514,137","58,667,226","73,700,811","58,875,602","64,167,866","65,878,889","82,490,871","72,131,996","87,201,948",,,,,,,,,,
流動負債,"96,745,017","113,891,351","102,881,487","108,169,477","103,655,143","122,523,326","122,804,293","125,013,428","117,211,011","148,725,661","128,339,648","126,084,553","123,528,801","143,877,495","135,970,693","152,283,126","157,927,281","183,955,819","184,615,390","209,664,989",,,,,,,,,,
長期負債,"36,445,402","36,853,575","47,674,204","43,913,787","42,072,475","45,327,429","56,007,140","44,337,342","44,151,664","42,712,997","55,336,411","51,420,422","53,863,773","57,986,834","76,620,225","56,308,906","64,511,989","59,023,693","66,854,794","56,703,273",,,,,,,,,,
其餘負債,"24,875,454","24,941,781","24,989,673","26,904,388","28,612,493","29,063,361","30,256,654","31,155,851","31,435,685","33,132,891","36,836,503","37,506,110","37,991,890","39,459,664","42,253,972","43,740,349","44,659,905","42,541,541","45,608,919","47,861,335",,,,,,,,,,
總負債,"158,065,873","175,686,707","175,545,364","178,987,652","174,340,111","196,914,116","209,068,087","200,506,621","192,798,360","224,571,549","220,512,562","215,011,085","215,384,464","241,323,993","254,844,890","252,332,381","267,099,175","285,521,053","297,079,103","314,229,597",,,,,,,,,,
淨值,"185,734,898","175,232,427","180,078,293","186,124,658","199,853,204","197,034,555","219,234,866","225,367,185","233,838,979","217,157,298","240,595,127","242,735,493","256,756,400","252,504,265","267,723,789","279,565,336","299,469,498","260,897,863","293,510,532","325,389,003",,,,,,,,,,
## 損益表,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
營收,"72,485,283","78,769,884","79,646,172","83,769,457","82,538,075","89,996,793","106,248,153","105,660,287","92,859,244","100,551,392","107,795,435","100,020,430","91,297,990","103,443,972","112,203,112","114,202,483","118,919,406","124,035,086","150,317,577","161,613,099",,,,,,,,,,
毛利,"21,607,221","23,679,865","22,543,598","22,378,767","22,512,556","26,470,173","32,177,330","29,612,504","25,567,704","29,370,737","31,869,727","30,404,860","26,948,546","35,301,697","39,193,620","35,136,311","37,788,422","44,048,863","52,416,077","55,903,196",,,,,,,,,,
銷售費用,"4,708,340","4,945,198","4,771,215","5,016,777","4,961,267","5,405,018","6,121,842","6,045,537","5,786,959","6,026,417","6,009,701","6,312,964","6,212,787","6,718,047","6,904,381","7,992,850","7,597,398","7,950,345","8,914,939","10,263,811",,,,,,,,,,
管理費用,"2,990,768","3,072,047","3,100,668","3,214,581","3,164,552","3,610,588","4,030,312","4,091,118","3,686,641","4,133,349","4,378,926","3,753,036","4,199,535","4,707,556","5,191,182","5,294,114","4,974,904","5,373,043","5,890,245","6,098,209",,,,,,,,,,
研發費用,"6,465,750","6,970,466","6,887,397","6,878,876","6,865,896","7,691,908","8,487,504","8,724,673","7,671,553","8,831,063","9,619,854","9,925,380","8,973,915","10,616,316","10,822,681","11,161,860","11,063,402","11,845,276","12,778,815","13,055,216",,,,,,,,,,
營業費用,"14,105,997","14,899,430","14,765,657","15,073,626","15,043,436","16,815,402","18,639,649","18,835,252","17,161,116","19,088,121","19,972,647","20,041,307","19,553,862","22,169,093","22,770,583","24,434,868","23,752,418","25,380,093","27,607,242","29,484,731",,,,,,,,,,
營業利益,"7,501,224","8,780,435","7,777,941","7,305,141","7,469,120","9,654,771","13,537,681","10,777,252","8,406,588","10,282,616","11,897,080","10,363,553","7,394,684","13,132,604","16,423,037","10,701,443","14,036,004","18,668,770","24,808,835","26,418,465",,,,,,,,,,
稅前淨利,"8,814,247","10,080,972","8,287,209","8,445,119","8,539,377","10,831,065","15,171,339","11,523,517","9,959,301","11,948,074","13,770,930","12,963,806","8,765,358","15,035,803","17,674,803","9,839,664","15,662,898","19,571,189","26,983,288","25,648,621",,,,,,,,,,
稅後淨利,"7,043,295","8,063,477","6,597,820","6,794,641","6,830,790","8,841,522","12,221,770","9,096,656","7,971,081","9,523,189","11,029,748","10,356,349","6,967,245","11,954,016","14,146,895","7,322,944","12,043,322","15,333,730","20,921,520","19,637,736",,,,,,,,,,
