交易日期,開盤,最高,最低,收盤,漲跌,漲跌%,振幅%,成交張數,成交筆數,成交均張,成交億元,外資,投信,自營,法人合計,外資持股%,融資增減,融資餘額,融券增減,融券餘額,券資比%,5日均線,10日均線,20日均線,60日均線,120日均線,240日均線,5日平均成交量,10日平均成交量,20日平均成交量
2026/04/24,227.00,227.00,218.00,221.50,-3.50,-1.56,4.00,"77,230","77,948",1,172,"-4,277",-488,170,"-4,594",37,"-2,297","55,693",-203,433,1,217.20,211.40,203.98,214.18,224.04,202.97,"97,899","75,128","63,006"
2026/04/23,229.50,233.00,218.00,225.00,4.00,1.81,6.79,"172,707","167,373",1,390,"27,796",210,-121,"27,886",37,437,"57,990",233,636,1,214.10,209.30,202.90,214.39,224.18,202.65,"92,241","73,453","61,301"
2026/04/22,213.00,223.50,212.50,221.00,10.00,4.74,5.21,"140,960","108,092",1,310,"40,064","6,320","2,013","48,396",37,"-1,654","57,553",108,403,1,210.50,206.80,201.40,214.53,224.30,202.30,"66,752","60,576","55,480"
2026/04/21,210.00,213.00,209.50,211.00,3.50,1.69,1.69,"59,285","46,677",1,125,"15,363",-612,839,"15,590",36,"-1,452","59,207",26,295,1,207.80,204.85,200.15,214.76,224.34,201.96,"52,811","53,171","52,356"
2026/04/20,206.00,209.50,204.50,207.50,1.50,0.73,2.43,"39,312","32,617",1,82,"-1,915",-376,-213,"-2,504",36,-265,"60,659",15,269,0,207.10,202.95,199.75,215.02,224.44,201.65,"52,745","50,903","54,038"
2026/04/17,207.50,209.50,203.50,206.00,-1.00,-0.48,2.90,"48,943","53,011",1,101,"-2,625","-1,359",-312,"-4,297",36,110,"60,924",-54,254,0,205.60,201.50,199.63,215.37,224.43,201.36,"52,358","51,167","56,527"
2026/04/16,207.50,211.00,206.00,207.00,-0.50,-0.24,2.41,"45,262","39,314",1,94,"-6,899",-550,102,"-7,346",36,391,"60,814",1,308,1,204.50,200.60,199.83,215.78,224.43,201.06,"54,664","50,796","57,936"
2026/04/15,211.50,211.50,206.50,207.50,0.00,0.00,2.41,"71,251","57,933",1,149,"2,932",-574,-11,"2,348",36,-93,"60,423",20,307,1,203.10,198.65,200.08,216.15,224.48,200.76,"54,400","55,842","61,212"
2026/04/14,204.00,208.00,203.50,207.50,7.50,3.75,2.25,"58,959","48,569",1,122,"17,772",-76,"1,436","19,133",37,"-1,159","60,516",16,287,0,201.90,197.30,200.53,216.67,224.60,200.46,"53,532","53,368","59,576"
2026/04/13,200.00,202.50,198.50,200.00,-0.50,-0.25,2.00,"37,375","25,621",1,75,"7,366","-4,413",385,"3,339",36,-189,"61,675",13,271,0,198.80,196.50,200.88,217.14,224.75,200.16,"49,060","50,424","58,473"
2026/04/10,200.50,202.50,199.50,200.50,0.50,0.25,1.50,"60,471","37,467",2,122,"-4,481",-416,594,"-4,302",36,352,"61,864",1,258,0,197.40,196.55,201.60,217.72,224.98,199.89,"49,976","50,884","58,870"
2026/04/09,201.00,201.50,198.00,200.00,-1.50,-0.74,1.74,"43,946","35,544",1,88,"-5,433",-525,-245,"-6,203",36,206,"61,512",-25,257,0,196.70,196.50,202.53,218.24,225.20,199.64,"46,927","49,150","58,581"
2026/04/08,196.50,202.00,196.50,201.50,9.50,4.95,2.86,"66,909","49,201",1,134,"11,610",-84,"4,648","16,174",36,-222,"61,283",-110,299,0,194.20,196.00,203.00,218.75,225.41,199.38,"57,284","50,384","59,856"
2026/04/07,195.00,195.50,189.50,192.00,-1.00,-0.52,3.11,"36,598","43,824",1,70,"-10,781",-142,614,"-10,309",36,362,"61,505",-8,409,1,192.70,195.45,203.45,219.19,225.56,199.10,"53,203","51,540","61,181"
2026/04/02,198.00,199.00,191.50,193.00,-4.00,-2.03,3.81,"41,955","41,669",1,81,"-5,414",-434,327,"-5,520",36,327,"61,143",58,417,1,194.20,196.55,205.00,219.84,225.76,198.82,"51,788","57,173","61,217"
2026/04/01,195.00,197.50,194.50,197.00,9.50,5.07,1.60,"45,229","36,115",1,89,"10,467",59,"2,463","12,989",36,"-1,326","60,816",-296,359,1,195.70,197.75,206.55,220.38,225.98,198.48,"51,792","61,887","61,902"
2026/03/31,191.00,192.50,187.50,187.50,-6.50,-3.35,2.58,"95,729","99,913",0.96,181,"-21,640",-225,"2,683","-19,182",36,"-1,087","62,142",531,655,1,196.30,199.05,207.55,220.83,226.25,198.18,"51,373","65,077","65,756"
2026/03/30,194.50,195.50,193.00,194.00,-5.50,-2.76,1.25,"46,504","60,931",0.76,90.3,"-13,625",238,-387,"-13,774",36.4,131,"63,229",20,124,0.2,197.80,201.50,209.63,221.44,226.55,197.98,"43,483","66,582","65,360"
2026/03/27,197.00,200.50,196.50,199.50,-1.00,-0.50,2.00,"29,525","33,104",0.89,58.5,"-3,214",327,"1,071","-1,816",36.5,"-1,348","63,098",104,104,0.16,198.20,203.75,211.88,221.94,226.78,197.81,"49,876","65,785","66,790"
2026/03/26,202.50,206.00,200.50,200.50,0.50,0.25,2.75,"41,973","43,536",0.96,85.3,"-5,428",-130,337,"-5,221",36.6,-493,"64,446",0,0,0,198.90,205.25,214.05,222.31,226.91,197.61,"62,557","66,522","71,449"
2026/03/25,200.00,201.00,197.00,200.00,5.00,2.56,2.05,"43,133","39,973",1.08,85.9,"9,605",-391,"1,596","10,811",36.6,-412,"64,939",0,0,0,199.80,206.65,216.35,222.57,227.03,197.38,"71,981","66,855","77,765"
2026/03/24,198.50,199.50,194.00,195.00,-1.00,-0.51,2.81,"56,280","62,593",0.9,111,"-3,542",-26,660,"-2,908",36.5,-45,"65,351",-10,0,0,201.80,208.55,217.95,222.84,227.15,197.19,"78,782","68,012","79,027"
2026/03/23,196.50,197.50,195.00,196.00,-7.00,-3.45,1.23,"78,471","121,660",0.64,154,"-28,425",394,-328,"-28,359",36.6,-935,"65,396",-189,10,0.02,205.20,210.00,219.63,223.23,227.29,197.05,"89,681","69,328","80,685"
2026/03/20,203.50,205.00,200.50,203.00,-2.00,-0.98,2.2,"92,926","93,930",0.99,188,"-4,889","-1,126",25,"-5,991",36.8,-59,"66,331",-115,199,0.3,209.30,211.45,221.18,223.65,227.45,196.92,"81,694","70,822","80,144"
2026/03/19,207.50,207.50,205.00,205.00,-5.00,-2.38,1.19,"89,096","135,863",0.66,184,"-37,046",-45,-670,"-37,762",36.8,"1,652","66,390",-138,314,0.47,211.60,213.45,222.08,224.05,227.56,196.76,"70,487","65,261","77,856"
2026/03/18,212.50,213.50,210.00,210.00,-2.00,-0.94,1.65,"77,136","90,963",0.85,163,"-38,172",-42,"4,311","-33,904",37,"1,214","64,738",-127,452,0.7,213.50,215.35,222.75,224.40,227.67,196.59,"61,729","61,918","74,954"
2026/03/17,215.50,216.50,212.00,212.00,-4.50,-2.08,2.08,"110,777","122,819",0.9,236,"-66,453",-739,"-1,541","-68,732",37.3,"1,699","63,524",-163,579,0.91,215.30,216.05,223.00,224.79,227.70,196.40,"57,243","66,434","73,927"
