分類,項目,2026Q2,2026Q1,2025Q4,2025Q3,2025Q2,2025Q1,2024Q4,2024Q3,2024Q2,2024Q1,2023Q4,2023Q3,2023Q2,2023Q1,2022Q4,2022Q3,2022Q2,2022Q1,2021Q4,2021Q3,2021Q2,2021Q1,2020Q4,2020Q3,2020Q2,2020Q1,2019Q4,2019Q3,2019Q2,2019Q1,2018Q4,2018Q3,2018Q2,2018Q1,2017Q4,2017Q3,2017Q2,2017Q1,2016Q4,2016Q3,2016Q2
資產,現金（億）,-,-,"10,164","8,653","8,705","9,293","9,371","7,911","10,487","11,634","11,977","12,080","11,877","11,195","10,623","12,006","12,231","11,846","10,594","10,737","11,126","11,122","12,328","10,185","9,532","9,314","8,579","7,886","8,169","8,193","7,887","6,944","7,288","5,768","6,425","6,132","5,959","5,350","6,332","6,531","6,293"
資產,應收帳款（億）,-,-,"12,344","13,037","9,882","11,126","11,981","12,434","9,216","7,691","9,370","10,587","8,592","7,681","11,564","13,229","9,935","9,462","12,235","9,903","8,776","8,361","10,060","7,903","8,182","7,210","11,243","11,274","8,715","7,990","11,892","11,784","8,692","7,377","13,808","7,559","6,012","5,484","7,768","5,790","4,849"
資產,存貨（億）,-,-,"10,956","11,857","9,358","10,476","8,350","8,835","8,085","7,532","7,308","7,723","7,588","8,132","9,390","8,805","7,509","7,545","6,721","6,586","5,312","6,350","5,821","7,080","5,049","5,322","5,158","6,908","5,712","5,706","6,250","7,242","6,108","5,710","5,610","5,195","3,753","3,511","3,873","4,196","3,707"
資產,流動資產（億）,-,-,"39,618","38,218","31,598","35,331","33,758","32,962","30,062","28,483","30,360","31,506","28,710","27,595","32,005","34,677","30,431","29,842","30,344","28,154","26,007","26,544","28,846","25,965","23,478","22,969","25,737","27,100","23,971","23,188","27,065","27,609","23,556","20,499","27,461","20,455","17,345","16,036","19,312","17,730","16,338"
資產,基金投資（億）,-,-,"4,470","4,435","3,860","4,052","4,063","4,097","4,033","3,874","3,931","3,896","3,896","3,980","4,358","4,409","4,388","4,212","4,296","4,077","4,085","3,874","3,758","3,478","3,402","3,225","3,370","3,366","3,352","3,334","3,206","3,130","3,087","3,035","2,818","3,615","3,709","3,813","2,960","2,480","1,328"
資產,固定資產（億）,-,-,"5,434","4,918","4,581","4,920","4,688","4,347","4,242","4,104","3,940","3,832","3,637","3,666","3,624","3,473","3,259","3,189","3,101","2,955","2,879","2,895","2,871","2,781","2,699","2,775","2,875","2,720","2,815","2,800","2,779","2,672","2,742","2,784","2,782","2,975","2,940","2,901","3,092","3,070","3,172"
資產,無形資產（億）,-,-,397,389,381,426,424,411,409,405,396,505,457,454,467,469,458,475,454,458,454,464,448,392,406,414,414,300,302,302,304,309,94.5,92,95.5,97.3,101,104,105,28.1,29.9
資產,其他資產（億）,-,-,236,179,186,288,217,167,214,213,156,283,308,263,274,261,273,604,287,235,122,119,157,140,153,161,158,88,87.8,89.7,298,436,555,659,765,316,316,295,305,299,539
資產,資產總額（億）,-,-,"51,047","48,945","41,389","45,868","43,945","42,723","39,668","37,736","39,398","40,634","37,626","36,593","41,340","43,889","39,432","38,935","39,089","36,487","34,173","34,564","36,743","33,441","30,839","30,227","33,209","34,151","31,146","30,409","33,814","34,368","30,229","27,222","34,072","27,627","24,576","23,323","25,920","23,790","21,584"
資產,現金％,-,-,19.9,17.7,21,20.3,21.3,18.5,26.4,30.8,30.4,29.7,31.6,30.6,25.7,27.4,31,30.4,27.1,29.4,32.6,32.2,33.6,30.5,30.9,30.8,25.8,23.1,26.2,26.9,23.3,20.2,24.1,21.2,18.9,22.2,24.2,22.9,24.4,27.5,29.2
資產,應收帳款％,-,-,24.2,26.6,23.9,24.3,27.3,29.1,23.2,20.4,23.8,26.1,22.8,21,28,30.1,25.2,24.3,31.3,27.1,25.7,24.2,27.4,23.6,26.5,23.9,33.9,33,28,26.3,35.2,34.3,28.8,27.1,40.5,27.4,24.5,23.5,30,24.3,22.5
資產,存貨％,-,-,21.5,24.2,22.6,22.8,19,20.7,20.4,20,18.5,19,20.2,22.2,22.7,20.1,19,19.4,17.2,18.1,15.5,18.4,15.8,21.2,16.4,17.6,15.5,20.2,18.3,18.8,18.5,21.1,20.2,21,16.5,18.8,15.3,15.1,14.9,17.6,17.2
資產,流動資產％,-,-,77.6,78.1,76.3,77,76.8,77.2,75.8,75.5,77.1,77.5,76.3,75.4,77.4,79,77.2,76.6,77.6,77.2,76.1,76.8,78.5,77.6,76.1,76,77.5,79.4,77,76.3,80,80.3,77.9,75.3,80.6,74,70.6,68.8,74.5,74.5,75.7
資產,基金投資％,-,-,8.76,9.06,9.33,8.83,9.24,9.59,10.2,10.3,9.98,9.59,10.4,10.9,10.5,10,11.1,10.8,11,11.2,12,11.2,10.2,10.4,11,10.7,10.1,9.86,10.8,11,9.48,9.11,10.2,11.1,8.27,13.1,15.1,16.3,11.4,10.4,6.15
資產,固定資產％,-,-,10.6,10,11.1,10.7,10.7,10.2,10.7,10.9,10,9.43,9.67,10,8.77,7.91,8.26,8.19,7.93,8.1,8.42,8.38,7.81,8.32,8.75,9.18,8.66,7.97,9.04,9.21,8.22,7.78,9.07,10.2,8.17,10.8,12,12.4,11.9,12.9,14.7
資產,無形資產％,-,-,0.78,0.8,0.92,0.93,0.97,0.96,1.03,1.07,1.01,1.24,1.21,1.24,1.13,1.07,1.16,1.22,1.16,1.25,1.33,1.34,1.22,1.17,1.32,1.37,1.25,0.88,0.97,0.99,0.9,0.9,0.31,0.34,0.28,0.35,0.41,0.45,0.41,0.12,0.14
資產,其他資產％,-,-,0.46,0.37,0.45,0.63,0.49,0.39,0.54,0.56,0.4,0.7,0.82,0.72,0.66,0.59,0.69,1.55,0.73,0.65,0.36,0.34,0.43,0.42,0.5,0.53,0.48,0.26,0.28,0.3,0.88,1.27,1.84,2.42,2.25,1.14,1.29,1.26,1.18,1.26,2.5
負債,應付帳款（億）,-,-,"16,040","16,279","13,126","14,487","13,890","13,659","11,837","10,036","11,205","11,833","10,573","9,642","13,157","14,421","11,006","11,471","12,893","10,882","10,122","10,518","12,858","10,927","9,143","8,535","11,239","12,323","9,671","8,346","11,770","12,764","9,215","7,926","14,722","9,722","8,355","6,744","9,281","8,805","7,117"
負債,流動負債（億）,-,-,"27,108","27,018","21,305","23,572","21,748","20,904","18,714","17,182","19,093","20,130","18,201","17,304","21,138","23,688","19,995","19,674","19,977","18,171","16,509","17,192","19,163","17,370","14,880","13,789","16,575","17,965","14,683","13,329","18,099","19,212","14,875","13,045","20,255","14,054","11,337","9,572","12,526","11,168","9,577"
負債,長期負債（億）,-,-,"3,068","2,734","2,910","2,990","2,878","2,969","2,921","2,884","2,716","2,872","2,852","2,545","3,010","3,105","2,961","2,783","2,756","2,632","2,322","2,307","2,333","1,851","2,192","2,233","2,171","2,337","2,500","2,587","2,153","2,169","1,962","1,893","1,885","1,627","1,520","1,518","1,782","1,992","1,560"
負債,其他負債（億）,-,-,193,190,158,146,136,135,137,144,131,132,128,116,116,113,116,121,115,111,105,105,110,94.1,71.2,65.9,72.7,70.5,70.3,77.3,91.1,95.3,87.8,96.7,89,90.2,90.6,85.5,87.7,98,99.7
負債,負債總額（億）,-,-,"31,339","30,725","25,073","27,474","25,429","24,745","22,452","20,828","22,535","23,763","21,783","20,566","24,834","27,400","23,582","23,084","23,356","21,356","19,364","20,023","22,001","19,724","17,582","16,526","19,213","20,740","17,642","16,423","20,489","21,683","17,130","15,179","22,354","16,060","13,247","11,488","14,583","13,356","11,333"
負債,應付帳款％,-,-,31.4,33.3,31.7,31.6,31.6,32,29.8,26.6,28.4,29.1,28.1,26.4,31.8,32.9,27.9,29.5,33,29.8,29.6,30.4,35,32.7,29.6,28.2,33.8,36.1,31.1,27.4,34.8,37.1,30.5,29.1,43.2,35.2,34,28.9,35.8,37,33
負債,流動負債％,-,-,53.1,55.2,51.5,51.4,49.5,48.9,47.2,45.5,48.5,49.5,48.4,47.3,51.1,54,50.7,50.5,51.1,49.8,48.3,49.7,52.2,51.9,48.3,45.6,49.9,52.6,47.1,43.8,53.5,55.9,49.2,47.9,59.4,50.9,46.1,41,48.3,46.9,44.4
負債,長期負債％,-,-,6.01,5.59,7.03,6.52,6.55,6.95,7.36,7.64,6.89,7.07,7.58,6.95,7.28,7.07,7.51,7.15,7.05,7.21,6.79,6.67,6.35,5.54,7.11,7.39,6.54,6.84,8.03,8.51,6.37,6.31,6.49,6.95,5.53,5.89,6.18,6.51,6.88,8.37,7.23
負債,其他負債％,-,-,0.38,0.39,0.38,0.32,0.31,0.32,0.35,0.38,0.33,0.33,0.34,0.32,0.28,0.26,0.29,0.31,0.29,0.3,0.31,0.3,0.3,0.28,0.23,0.22,0.22,0.21,0.23,0.25,0.27,0.28,0.29,0.36,0.26,0.33,0.37,0.37,0.34,0.41,0.46
負債,負債總額％,-,-,61.4,62.8,60.6,59.9,57.9,57.9,56.6,55.2,57.2,58.5,57.9,56.2,60.1,62.4,59.8,59.3,59.8,58.5,56.7,57.9,59.9,59,57,54.7,57.9,60.7,56.6,54,60.6,63.1,56.7,55.8,65.6,58.1,53.9,49.3,56.3,56.1,52.5
股東,股本（億）,-,-,"1,396","1,396","1,389","1,389","1,389","1,386","1,386","1,386","1,386","1,386","1,386","1,386","1,386","1,386","1,386","1,386","1,386","1,386","1,386","1,386","1,386","1,386","1,386","1,386","1,386","1,386","1,386","1,386","1,386","1,386","1,733","1,733","1,733","1,733","1,733","1,733","1,733","1,733","1,564"
股東,股東權益（億）,-,-,"19,708","18,219","16,316","18,394","18,516","17,978","17,217","16,908","16,862","16,871","15,843","16,028","16,505","16,489","15,850","15,851","15,733","15,132","14,809","14,541","14,741","13,717","13,257","13,701","13,996","13,411","13,504","13,985","13,324","12,685","13,100","12,043","11,718","11,566","11,329","11,835","11,338","10,435","10,251"
股東,股東權益％,-,-,38.6,37.2,39.4,40.1,42.1,42.1,43.4,44.8,42.8,41.5,42.1,43.8,39.9,37.6,40.2,40.7,40.2,41.5,43.3,42.1,40.1,41,43,45.3,42.1,39.3,43.4,46,39.4,36.9,43.3,44.2,34.4,41.9,46.1,50.7,43.7,43.9,47.5
股東,每股淨值,-,-,127,117,105,118,118,115,110,107,108,107,100,101,105,105,100,100,99.6,95.9,94,91.9,93.6,87.4,84.4,87.4,89.5,87,87.8,91.4,87.4,83,68.6,64.5,62.6,61.8,61.2,64.2,62.3,57.3,62.3
獲利,營業收入（億）,-,-,"26,064","20,589","17,935","16,443","21,305","18,546","15,506","13,240","18,521","15,432","13,045","14,624","19,630","17,466","15,098","14,076","18,898","14,058","13,515","13,471","20,090","12,915","11,283","9,291","17,409","13,878","11,598","10,543","18,099","13,758","10,795","10,286","17,304","10,789","9,224","9,750","14,032","10,753","9,221"
獲利,營業毛利（億）,-,-,"1,533","1,308","1,135","1,005","1,310","1,147",995,837,"1,133","1,028",836,883,"1,111","1,076",966,848,"1,139",886,815,781,"1,144",801,666,418,"1,126",834,616,583,"1,268",808,608,637,"1,056",629,628,717,"1,185",800,555
獲利,營業利益（億）,-,-,856,705,566,465,645,548,446,368,489,461,309,405,442,485,443,367,527,362,325,276,515,324,225,45.3,497,335,155,161,643,314,158,247,324,187,250,365,767,421,208
