交易日期,開盤,最高,最低,收盤,漲跌,漲跌%,振幅%,成交張數,成交筆數,成交均張,成交億元,外資,投信,自營,法人合計,外資持股%,融資增減,融資餘額,融券增減,融券餘額,券資比%,5日均線,10日均線,20日均線,60日均線,120日均線,240日均線,5日平均成交量,10日平均成交量,20日平均成交量
2026/04/02,256.00,257.00,245.00,246.00,-5.50,-2.19,4.77,"13,724","17,371",1,34,"-2,154",-45,-77,"-2,275",47,-230,"35,919",-3,58,0,251.80,255.55,260.15,265.08,242.90,329.66,"14,252","17,708","23,262"
2026/04/01,252.50,256.00,251.00,251.50,8.00,3.29,2.05,"12,123","13,077",1,31,"2,068",-513,120,"1,675",47,318,"36,149",2,61,0,255.00,258.45,261.23,264.72,242.23,330.84,"14,230","19,543","23,847"
2026/03/31,256.50,258.50,243.00,243.50,-14.50,-5.62,6.01,"21,189","25,468",1,53,"-5,835",62,-245,"-6,018",47,-145,"35,831",22,59,0,256.70,261.35,261.60,264.23,241.55,332.00,"14,601","24,317","25,379"
2026/03/30,253.50,258.00,250.00,258.00,-2.00,-0.77,3.08,"12,431","13,972",1,32,-705,570,-31,-166,48,-615,"35,976",1,37,0,258.10,265.60,263.45,263.88,241.02,333.16,"14,072","27,614","26,439"
2026/03/27,258.00,261.00,253.50,260.00,-2.00,-0.76,2.86,"11,792","20,523",0.57,30.3,-679,15,215,-448,48,175,"36,591",1,36,0,257.10,265.80,265.15,263.35,240.34,334.27,"17,291","27,836","27,324"
2026/03/26,259.00,268.00,259.00,262.00,2.00,0.77,3.46,"13,616","15,282",0.89,35.9,"2,869",-18,38.2,"2,889",47.7,-196,"36,416",35,35,0.1,259.30,265.60,267.05,262.72,239.66,335.41,"21,164","28,123","29,068"
2026/03/25,257.50,263.00,257.00,260.00,9.50,3.79,2.40,"13,975","14,736",0.95,36.3,"5,206",-2,408,"5,612",47.6,-909,"36,612",0,0,0,261.90,264.55,268.95,261.98,238.92,336.56,"24,855","29,425","30,242"
2026/03/24,258.00,258.00,246.00,250.50,-2.50,-0.99,4.74,"18,546","20,910",0.89,46.8,"-1,580",-776,-306,"-2,662",47.3,-53,"37,521",0,0,0,266.00,265.00,271.00,261.33,238.07,337.68,"34,033","29,923","33,663"
2026/03/23,255.00,258.00,250.50,253.00,-18.00,-6.64,2.77,"28,524","35,468",0.8,72.4,"-5,497","-1,114","-1,224","-7,835",47.4,"-1,692","37,574",-4,0,0,273.10,265.80,272.55,260.88,237.28,338.88,"41,156","30,228","34,558"
2026/03/20,280.00,287.00,266.50,271.00,-4.00,-1.45,7.45,"31,158","27,530",1.13,85.3,"-4,670",322,-511,"-4,859",47.6,286,"39,266",-60,4,0.01,274.50,265.35,272.70,260.51,236.42,340.02,"38,380","30,385","33,984"
