分類,項目,2026Q2,2026Q1,2025Q4,2025Q3,2025Q2,2025Q1,2024Q4,2024Q3,2024Q2,2024Q1,2023Q4,2023Q3,2023Q2,2023Q1,2022Q4,2022Q3,2022Q2,2022Q1,2021Q4,2021Q3,2021Q2,2021Q1,2020Q4,2020Q3,2020Q2,2020Q1,2019Q4,2019Q3,2019Q2,2019Q1,2018Q4,2018Q3,2018Q2,2018Q1,2017Q4,2017Q3,2017Q2,2017Q1,2016Q4,2016Q3,2016Q2
資產,現金（億）,-,-,815,810,682,664,611,473,545,472,530,651,562,469,394,371,357,429,391,369,335,313,229,236,293,261,162,262,299,315,204,304,284,111,57.6,64.6,88.8,49.1,76.2,41,51.6
資產,應收帳款（億）,-,-,305,281,274,259,250,262,270,248,239,233,218,221,245,256,270,250,234,266,255,236,147,138,164,103,102,97.8,97.5,117,202,317,208,129,122,112,97.2,92,103,103,91.2
資產,存貨（億）,-,-,316,283,267,278,278,268,265,266,279,251,254,253,269,288,288,261,252,233,210,192,145,139,160,61.2,56.8,62.5,82.7,96.4,103,76.4,78.9,60.4,48.7,43,42.8,43.6,47.8,43.2,47.1
資產,流動資產（億）,-,-,"1,653","1,617","1,540","1,675","1,583","1,506","1,504","1,403","1,319","1,348","1,248","1,163","1,117","1,141","1,106","1,087","1,048","1,032",947,911,699,693,722,460,371,504,568,622,609,776,657,398,351,362,332,283,314,274,268
資產,基金投資（億）,-,-,456,393,403,374,398,399,385,336,339,312,299,271,268,260,241,181,127,120,116,95.9,93.5,94.8,103,101,102,125,159,153,155,176,204,145,150,139,75.2,56.7,49,48,47.1
資產,固定資產（億）,-,-,653,621,622,666,664,674,676,685,683,669,650,630,599,568,540,534,507,512,512,509,415,403,386,205,205,205,208,194,186,194,200,180,163,145,136,125,122,123,135
資產,無形資產（億）,-,-,"1,067",912,897,966,949,938,950,942,917,761,741,716,722,740,703,682,664,668,669,700,590,594,599,258,259,260,261,261,262,36.4,35.5,21.6,21.6,21.7,21.2,20.1,20.8,21.3,23.8
資產,其他資產（億）,-,-,14.3,11.4,11.4,11.1,11.9,10.7,10.1,8.86,9.67,10,10.3,35.3,17.9,17,9.31,9.41,11.4,11.3,13.2,13.6,6.49,3.98,4.44,2.53,2.54,2.56,2.58,2.58,3.59,4.02,4.05,2.93,2.96,2.92,2.86,2.91,3.06,3,3.06
資產,資產總額（億）,-,-,"3,908","3,614","3,539","3,751","3,667","3,581","3,582","3,426","3,322","3,145","2,993","2,862","2,772","2,777","2,654","2,552","2,429","2,404","2,314","2,281","1,854","1,836","1,863","1,050",964,"1,122","1,221","1,257","1,237","1,213","1,121",765,697,680,577,499,517,477,484
資產,現金％,-,-,20.8,22.4,19.3,17.7,16.7,13.2,15.2,13.8,15.9,20.7,18.8,16.4,14.2,13.3,13.5,16.8,16.1,15.4,14.5,13.7,12.3,12.8,15.7,24.8,16.8,23.4,24.5,25.1,16.5,25.1,25.3,14.5,8.27,9.5,15.4,9.84,14.7,8.59,10.7
資產,應收帳款％,-,-,7.81,7.78,7.74,6.91,6.83,7.32,7.54,7.23,7.19,7.41,7.27,7.71,8.84,9.2,10.2,9.81,9.62,11.1,11,10.3,7.91,7.5,8.79,9.77,10.6,8.72,7.99,9.27,16.4,26.2,18.5,16.9,17.5,16.5,16.8,18.4,19.8,21.6,18.8
