交易日期,開盤,最高,最低,收盤,漲跌,漲跌%,振幅%,成交張數,成交筆數,成交均張,成交億元,外資,投信,自營,法人合計,外資持股%,融資增減,融資餘額,融券增減,融券餘額,券資比%,5日均線,10日均線,20日均線,60日均線,120日均線,240日均線,5日平均成交量,10日平均成交量,20日平均成交量
2026/05/08,"2,300.00","2,310.00","2,265.00","2,290.00",-20.00,-0.87,1.95,"31,730","153,342",0,728,-858,"1,269",108,519,71,-209,"26,631",-3,116,0,"2,275.00","2,235.50","2,140.00","1,954.58","1,750.17","1,465.74","36,565","48,106","43,323"
2026/05/07,"2,335.00","2,345.00","2,310.00","2,310.00",60.00,2.67,1.56,"41,966","127,355",0,974,"3,885","1,433",148,"5,466",71,-844,"26,840",-2,119,0,"2,244.00","2,214.50","2,123.25","1,946.50","1,743.63","1,460.23","42,136","50,425","43,539"
2026/05/06,"2,250.00","2,285.00","2,240.00","2,250.00",0.00,0.00,2.00,"38,027","125,342",0,859,"-4,320","1,935",-213,"-2,598",71,-614,"27,684",4,121,0,"2,218.00","2,188.50","2,105.25","1,938.33","1,736.96","1,454.60","43,572","48,974","44,132"
2026/05/05,"2,250.00","2,270.00","2,240.00","2,250.00",-25.00,-1.10,1.32,"26,645","153,870",0,600,"-8,581","1,496",-195,"-7,280",71,415,"28,298",-12,117,0,"2,211.00","2,168.50","2,085.75","1,930.50","1,730.71",-,"47,434","47,977","43,225"
2026/05/04,"2,200.00","2,285.00","2,195.00","2,275.00",140.00,6.56,4.22,"44,459","129,173",0.34,999,"9,112",809,378,"10,299",71,-935,"27,883",29,129,0,"2,214.00","2,146.00","2,063.75","1,922.25","1,724.50",-,"58,061","48,369","43,359"
2026/04/30,"2,205.00","2,215.00","2,135.00","2,135.00",-45.00,-2.06,3.67,"59,584","290,470",0.21,"1,291","-21,183",596,115,"-20,472",70.7,-177,"28,818",3,100,0.35,"2,196.00","2,121.50","2,042.75","1,913.83","1,718.08",-,"59,647","48,367","43,459"
2026/04/29,"2,175.00","2,210.00","2,165.00","2,180.00",-35.00,-1.58,2.03,"49,147","233,692",0.21,"1,073","-15,783","1,002",-358,"-15,139",70.8,228,"28,995",-2,97,0.33,"2,185.00","2,116.50","2,024.00","1,907.58","1,712.58",-,"58,714","46,006","44,272"
2026/04/28,"2,245.00","2,280.00","2,215.00","2,215.00",-50.00,-2.21,2.87,"57,336","308,514",0.19,"1,284","-22,114",861,500,"-20,752",70.8,-192,"28,767",-27,99,0.34,"2,159.00","2,106.50","2,004.00","1,900.25","1,706.75",-,"54,376","45,774","44,128"
2026/04/27,"2,280.00","2,330.00","2,265.00","2,265.00",80.00,3.66,2.97,"79,778","323,994",0.25,"1,833","-18,940","5,284",248,"-13,408",70.9,"3,001","28,959",11,126,0.44,"2,126.00","2,090.50","1,984.25","1,892.92","1,700.38",-,"48,520","44,659","42,955"
2026/04/24,"2,110.00","2,190.00","2,105.00","2,185.00",105.00,5.05,4.09,"52,392","174,859",0.3,"1,129","8,306","1,168",256,"9,729",71,"1,488","25,958",34,115,0.44,"2,078.00","2,063.00","1,963.00","1,884.50","1,693.67",-,"38,678","39,869","40,198"
2026/04/23,"2,090.00","2,135.00","2,055.00","2,080.00",30.00,1.46,3.9,"54,918","161,370",0.34,"1,148","7,193",754,"-1,379","6,569",71,-785,"24,470",3,81,0.33,"2,047.00","2,044.50","1,946.00","1,877.08","1,687.79",-,"37,086","38,540","39,912"
2026/04/22,"2,045.00","2,070.00","2,040.00","2,050.00",0.00,0,1.46,"27,457","83,438",0.33,564,"-2,132",-742,-326,"-3,200",70.9,148,"25,255",-4,78,0.31,"2,048.00","2,032.00","1,932.50","1,870.58","1,682.79",-,"33,297","36,653","38,694"
2026/04/21,"2,050.00","2,075.00","2,045.00","2,050.00",25.00,1.23,1.48,"28,056","75,235",0.37,578,"2,210",696,-77,"2,829",70.9,-905,"25,107",3,82,0.33,"2,054.00","2,022.00","1,920.50","1,864.92","1,677.79",-,"37,171","39,289","39,419"
2026/04/20,"2,030.00","2,055.00","2,025.00","2,025.00",-5.00,-0.25,1.48,"30,566","99,020",0.31,624,"-3,033",661,-70,"-2,442",70.9,342,"26,012",-36,79,0.3,"2,055.00","2,003.00","1,910.00","1,859.25","1,673.08",-,"40,797","38,473","40,701"
2026/04/17,"2,055.00","2,060.00","2,030.00","2,030.00",-55.00,-2.64,1.44,"44,433","254,377",0.17,908,"-9,383","-2,186",-270,"-11,838",70.9,"-1,195","25,670",-13,115,0.45,"2,048.00","1,981.50","1,901.25","1,853.67","1,668.42",-,"41,061","38,349","41,111"
2026/04/16,"2,080.00","2,090.00","2,055.00","2,085.00",5.00,0.24,1.68,"35,974","121,077",0.3,747,"-2,390",306,"1,084","-1,000",71,-13,"26,865",32,128,0.48,"2,042.00","1,964.00","1,895.00","1,847.83","1,663.38",-,"39,993","38,552","40,174"
2026/04/15,"2,065.00","2,100.00","2,060.00","2,080.00",25.00,1.22,1.95,"46,825","144,126",0.32,974,"4,826",-138,244,"4,931",71,-420,"26,878",25,96,0,"2,016.00","1,931.50","1,884.25","1,841.17","1,657.79",-,"40,009","42,538","39,713"
2026/04/14,"2,015.00","2,055.00","2,010.00","2,055.00",65.00,3.27,2.26,"46,188","175,477",0.26,939,"18,955",615,653,"20,223",71,-842,"27,299",18,71,0.26,"1,990.00","1,901.50","1,872.50","1,834.42","1,652.46",-,"41,407","42,482","39,142"
2026/04/13,"1,985.00","1,995.00","1,975.00","1,990.00",-10.00,-0.50,1.00,"31,883","123,461",0.26,633,"-1,275","-4,823",53.3,"-6,045",70.9,924,"28,141",-7,53,0.19,"1,951.00","1,878.00","1,863.00","1,828.58","1,647.13",-,"36,148","41,252","38,648"
2026/04/10,"1,975.00","2,000.00","1,970.00","2,000.00",45.00,2.3,1.53,"39,096","125,121",0.31,777,"8,160",-175,375,"8,359",70.9,581,"27,217",19,60,0.22,"1,915.00","1,863.00","1,857.75","1,823.25","1,642.50",-,"35,638","40,527","39,087"
2026/04/09,"1,945.00","1,955.00","1,930.00","1,955.00",5.00,0.26,1.28,"36,055","90,439",0.4,701,722,-104,-497,121,70.8,32,"26,636",-15,41,0.15,"1,886.00","1,847.50","1,854.75","1,816.33","1,637.50",-,"37,110","41,284","39,094"
2026/04/08,"1,935.00","1,950.00","1,925.00","1,950.00",90.00,4.84,1.34,"53,813","169,595",0.32,"1,045","18,393",452,"1,711","20,556",70.8,797,"26,797",20,39,0.15,"1,847.00","1,833.00","1,849.50","1,809.58","1,632.58",-,"45,066","40,735","39,638"
2026/04/07,"1,850.00","1,860.00","1,835.00","1,860.00",50.00,2.76,1.38,"19,895","72,329",0.28,368,"5,880",421,91,"6,393",70.8,-598,"26,000",12,19,0.07,"1,813.00","1,819.00","1,842.50","1,802.42","1,627.38",-,"43,558","39,549","41,669"
2026/04/02,"1,865.00","1,865.00","1,805.00","1,810.00",-45.00,-2.43,3.23,"29,332","189,628",0.15,535,"-9,386",-193,136,"-9,442",70.7,245,"26,598",-2,7,0.03,"1,805.00","1,817.00","1,844.00","1,796.92","1,622.75",-,"46,355","42,930","42,390"
2026/04/01,"1,840.00","1,855.00","1,830.00","1,855.00",95.00,5.4,1.42,"46,457","103,263",0.45,857,"6,181",633,"2,463","9,277",70.8,-255,"26,353",9,9,0.03,"1,811.00","1,821.00","1,848.50","1,791.92","1,618.50",-,"45,416","43,872","43,748"
2026/03/31,"1,775.00","1,790.00","1,760.00","1,760.00",-20.00,-1.12,1.69,"75,832","472,213",0.16,"1,342","-20,438","1,421","2,732","-16,285",70.8,-87,"26,608",0,0,0,"1,809.00","1,826.00","1,849.00","1,785.92","1,614.04",-,"45,457","41,796","45,657"
