分類,項目,2026Q2,2026Q1,2025Q4,2025Q3,2025Q2,2025Q1,2024Q4,2024Q3,2024Q2,2024Q1,2023Q4,2023Q3,2023Q2,2023Q1,2022Q4,2022Q3,2022Q2,2022Q1,2021Q4,2021Q3,2021Q2,2021Q1,2020Q4,2020Q3,2020Q2,2020Q1,2019Q4,2019Q3,2019Q2,2019Q1,2018Q4,2018Q3,2018Q2,2018Q1,2017Q4,2017Q3,2017Q2,2017Q1,2016Q4,2016Q3,2016Q2,2016Q1,2015Q4,2015Q3,2015Q2,2015Q1,2014Q4,2014Q3,2014Q2,2014Q1,2013Q4,2013Q3,2013Q2,2013Q1,2012Q4,2012Q3,2012Q2,2012Q1,2011Q4,2011Q3,2011Q2,2011Q1,2010Q4,2010Q3,2010Q2,2010Q1,2009Q4,2009Q3,2009Q2,2009Q1,2008Q4,2008Q3,2008Q2,2008Q1,2007Q4,2007Q3,2007Q2,2007Q1,2006Q4,2006Q3,2006Q2,2006Q1,2005Q4,2005Q3,2005Q2,2005Q1,2004Q4,2004Q3,2004Q2,2004Q1,2003Q4,2003Q3,2003Q2,2003Q1,2002Q4,2002Q3,2002Q2,2002Q1,2001Q4,2001Q3,2001Q2,2001Q1,2000Q4,2000Q3,2000Q2,2000Q1,1999Q4,1999Q3,1999Q2,1999Q1,1998Q4,1998Q3,1998Q2,1998Q1,1997Q4,1997Q3,1997Q2,1997Q1,1996Q4,1996Q3,1996Q2,1996Q1,1995Q4,1995Q3,1995Q2,1995Q1,1994Q4,1994Q3
資產,現金（億）,-,-,"2,593","2,593","2,593","2,593","2,593","2,593","2,593","2,594","2,593","2,593","2,593","2,593","2,593","2,593","2,593","2,593","2,593","2,593","2,593","2,593","2,593","2,593","2,593","2,593","2,593","2,593","2,593","2,593","2,593","2,593","2,593","2,593","2,593","2,593","2,593","2,593","2,593","2,593","2,593","2,593","2,593","2,593","2,593","2,593","2,593","2,593","2,593","2,593","2,593","2,593","2,593","2,593","2,592","2,592","2,592","2,592","2,592","2,592","2,591","2,591","2,591","2,591","2,591","2,590","2,590","2,590","2,563","2,563","2,563","2,590","2,563","2,563","2,643","2,643","2,642","2,583","2,583",-,"2,582",-,"2,473",-,"2,473",-,"2,325",-,0,-,"2,027",-,-,-,"1,862",-,-,-,"1,683",-,-,-,"1,169",-,-,-,852,-,-,-,605,-,-,-,408,-,-,-,265,-,-,-,144,-,-,-,-,-
資產,應收帳款（億）,-,-,209,193,177,176,165,154,146,140,133,129,123,119,114,106,96.3,89.3,83.6,80.1,76.8,74.8,71.3,68.9,66.4,64.6,62.5,61.2,59.9,67.2,64.7,60.8,57.5,61.9,58.7,55.2,51.7,56.1,53.6,49.5,46.1,49.4,47.1,44.4,41.1,43.3,40.3,36.9,33.8,34.6,32.7,31,28.8,29.6,27.9,26,24.2,25.5,24.3,23.1,21.8,23.4,22.2,20.7,19,20.4,19.1,17.9,16.9,18.8,18.6,18,17.5,19.9,19,19,17.8,20.5,19.7,-,17.3,-,18,-,15.6,-,17.2,-,15,-,16.2,-,-,-,14.8,-,-,-,15.3,-,-,-,20.2,-,-,-,15.7,-,-,-,13.9,-,-,-,17,-,-,-,19.6,-,-,-,23.3,-,-,-,-,-
資產,存貨（億）,-,-,91,91,91,91,91,89,89,89,89,89,89,89,89,89,89,89,87,89,89,89,89,89,91,91,89,85,79,81,94,91,91,91,91,91,89,94,91,91,89,91,94,94,89,94,91,94,89,89,89,91,89,87,89,94,89,89,94,94,91,94,96,96,91,96,91,85,72,60,94,94,89,94,94,91,85,83,96,-,91,-,94,-,81,-,89,-,25,-,79,-,-,-,68,-,-,-,62,-,-,-,91,-,-,-,74,-,-,-,72,-,-,-,83,-,-,-,94,-,-,-,91,-,-,-,-,-
資產,流動資產（億）,-,-,34.9,33.6,33.7,33.6,31.8,30.6,30.1,29.3,26.5,23.9,24.8,27.5,27,27.9,28.8,28.8,28.6,25.6,24.2,22.8,23.9,22.9,19.1,18.4,20.1,21.2,29,29.5,27.6,24.8,30.8,28.2,27.8,22.2,28.7,29.2,28.7,27,34.5,35.8,33.9,32.7,32.9,28.1,24,16.7,19,17.8,19.2,18.4,19.3,17.5,14.9,15.7,20,20.4,18.5,15.6,19.3,17.3,20.6,19.8,25.3,25.5,28.8,29,40.8,40.4,34.8,20.4,30.1,24.2,16.6,16.8,25.6,23,20.1,-,23.8,-,18.6,-,17.3,-,14.9,-,-,-,25.3,-,-,-,17.4,-,-,-,10.2,-,-,-,10.5,-,-,-,12.5,-,-,-,6.88,-,-,-,10.3,-,-,-,23.8,-,-,-,18,-,-,-,-,-
資產,基金投資（億）,-,-,3.56,4.19,3.4,3.42,4.07,4.06,3.55,3.49,3.65,4.06,3.76,2.94,4.66,5.63,5.17,5.35,5.32,5.62,5.82,5.74,5.29,6.17,6.21,6.25,6.17,6.82,5.25,4.88,6.18,6.58,4.45,5.27,6.15,6.46,5.63,5.64,6.86,7.53,6.28,5.62,5.17,6.17,6.42,6.38,7.71,8.5,6.67,5.74,5.71,6.78,7.08,6.22,6.07,7.39,7.01,6.54,5.3,6.21,6.02,6.27,6,7.13,7.13,6.37,5.97,6.66,5.75,2.51,3.33,8.27,7.01,6.39,7.47,7.28,5.98,5.48,5.42,-,6.53,-,7.52,-,6.31,-,5.54,-,-,-,6.48,-,-,-,4.28,-,-,-,4.62,-,-,-,7.55,-,-,-,5.8,-,-,-,5.29,-,-,-,7.46,-,-,-,5.77,-,-,-,9.05,-,-,-,-,-
資產,固定資產（億）,-,-,3.63,3.93,4.34,4.11,4.3,4.75,4.55,4.62,4.54,4.78,4.55,4.28,4.45,4.7,5,5.01,5.18,5.47,5.51,5.29,4.98,4.16,3.5,3.34,3.66,4.53,4.83,4.97,4.94,5.35,4.82,4.16,3.71,4.01,3.07,2.6,2.58,3.14,3.36,3.32,4.05,4.13,4.12,4.15,4.44,4.84,3.79,3.35,2.97,3.14,3.3,3.56,3.94,3.75,3.46,3.31,3.21,3.5,4.02,4.24,3.95,3.99,3.64,3.62,3.52,3.54,3.23,2.67,2.66,3.97,3.8,3.67,4.18,4.18,3.77,3.66,3.65,-,3.38,-,3.41,-,2.96,-,3.11,-,-,-,2.98,-,-,-,2.87,-,-,-,2.68,-,-,-,3.45,-,-,-,3.02,-,-,-,2.88,-,-,-,3.91,-,-,-,3.49,-,-,-,4.27,-,-,-,-,-
資產,無形資產（億）,-,-,48.1,46.7,46.6,46.9,46.2,45,43.3,42.4,39.7,38,38.1,39.6,41.3,43.4,43.9,43.1,43.1,41.1,40.1,39,39.6,39.1,35.1,34.2,36.3,39.8,45.1,45.3,45.5,43.6,46.7,45.3,43,38.3,42.2,42.7,43.3,41.3,47.2,47.1,45.1,44,45.5,44.4,41.9,35.3,34.1,27.4,28.4,28.7,30.1,28,26,28.2,32,31.9,29.1,26.8,30.9,33.4,36.4,36.9,42.1,42.4,43.7,45.1,52.7,48.6,45.2,42.2,48.7,47.1,43.8,42.6,47.8,47,44.3,-,47.1,-,40.9,-,37.9,-,36.9,-,-,-,40.9,-,-,-,26.3,-,-,-,19.3,-,-,-,24.9,-,-,-,25.3,-,-,-,20.3,-,-,-,27.5,-,-,-,33.9,-,-,-,33.3,-,-,-,-,-
資產,其他資產（億）,-,-,2.17,2.03,1.96,2.25,2.23,2.07,2.34,2.39,2.34,2.12,1.84,1.39,1.39,1.63,1.48,1.15,0.79,0.83,0.94,1,1,1.01,0.94,1.32,1.33,1.41,1.31,1.37,1.4,1.51,1.4,1.68,2.09,2.22,2.21,2.3,2.45,2.9,2.96,2.68,2.11,1.97,1.73,2.07,2.01,2.14,2.11,7,7.06,7.57,6.69,6.66,6.84,3.23,3.16,3.56,4.45,4.96,4.45,5.19,5.53,5.96,6.02,6.34,6.36,7.11,5.53,6.46,7.15,7.61,5.19,5.64,6.39,7.84,7.08,8.57,9.17,-,7.2,-,8.16,-,7.67,-,7.63,-,-,-,2.64,-,-,-,2.72,-,-,-,3.16,-,-,-,2.88,-,-,-,6.87,-,-,-,4.73,-,-,-,5.75,-,-,-,8.3,-,-,-,10.3,-,-,-,-,-
資產,資產總額（億）,-,-,46.5,47.6,48.3,47.7,48.3,49.8,51.9,52.7,55.4,57.1,57.2,56.2,54.3,51.9,51.7,52.7,53,54.9,55.7,56.8,56.3,57.1,61,61.4,59.7,56.1,51,50.6,51.3,53.2,50.4,51.5,53.3,57.9,54.2,53.6,52.9,54.4,48.5,48.9,51.5,52.7,51.6,52.2,54.7,61.1,62.2,63.8,62.8,61.8,61.2,62.8,64.2,65.5,61.6,60.9,63.3,64.4,61,58.2,54,52.3,48.2,47.8,46,43.7,38.3,41.1,43.6,45.9,42.6,43.8,45.6,45.2,41.5,41.1,43.3,-,42.3,-,47.1,-,50.3,-,51.8,-,-,-,52,-,-,-,63.1,-,-,-,68.6,-,-,-,66,-,-,-,63.7,-,-,-,70.1,-,-,-,63.5,-,-,-,55.3,-,-,-,55.2,-,-,-,-,-
資產,現金％,-,-,34.9,33.6,33.7,33.6,31.8,30.6,30.1,29.3,26.5,23.9,24.8,27.5,27,27.9,28.8,28.8,28.6,25.6,24.2,22.8,23.9,22.9,19.1,18.4,20.1,21.2,29,29.5,27.6,24.8,30.8,28.2,27.8,22.2,28.7,29.2,28.7,27,34.5,35.8,33.9,32.7,32.9,28.1,24,16.7,19,17.8,19.2,18.4,19.3,17.5,14.9,15.7,20,20.4,18.5,15.6,19.3,17.3,20.6,19.8,25.3,25.5,28.8,29,40.8,40.4,34.8,20.4,30.1,24.2,16.6,16.8,25.6,23,20.1,-,23.8,-,18.6,-,17.3,-,14.9,-,-,-,25.3,-,-,-,17.4,-,-,-,10.2,-,-,-,10.5,-,-,-,12.5,-,-,-,6.88,-,-,-,10.3,-,-,-,23.8,-,-,-,18,-,-,-,-,-
