交易日期,開盤,最高,最低,收盤,漲跌,漲跌%,振幅%,成交張數,成交筆數,成交均張,成交億元,外資,投信,自營,法人合計,外資持股%,融資增減,融資餘額,融券增減,融券餘額,券資比%,5日均線,10日均線,20日均線,60日均線,120日均線,240日均線,5日平均成交量,10日平均成交量,20日平均成交量
2026/04/02,"1,670.00","1,685.00","1,580.00","1,590.00",-70.00,-4.22,6.33,"3,328","7,468",0,54,-243,394,-82,70,58,-270,"1,843",-4,0,0,"1,610.00","1,612.00","1,542.25","1,342.17","1,188.64",997.18,"4,415","4,971","5,282"
2026/04/01,"1,585.00","1,660.00","1,575.00","1,660.00",150.00,9.93,5.63,"4,304","10,534",0,70,-105,385,106,386,58,56,"2,113",-43,4,0,"1,627.00","1,612.00","1,533.75","1,335.92","1,183.59",992.36,"5,162","5,357","5,340"
2026/03/31,"1,600.00","1,610.00","1,495.00","1,510.00",-125.00,-7.65,7.03,"6,030","15,562",0,93,-662,286,-234,-611,58,-168,"2,057",-17,47,2,"1,632.00","1,606.00","1,516.00","1,328.08","1,177.89",987.44,"5,683","5,772","5,380"
2026/03/30,"1,620.00","1,650.00","1,590.00","1,635.00",-20.00,-1.21,3.63,"3,927","7,455",1,64,-197,839,-161,482,58,-65,"2,225",-6,64,3,"1,637.00","1,600.50","1,511.50","1,322.67","1,173.68",983.36,"5,395","5,526","5,319"
2026/03/27,"1,625.00","1,670.00","1,600.00","1,655.00",-20.00,-1.19,4.18,"4,486","7,962",0.56,73.5,-577,54,215,-308,58,379,"2,290",-18,70,3,"1,623.00","1,576.00","1,500.50","1,314.92","1,168.43",979.00,"5,267","5,576","5,330"
2026/03/26,"1,690.00","1,750.00","1,660.00","1,675.00",-10.00,-0.59,5.34,"7,062","10,191",0.69,120,865,149,36.8,"1,051",58.1,"-1,196","1,911",-29,88,4.6,"1,614.00","1,552.50","1,487.75","1,306.92","1,162.88",974.56,"5,527","5,782","5,391"
2026/03/25,"1,580.00","1,685.00","1,580.00","1,685.00",150.00,9.77,6.84,"6,912","11,830",0.58,114,-393,194,95.8,-103,58,875,"3,107",23,117,3.77,"1,597.00","1,535.50","1,476.50","1,298.67","1,157.38",969.98,"5,553","5,479","5,281"
2026/03/24,"1,600.00","1,610.00","1,515.00","1,535.00",-30.00,-1.92,6.07,"4,590","7,342",0.63,71.6,8,206,-136,78,58.1,46,"2,232",-10,94,4.21,"1,580.00","1,515.50","1,462.50","1,290.33","1,152.34",965.50,"5,861","5,207","5,108"
2026/03/23,"1,540.00","1,610.00","1,535.00","1,565.00",-45.00,-2.8,4.66,"3,285","7,369",0.45,51.6,-27,115,-26,61,58.1,-10,"2,186",-1,104,4.76,"1,564.00","1,505.50","1,455.75","1,284.08","1,148.43",961.75,"5,656","5,286","5,268"
2026/03/20,"1,610.00","1,675.00","1,580.00","1,610.00",20.00,1.26,5.97,"5,787","8,270",0.7,94.1,-346,44,101,-201,58.1,-54,"2,196",-7,105,4.78,"1,529.00","1,487.00","1,450.00","1,278.17","1,144.30",957.96,"5,884","5,538","5,484"
