分類,項目,2026Q2,2026Q1,2025Q4,2025Q3,2025Q2,2025Q1,2024Q4,2024Q3,2024Q2,2024Q1,2023Q4,2023Q3,2023Q2,2023Q1,2022Q4,2022Q3,2022Q2,2022Q1,2021Q4,2021Q3,2021Q2,2021Q1,2020Q4,2020Q3,2020Q2,2020Q1,2019Q4,2019Q3,2019Q2,2019Q1,2018Q4,2018Q3,2018Q2,2018Q1,2017Q4,2017Q3,2017Q2,2017Q1,2016Q4,2016Q3,2016Q2
資產,現金（億）,-,-,279,273,252,233,181,128,135,137,141,113,115,103,87,136,69,66.7,62.6,53.7,76.4,57.3,48.9,62.7,56.5,49.8,62.2,53,63.6,51.5,43,33.8,45.7,56.4,39.4,39.9,51.2,48.6,65.2,50.3,43.5
資產,應收帳款（億）,-,-,387,407,389,267,217,136,150,121,117,130,125,122,137,120,128,106,107,93.3,83.5,77.6,91.9,80.3,70.8,66.5,71.2,92.6,68.6,64,81.8,71.8,66.6,45,62.3,53.8,46.3,44.3,43.4,38.8,39.6
資產,存貨（億）,-,-,302,319,262,239,194,178,165,154,136,142,129,129,128,124,142,145,132,124,121,101,81.8,86.8,109,97.1,87.2,88.4,96.3,87.9,78.1,76,72.7,68.7,57.8,59.7,49.6,51.7,35.9,33.5,36.8
資產,流動資產（億）,-,-,"1,211","1,163",967,841,706,571,561,545,500,452,435,418,419,387,345,327,318,292,322,311,284,259,282,275,270,242,239,211,209,192,194,189,174,164,164,170,162,138,137
資產,基金投資（億）,-,-,75.9,80.5,51.4,35.3,60.2,43.6,44.8,40,3.16,2.83,1.44,1.41,1.42,1.73,2.36,2.42,2.07,2.25,2.2,1.92,1.5,1.74,1.87,1.87,2.31,2.59,2.8,2.74,2.47,2.57,2.57,2.76,2.74,3.19,3.15,2.83,2.37,2.01,1.69
資產,固定資產（億）,-,-,92.3,80.5,65.3,59,54.5,46,42.3,37.2,31.8,27.4,23.1,19.1,18,14.1,14.4,14.4,14.9,14.6,14.1,14.6,15,14.7,13.7,13.4,13.2,12.7,11.6,9.73,9.67,9.14,8.42,8.47,8.67,8.8,8.78,8.68,9.2,9.41,9.87
資產,無形資產（億）,-,-,7.42,9.78,10.1,8.35,9.96,1.11,1.38,1.5,1.56,1.52,1.6,1.56,1.68,1.02,1.02,1.1,1.09,0.89,0.87,0.93,0.76,0.76,0.7,0.64,0.55,0.52,0.42,0.38,0.36,0.42,0.41,0.4,0.38,0.31,0.33,0.33,0.38,1.14,1.24
資產,其他資產（億）,-,-,12,10.9,7.4,10.6,7.45,6.03,5.07,4.5,7.06,6.86,3.88,3.44,2.71,2.01,1.93,1.87,3.43,1.45,1.76,2.36,1.35,1.5,1.8,1.87,2,2.06,2.57,2.34,1.9,1.61,1.38,1.26,0.93,1.13,1.08,1.05,1.04,0.89,0.88
資產,資產總額（億）,-,-,"1,432","1,378","1,131",981,865,693,676,650,566,508,482,460,461,423,381,364,350,323,352,338,311,287,309,302,295,266,262,232,224,206,207,202,187,177,178,183,175,151,151
資產,現金％,-,-,19.5,19.8,22.3,23.7,21,18.5,20,21.1,24.9,22.3,23.8,22.5,18.9,32.1,18.1,18.3,17.9,16.7,21.7,17,15.7,21.8,18.3,16.5,21.1,20,24.3,22.3,19.2,16.4,22,28,21,22.5,28.8,26.6,37.3,33.2,28.8
資產,應收帳款％,-,-,27,29.5,34.4,27.3,25.1,19.7,22.2,18.5,20.7,25.6,26,26.6,29.8,28.3,33.5,29.3,30.6,28.9,23.8,23,29.5,28,22.9,22.1,24.1,34.9,26.2,27.6,36.5,34.8,32.1,22.3,33.2,30.3,26,24.2,24.8,25.6,26.3
資產,存貨％,-,-,21.1,23.1,23.2,24.4,22.4,25.7,24.4,23.7,24,27.9,26.9,28.1,27.8,29.4,37.1,40,37.8,38.4,34.4,29.8,26.3,30.2,35.2,32.2,29.5,33.3,36.8,38,34.9,36.8,35,34,30.8,33.7,27.9,28.3,20.5,22.1,24.4
資產,流動資產％,-,-,84.5,84.4,85.5,85.7,81.7,82.4,83,83.9,88.4,88.9,90.3,90.8,90.9,91.6,90.5,89.9,90.8,90.5,91.6,91.9,91.4,90.4,91.1,91.1,91.6,91.1,91.1,91.1,93.3,93.2,93.5,93.4,93.1,92.3,92.3,92.7,92.5,91,90.9
資產,基金投資％,-,-,5.3,5.84,4.55,3.6,6.96,6.29,6.63,6.16,0.56,0.56,0.3,0.31,0.31,0.41,0.62,0.67,0.59,0.7,0.63,0.57,0.48,0.61,0.6,0.62,0.78,0.97,1.07,1.18,1.1,1.24,1.24,1.37,1.46,1.8,1.77,1.55,1.36,1.33,1.12
資產,固定資產％,-,-,6.44,5.85,5.77,6.02,6.3,6.63,6.26,5.72,5.62,5.39,4.78,4.16,3.92,3.33,3.78,3.96,4.25,4.53,4.01,4.31,4.83,5.13,4.44,4.45,4.49,4.78,4.44,4.2,4.32,4.43,4.06,4.2,4.62,4.97,4.93,4.74,5.26,6.21,6.54
資產,無形資產％,-,-,0.52,0.71,0.89,0.85,1.15,0.16,0.2,0.23,0.28,0.3,0.33,0.34,0.36,0.24,0.27,0.3,0.31,0.28,0.25,0.28,0.25,0.27,0.23,0.21,0.19,0.2,0.16,0.16,0.16,0.2,0.2,0.2,0.2,0.18,0.19,0.18,0.22,0.75,0.82
資產,其他資產％,-,-,0.84,0.79,0.65,1.08,0.86,0.87,0.75,0.69,1.25,1.35,0.8,0.75,0.59,0.48,0.5,0.51,0.98,0.45,0.5,0.7,0.43,0.52,0.58,0.62,0.68,0.78,0.98,1.01,0.85,0.78,0.67,0.62,0.5,0.64,0.61,0.57,0.59,0.59,0.58
負債,應付帳款（億）,-,-,688,737,604,419,339,256,276,195,190,203,221,169,170,157,177,142,150,133,182,137,122,109,159,126,136,119,139,101,108,97.7,110,88.5,79.7,77.4,85.3,80,76.8,61.3,65.7
負債,流動負債（億）,-,-,822,845,708,558,469,374,382,318,291,253,255,213,216,194,205,172,176,164,203,164,148,138,177,145,152,137,154,116,121,112,119,98.9,90.7,86.7,95.3,90.2,86.4,68.2,72
負債,長期負債（億）,-,-,0.84,0.88,0.93,1.63,2.81,3.16,3.9,4.65,5.38,6.12,6.86,7.59,26.1,33,8.71,9.36,10,10.7,11.5,11.7,11.6,12.3,11.5,11.1,9.21,6.53,1,0.03,0,0,0,0,-,-,-,-,-,-,-
負債,其他負債（億）,-,-,0.39,0.19,0.19,0.23,0.21,0.18,0.2,0.21,0.24,0.14,0.17,0.2,0.24,0.48,0.53,0.61,0.68,0.69,0.73,0.76,0.78,0.81,0.79,0.83,0.88,0.31,0.32,0.32,0.31,0.3,0.3,0.3,0.3,0.25,0.25,0.25,0.27,0.23,0.23
負債,負債總額（億）,-,-,856,881,738,584,500,402,408,347,314,277,277,235,256,241,225,194,195,183,223,182,166,157,195,164,167,147,159,120,121,112,120,99.2,91,87,95.6,90.5,86.7,68.5,72.3
負債,應付帳款％,-,-,48,53.5,53.4,42.7,39.2,36.9,40.9,29.9,33.6,40,45.8,36.7,37,37.1,46.5,39.2,42.9,41.4,51.7,40.5,39.2,38.1,51.3,41.8,46.2,44.8,53.1,43.6,48.3,47.3,52.9,43.9,42.5,43.7,47.9,43.7,43.9,40.5,43.5
負債,流動負債％,-,-,57.4,61.3,62.6,56.9,54.3,53.9,56.5,48.9,51.4,49.7,53,46.2,46.8,45.9,53.7,47.2,50.4,50.7,57.7,48.6,47.7,48.1,57.1,48.2,51.6,51.4,58.8,50.1,53.9,54.1,57.6,49,48.4,48.9,53.5,49.3,49.4,45.1,47.7
負債,長期負債％,-,-,0.06,0.06,0.08,0.17,0.32,0.46,0.58,0.72,0.95,1.2,1.42,1.65,5.66,7.81,2.28,2.57,2.87,3.33,3.26,3.46,3.74,4.28,3.7,3.68,3.12,2.46,0.38,0.01,0,0,0,0,-,-,-,-,-,-,-
負債,其他負債％,-,-,0.03,0.01,0.02,0.02,0.02,0.03,0.03,0.03,0.04,0.03,0.04,0.04,0.05,0.11,0.14,0.17,0.19,0.21,0.21,0.22,0.25,0.28,0.26,0.28,0.3,0.12,0.12,0.14,0.14,0.15,0.15,0.15,0.16,0.14,0.14,0.14,0.15,0.15,0.15
負債,負債總額％,-,-,59.8,63.9,65.3,59.5,57.9,58,60.3,53.4,55.5,54.5,57.5,51,55.6,57,59.1,53.2,55.6,56.7,63.3,53.9,53.5,54.6,63,54.3,56.6,55.4,60.8,51.7,54.1,54.3,57.7,49.2,48.5,49.1,53.7,49.4,49.5,45.2,47.9
