分類,項目,26M04,26M03,26M02,26M01,25M12,25M11,25M10,25M09,25M08,25M07,25M06,25M05,25M04,25M03,25M02,25M01,24M12,24M11,24M10,24M09,24M08,24M07,24M06,24M05,24M04,24M03,24M02,24M01,23M12,23M11,23M10,23M09,23M08,23M07,23M06,23M05,23M04,23M03,23M02,23M01,22M12
月營收,營收（億）,-,-,235.8,215.3,260.5,225.5,233.6,243.2,256.4,229.9,245.4,182.8,177.8,173.2,129.1,125.3,155.4,125.5,108.8,100.5,94.17,87.29,86.19,87.77,70.17,76.18,53.45,58.85,79.28,68.5,71.78,75.15,74.01,75.1,73.24,64.73,63.22,73.04,61.12,62.7,87.7
月營收,月增 %,-,-,9.54,-17.4,15.5,-3.46,-3.92,-5.14,11.5,-6.32,34.3,2.8,2.68,34.2,3.05,-19.4,23.8,15.3,8.31,6.69,7.88,1.27,-1.79,25.1,-7.89,42.5,-9.18,-25.8,15.7,-4.57,-4.48,1.53,-1.45,2.53,13.2,2.37,-13.4,19.5,-2.51,-28.5,28.6
月營收,年增 %,-,-,82.7,71.9,67.6,79.7,114.7,142,172.2,163.4,184.8,108.3,153.4,127.3,141.5,112.8,96,83.2,51.6,33.7,27.2,16.2,17.7,35.6,11,4.29,-12.6,-6.13,-9.6,0.48,8.58,2.26,15.8,9.78,5.93,5.14,12.4,8.21,64.2,19.2,30.5
本益比,目前本益比,33.74,32.04,29.71,23.66,25.14,22.86,25.37,25.94,27.29,26.15,23.53,25.21,21.15,21.64,27.02,32.89,35.97,32.63,29.4,30.54,29.43,29.64,32.74,30.09,27.89,28.32,31.98,32.84,32.71,33.22,30.97,30.53,29.52,23.53,21.44,21.82,18.6,19.97,18.23,16.14,16.02
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
