交易日期,開盤,最高,最低,收盤,漲跌,漲跌%,振幅%,成交張數,成交筆數,成交均張,成交億元,外資,投信,自營,法人合計,外資持股%,融資增減,融資餘額,融券增減,融券餘額,券資比%,5日均線,10日均線,20日均線,60日均線,120日均線,240日均線,5日平均成交量,10日平均成交量,20日平均成交量
2026/05/08,640.00,670.00,638.00,650.00,11.00,1.72,5.01,"9,024","14,208",1,59,"3,220",-997,48,"2,271",35,63,"2,551",7,54,2,619.80,602.90,597.40,561.34,566.28,612.97,"6,846","5,066","4,719"
2026/05/07,633.00,655.00,625.00,639.00,10.00,1.59,4.77,"9,859","14,986",1,63,"-1,232","1,110",149,28,35,34,"2,488",2,47,2,606.00,597.70,593.30,558.96,566.60,612.80,"5,656","4,733","4,390"
2026/05/06,598.00,634.00,596.00,629.00,39.00,6.61,6.44,"8,877","16,415",1,55,"1,598",831,251,"2,680",35,101,"2,454",24,45,2,595.80,594.70,589.45,556.81,567.03,612.65,"4,171","4,215","4,069"
2026/05/05,590.00,594.00,588.00,590.00,-1.00,-0.17,1.02,"2,560","4,108",1,15,-105,-434,-34,-573,35,-19,"2,353",-2,21,1,587.60,591.70,585.50,554.73,567.60,612.54,"2,863","3,841","3,761"
2026/05/04,588.00,597.00,582.00,591.00,10.00,1.72,2.58,"3,911","5,829",1,23,-115,-193,-15,-323,35,-74,"2,372",5,23,1,587.20,593.20,583.75,553.31,568.59,612.55,"2,967","3,996","3,802"
2026/04/30,585.00,590.00,581.00,581.00,-7.00,-1.19,1.53,"3,075","5,093",1,18,"-1,388",31,-3,"-1,361",35,30,"2,446",-2,18,1,586.00,594.00,582.55,552.04,569.57,612.56,"3,285","4,179","3,761"
2026/04/29,590.00,595.00,585.00,588.00,0.00,0.00,1.70,"2,431","3,595",1,14,-456,-335,4,-788,35,112,"2,416",0,20,1,589.40,594.80,580.95,550.88,570.64,612.59,"3,810","4,291","3,825"
2026/04/28,589.00,591.00,583.00,588.00,0.00,0.00,1.36,"2,336","4,836",0,14,-805,-330,-101,"-1,236",35,50,"2,304",-1,20,1,593.60,594.40,579.65,549.43,571.69,612.54,"4,259","4,467","3,862"
2026/04/27,587.00,596.00,585.00,588.00,3.00,0.51,1.88,"3,081","5,036",1,18,251,-143,-98,10,35,-101,"2,254",-1,21,1,595.80,593.60,579.10,548.13,572.60,612.54,"4,818","4,577","3,869"
2026/04/24,598.00,601.00,584.00,585.00,-13.00,-2.17,2.84,"5,502","9,668",1,32,"-2,344",86,-131,"-2,389",35,203,"2,355",-9,22,1,599.20,592.60,578.40,546.83,573.53,612.51,"5,025","4,560","3,878"
2026/04/23,613.00,619.00,591.00,598.00,-11.00,-1.81,4.60,"5,701","9,735",1,34,"-1,677",352,-36,"-1,361",35,36,"2,152",2,31,1,602.00,591.90,577.40,545.58,574.41,612.51,"5,073","4,372","3,820"
2026/04/22,598.00,609.00,595.00,609.00,10.00,1.67,2.34,"4,674","7,147",1,28,436,133,10,579,35,-248,"2,116",2,29,1,600.20,588.90,575.75,544.29,575.15,612.45,"4,771","4,046","3,702"
2026/04/21,606.00,609.00,592.00,599.00,-6.00,-0.99,2.81,"5,134","9,736",1,31,"-1,727",313,-12,"-1,426",35,79,"2,364",-12,27,1,595.20,584.20,573.45,542.94,575.78,612.38,"4,676","3,923","3,726"
2026/04/20,606.00,609.00,601.00,605.00,6.00,1.00,1.34,"4,113","6,863",1,25,-276,132,74,-70,36,-58,"2,285",6,39,2,591.40,579.30,572.60,541.59,576.50,612.15,"4,336","3,681","3,719"
2026/04/17,590.00,608.00,588.00,599.00,10.00,1.70,3.40,"5,743","9,132",1,34,"1,472",-298,80,"1,254",36,-62,"2,343",7,33,1,586.00,574.30,571.25,540.61,577.15,611.89,"4,096","3,608","3,718"
2026/04/16,584.00,595.00,584.00,589.00,5.00,0.86,1.88,"4,191","5,849",1,25,-490,-149,28,-611,35,-70,"2,405",1,26,1,581.80,571.10,571.00,539.44,577.89,611.53,"3,671","3,344","3,675"
2026/04/15,584.00,587.00,580.00,584.00,4.00,0.69,1.21,"4,199","5,272",1,25,-824,-73,-139,"-1,036",36,-103,"2,475",0,25,1,577.60,567.10,571.20,538.46,578.79,611.29,"3,321","3,359","3,680"
2026/04/14,584.00,585.00,578.00,580.00,2.00,0.35,1.21,"3,432","5,003",1,20,-729,-50,-2,-780,36,-38,"2,578",2,25,1,573.20,564.90,571.45,537.78,579.56,611.11,"3,171","3,256","3,669"
2026/04/13,573.00,579.00,565.00,578.00,0.00,0.00,2.42,"2,914","4,628",1,17,-328,84,-5,-249,36,-3,"2,616",0,23,1,567.20,564.60,571.90,537.09,580.50,610.96,"3,026","3,161","3,877"
2026/04/10,584.00,584.00,575.00,578.00,10.00,1.76,1.58,"3,617","5,671",1,21,-324,-135,5,-454,36,-11,"2,619",3,23,1,562.60,564.20,572.05,536.56,581.44,610.86,"3,120","3,195","4,221"
2026/04/09,563.00,568.00,560.00,568.00,6.00,1.07,1.42,"2,443","3,760",1,14,-103,13,12,-78,36,8,"2,630",-4,20,1,560.40,562.90,572.35,536.18,582.33,610.79,"3,017","3,267","4,543"
2026/04/08,565.00,571.00,561.00,562.00,12.00,2.18,1.82,"3,448","5,433",1,20,330,4,7,341,36,-17,"2,618",3,24,1,556.60,562.60,570.50,535.84,583.30,610.69,"3,397","3,358","4,683"
2026/04/07,561.00,563.00,545.00,550.00,-5.00,-0.90,3.24,"2,710","4,798",1,15,-958,274,55,-628,36,-1,"2,635",2,21,1,556.60,562.70,568.25,535.48,584.25,610.48,"3,342","3,529","4,718"
