分類,項目,2026Q2,2026Q1,2025Q4,2025Q3,2025Q2,2025Q1,2024Q4,2024Q3,2024Q2,2024Q1,2023Q4,2023Q3,2023Q2,2023Q1,2022Q4,2022Q3,2022Q2,2022Q1,2021Q4,2021Q3,2021Q2,2021Q1,2020Q4,2020Q3,2020Q2,2020Q1,2019Q4,2019Q3,2019Q2,2019Q1,2018Q4,2018Q3,2018Q2,2018Q1,2017Q4,2017Q3,2017Q2,2017Q1,2016Q4,2016Q3,2016Q2
資產,現金（億）,-,-,901,740,930,"1,115",940,798,652,721,792,724,682,715,693,403,332,355,678,392,696,754,568,629,568,617,791,611,700,596,640,701,762,774,722,611,710,748,877,714,671
資產,應收帳款（億）,-,-,"1,405","1,506","1,308","1,121","1,083","1,204","1,123",884,882,"1,044",988,948,926,"1,094","1,041","1,010",979,974,940,758,766,852,791,512,715,775,704,797,829,885,797,753,855,902,810,812,852,835,786
資產,存貨（億）,-,-,"1,976","1,670","1,502","1,555","1,526","1,506","1,551","1,352","1,228","1,269","1,245","1,243","1,425","1,852","2,173","2,043","1,673","1,596","1,382","1,138",973,920,874,827,744,793,806,873,943,959,886,864,831,915,964,902,871,807,870
資產,流動資產（億）,-,-,"4,538","4,174","3,974","4,034","3,792","3,712","3,545","3,151","3,072","3,217","3,087","3,060","3,222","3,591","3,749","3,586","3,487","3,106","3,141","2,920","2,606","2,686","2,491","2,162","2,402","2,361","2,320","2,384","2,549","2,681","2,629","2,545","2,576","2,546","2,613","2,561","2,740","2,452","2,449"
資產,基金投資（億）,-,-,"1,131","1,155","1,150","1,309","1,322","1,337","1,425","1,412","1,269","1,169","1,187","1,119","1,040",983,"1,014","1,144","1,128","1,073","1,063","1,043",988,811,783,623,727,629,618,605,552,592,538,592,588,622,676,686,629,659,539
資產,固定資產（億）,-,-,214,205,204,212,208,207,206,203,201,202,202,195,195,195,193,195,194,200,207,208,210,223,221,223,224,218,202,177,167,163,162,156,153,150,146,137,137,133,95.2
資產,無形資產（億）,-,-,133,126,126,29.3,28.9,27.9,25.3,26.1,26.9,27.4,28,21.3,20.6,20.8,21,21.8,21.9,22.3,21.1,21.1,21.8,22.4,23.2,23,21.8,19.2,19.8,20.2,20.7,21.3,20.9,19,19.5,18.3,18.6,18.9,19,19.1,19.4
資產,其他資產（億）,-,-,44.7,39.2,35.1,28.8,28.5,15.2,17.6,20,45.1,29.5,29.7,30.4,31.3,29.4,27.7,28.4,30.5,32.4,32.4,14.8,13.7,14.1,14.5,13.5,13.9,13.8,17.2,16.2,35.1,34.5,32.1,32.3,31.1,24.2,22.5,31.4,29,32.8,31.1
資產,資產總額（億）,-,-,"6,317","5,892","5,686","5,801","5,565","5,494","5,415","5,014","4,801","4,863","4,750","4,639","4,712","4,999","5,189","5,158","5,042","4,586","4,608","4,338","3,965","3,888","3,664","3,177","3,520","3,371","3,312","3,337","3,422","3,581","3,470","3,438","3,449","3,449","3,563","3,521","3,642","3,380","3,221"
資產,現金％,-,-,14.3,12.6,16.4,19.2,16.9,14.5,12,14.4,16.5,14.9,14.4,15.4,14.7,8.06,6.41,6.89,13.5,8.56,15.1,17.4,14.3,16.2,15.5,19.4,22.5,18.1,21.1,17.9,18.7,19.6,22,22.5,20.9,17.7,19.9,21.3,24.1,21.1,20.8
