交易日期,開盤,最高,最低,收盤,漲跌,漲跌%,振幅%,成交張數,成交筆數,成交均張,成交億元,外資,投信,自營,法人合計,外資持股%,融資增減,融資餘額,融券增減,融券餘額,券資比%,5日均線,10日均線,20日均線,60日均線,120日均線,240日均線,5日平均成交量,10日平均成交量,20日平均成交量
2026/04/13,92.80,96.30,91.50,95.10,2.30,2.48,5.17,"8,754","6,465",1,8,"1,150",-413,260,997,13,304,"26,787",257,270,1,92.48,90.96,90.68,91.44,83.08,70.94,"9,915","7,712","7,141"
2026/04/10,95.00,96.60,91.90,92.80,-1.20,-1.28,5.00,"4,697","5,956",1,4,-84,5,-32,-112,13,-626,"26,483",-10,13,0,90.46,91.00,90.19,91.34,82.83,70.76,"8,751","7,838","6,831"
2026/04/09,94.70,95.00,92.00,94.00,-0.50,-0.53,3.17,"6,713","9,830",1,6,"-1,688",1,274,"-1,414",13,825,"27,109",0,23,0,89.58,91.03,89.94,91.29,82.58,70.60,"8,730","7,816","6,820"
2026/04/08,89.00,94.60,88.50,94.50,8.50,9.88,7.09,"21,790","13,701",2,20,"6,185","-4,904",927,"2,208",13,-3,"26,279",11,23,0,87.68,90.65,89.34,91.21,82.32,70.43,"9,402","7,700","6,679"
2026/04/07,86.70,88.00,83.40,86.00,1.00,1.18,5.41,"7,619","6,682",1.14,6.46,"3,111","-4,125",113,-901,12,868,"26,282",-13,12,0,87.54,90.28,88.57,91.11,82.05,70.25,"6,054","6,142","5,724"
2026/04/02,88.80,89.90,84.80,85.00,-3.40,-3.85,5.77,"2,935","3,252",0.9,2.54,-188,11,-118,-295,11.9,150,"25,414",-2,25,0.1,89.44,91.20,88.66,91.15,81.86,70.10,"5,509","6,981","5,445"
2026/04/01,87.50,89.20,86.00,88.40,3.90,4.62,3.79,"4,592","3,899",1.18,4.03,-325,-51,34.7,-341,11.9,312,"25,264",-34,27,0.11,91.54,92.23,88.81,91.21,81.67,69.94,"6,926","7,786","5,472"
2026/03/31,91.30,92.70,84.50,84.50,-9.30,-9.91,8.74,"10,072","6,787",1.48,8.84,"1,861",146,-187,"1,821",12,"-3,023","24,952",55,61,0.24,92.48,92.34,88.62,91.18,81.47,69.78,"6,902","7,977","5,462"
2026/03/30,92.40,94.50,90.20,93.80,-1.70,-1.78,4.5,"5,053","4,867",1.04,4.68,-566,-1,-122,-688,11.6,716,"27,975",0,6,0.02,93.62,92.39,88.90,91.23,81.30,69.64,"5,997","7,111","5,241"
2026/03/27,93.20,96.10,92.60,95.50,0.00,0,3.66,"4,892","6,655",0.74,4.62,16,-749,-31,-765,11.6,665,"27,259",2,6,0.02,93.02,91.44,88.91,91.13,81.06,69.50,"6,230","6,782","5,232"
