分類,項目,2026Q2,2026Q1,2025Q4,2025Q3,2025Q2,2025Q1,2024Q4,2024Q3,2024Q2,2024Q1,2023Q4,2023Q3,2023Q2,2023Q1,2022Q4,2022Q3,2022Q2,2022Q1,2021Q4,2021Q3,2021Q2,2021Q1,2020Q4,2020Q3,2020Q2,2020Q1,2019Q4,2019Q3,2019Q2,2019Q1,2018Q4,2018Q3,2018Q2,2018Q1,2017Q4,2017Q3,2017Q2,2017Q1,2016Q4,2016Q3,2016Q2
資產,現金（億）,-,-,59,55.1,65.5,70.7,66.2,57.1,62.2,55.2,47.3,37.3,50.5,44.1,38.4,36,54.5,48,40.5,29,46.5,42.2,39.3,31.9,42.1,35,36.2,30.5,41.4,36.6,30.4,26.6,40,37.4,33.4,31,40.8,44.4,41.8,44,55.4
資產,應收帳款（億）,-,-,35.1,34.2,35,32.5,31.8,32.8,33.5,29.7,28.1,30.4,28.9,24.3,22.1,26.7,38.2,39.2,43.5,45.1,40.3,37,35.2,34.6,32.8,30.4,30.5,31.4,29.3,26.9,29,32.7,31,28.7,29.2,28.9,26.4,24.8,27.6,25.2,22.1
資產,存貨（億）,-,-,8.42,7.67,7.02,7.11,8.02,8.32,8.39,8.84,10.1,11,12.1,12.6,14.3,16.7,17.5,16.9,13.6,10.8,9.47,8.36,7.73,7.56,6.84,5.39,5.33,4.83,4.65,4.74,5.72,5.39,4.93,4.99,8.61,8.47,8.77,8.82,8.05,7.54,7.37
資產,流動資產（億）,-,-,115,108,118,120,116,107,114,103,94.7,89,102,92.6,86.6,92.2,122,120,114,99,110,99.2,94.4,86.1,93.7,81.5,81.8,76.5,84.5,75,73.5,72.7,83.4,80.3,74.8,71.7,81.5,82.3,82.2,80.7,88.9
資產,基金投資（億）,-,-,40.6,35.1,32.2,26.1,18.9,19.2,25.2,23.7,16.6,12,12.9,11.2,9.85,9.6,10.5,10.5,10.8,12,9.98,11.5,10.9,10.7,10.6,12.1,10.6,11.3,9.67,11.1,11,11.1,12.1,10.2,11.1,9.87,9.12,6.72,6.55,6.56,7.02
資產,固定資產（億）,-,-,122,121,122,121,123,125,125,127,131,135,138,142,145,149,143,141,139,130,123,114,108,105,103,103,101,98.5,99.3,101,102,101,99.8,98.4,93.5,92.5,91.1,88.1,83.5,74.7,73.3
資產,無形資產（億）,-,-,0.86,0.88,0.9,0.8,0.78,0.8,0.83,0.81,0.81,0.83,0.88,0.93,0.98,0.41,0.48,0.54,0.53,0.52,0.55,0.57,0.63,0.69,0.73,0.75,0.81,0.81,0.82,0.81,0.86,0.91,0.73,0.74,0.75,0.71,0.41,0.28,0.21,0.17,0.17
資產,其他資產（億）,-,-,1.33,1.32,1.32,1.32,1.29,1.26,1.25,1.25,1.27,1.27,1.27,1.28,1.28,1.16,1.16,1.16,1.16,1.16,0.91,0.91,0.91,0.91,0.9,0.9,0.91,0.82,0.82,0.82,0.82,0.82,0.82,0.82,0.82,0.82,0.82,0.82,0.77,0.76,0.76
資產,資產總額（億）,-,-,280,267,275,270,261,254,266,256,245,238,256,249,244,253,278,274,265,243,245,227,215,204,209,199,195,188,196,189,188,187,197,191,181,176,183,179,174,163,170
資產,現金％,-,-,21.1,20.6,23.8,26.1,25.4,22.5,23.4,21.6,19.3,15.6,19.8,17.7,15.7,14.3,19.6,17.5,15.3,11.9,19,18.6,18.3,15.7,20.1,17.6,18.5,16.2,21.1,19.3,16.2,14.2,20.3,19.6,18.4,17.6,22.2,24.8,24,27,32.5
資產,應收帳款％,-,-,12.5,12.8,12.8,12,12.2,12.9,12.6,11.6,11.4,12.8,11.3,9.78,9.06,10.6,13.8,14.3,16.4,18.6,16.4,16.3,16.4,17,15.7,15.3,15.6,16.7,15,14.2,15.4,17.5,15.7,15,16.1,16.4,14.4,13.9,15.9,15.4,13
