交易日期,開盤,最高,最低,收盤,漲跌,漲跌%,振幅%,成交張數,成交筆數,成交均張,成交億元,外資,投信,自營,法人合計,外資持股%,融資增減,融資餘額,融券增減,融券餘額,券資比%,5日均線,10日均線,20日均線,60日均線,120日均線,240日均線,5日平均成交量,10日平均成交量,20日平均成交量
2026/04/28,23.95,24.50,23.95,24.40,0.60,2.52,2.31,"76,166","13,617",6,19,"42,752","-14,415","-3,353","24,984",-,-,-,-,-,-,23.96,24.19,24.20,24.03,21.90,19.47,"72,363","66,572","71,999"
2026/04/27,23.95,24.15,23.80,23.80,-0.15,-0.63,1.46,"70,667","12,908",5,17,"14,784","-18,128","-1,806","-5,149",22,-355,"48,617",0,7,0,23.87,24.19,24.18,24.01,21.86,19.43,"70,002","66,108","71,377"
2026/04/24,24.00,24.30,23.90,23.95,0.25,1.05,1.69,"72,816","12,191",6,18,"37,141","-31,109","-1,787","4,245",22,-46,"48,972",4,7,0,23.96,24.23,24.20,23.99,21.82,19.40,"67,054","65,201","70,165"
2026/04/23,23.90,24.15,23.65,23.70,-0.25,-1.04,2.09,"78,758","19,834",4,19,"6,735","-17,849","1,944","-9,171",22,-722,"49,018",1,3,0,24.03,24.29,24.23,23.95,21.79,19.37,"68,762","61,707","68,742"
2026/04/22,24.00,24.20,23.95,23.95,0.00,0.00,1.04,"63,408","11,718",5,15,"22,867","-21,952","1,310","2,225",22,-11,"49,741",0,2,0,24.28,24.38,24.25,23.92,21.76,19.34,"63,268","58,017","68,383"
2026/04/21,24.30,24.45,23.95,23.95,-0.30,-1.24,2.06,"64,359","16,181",4,16,"-6,133","-17,204",-466,"-23,802",22,852,"49,752",-4,2,0,24.41,24.46,24.25,23.87,21.72,19.31,"60,781","56,539","71,763"
2026/04/20,24.50,24.50,24.10,24.25,-0.05,-0.21,1.65,"55,927","11,888",5,14,-196,0,-67,-263,22,-88,"48,900",2,6,0,24.51,24.50,24.28,23.83,21.68,19.27,"62,215","53,753","74,784"
2026/04/17,24.90,24.90,24.25,24.30,-0.65,-2.61,2.61,"81,359","21,173",4,20,"-32,618","-7,256","3,446","-36,428",22,188,"48,989",-14,4,0,24.49,24.51,24.29,23.77,21.64,19.24,"63,349","70,209","75,036"
2026/04/16,24.65,25.10,24.60,24.95,0.35,1.42,2.03,"51,289","11,234",5,13,"22,219","-3,676","-4,551","13,992",22,504,"48,801",-10,18,0,24.54,24.48,24.31,23.71,21.60,19.20,"54,651","70,674","74,193"
2026/04/15,24.75,24.80,24.55,24.60,0.15,0.61,1.02,"50,971","11,611",4,13,"10,430","-5,443","-2,162","2,825",22,-56,"48,297",22,28,0,24.48,24.30,24.31,23.64,21.55,19.16,"52,765","74,982","74,802"
2026/04/14,24.00,24.70,24.00,24.45,0.30,1.24,2.90,"71,528","13,482",5,18,"16,134","-4,764",-184,"11,185",22,-350,"48,353",6,6,0,24.50,24.22,24.32,23.58,21.50,19.13,"52,298","77,426","75,054"
2026/04/13,24.50,24.50,23.90,24.15,-0.40,-1.63,2.44,"61,598","13,917",4,15,"-20,859","9,550","3,555","-7,754",22,438,"48,703",0,0,0,24.48,24.18,24.34,23.52,21.45,19.09,"45,291","76,646","75,337"
2026/04/10,24.65,24.65,24.45,24.55,-0.10,-0.41,0.81,"37,871","6,165",6,9,"1,415","-2,097",993,311,22,-74,"48,265",0,0,0,24.52,24.18,24.36,23.47,21.40,19.05,"77,068","75,129","75,864"
2026/04/09,24.80,24.85,24.45,24.65,-0.05,-0.20,1.62,"41,857","9,064",5,10,"4,273","-1,204",501,"3,570",22,16,"48,339",0,0,0,24.42,24.17,24.35,23.40,21.35,19.02,"86,696","75,777","76,194"
2026/04/08,24.75,24.75,24.35,24.70,0.35,1.44,1.64,"48,634","10,344",5,12,"3,957",-616,"-2,485",856,22,378,"48,323",0,0,0,24.12,24.12,24.33,23.33,21.29,18.98,"97,199","78,750","77,398"
