分類,項目,2026Q2,2026Q1,2025Q4,2025Q3,2025Q2,2025Q1,2024Q4,2024Q3,2024Q2,2024Q1,2023Q4,2023Q3,2023Q2,2023Q1,2022Q4,2022Q3,2022Q2,2022Q1,2021Q4,2021Q3,2021Q2,2021Q1,2020Q4,2020Q3,2020Q2,2020Q1,2019Q4,2019Q3,2019Q2,2019Q1,2018Q4,2018Q3,2018Q2,2018Q1,2017Q4,2017Q3,2017Q2,2017Q1,2016Q4,2016Q3,2016Q2
資產,現金（億）,-,-,759,840,254,299,331,295,256,310,292,372,318,342,315,344,269,358,276,363,251,235,245,225,220,241,242,272,216,207,226,207,198,205,220,214,172,182,203,179,178
資產,買匯放款（億）,-,-,"28,382","29,015","17,857","17,641","16,605","17,010","16,516","16,394","15,248","14,864","14,822","14,482","14,160","14,321","13,922","13,931","13,271","13,396","13,211","12,812","12,437","12,196","11,963","11,904","11,385","11,065","10,772","10,339","10,185","10,279","9,919","9,848","9,596","9,551","9,284","9,084","8,773","8,739","8,578"
資產,基金投資（億）,-,-,"44,172","43,202","12,308","12,645","12,382","11,349","11,921","11,691","11,487","11,326","11,178","10,855","9,931","9,541","9,092","8,838","8,391","8,012","8,295","6,399","6,430","6,244","6,132","6,313","6,090","6,098","5,841","5,680","5,083","5,075","4,715","5,030","4,727","4,584","4,459","4,768","4,493","4,317","4,388"
資產,固定資產（億）,-,-,862,786,249,251,253,254,256,256,257,257,258,259,260,223,223,224,225,225,225,192,192,191,190,190,191,192,192,191,192,192,191,193,191,190,187,186,185,185,184
資產,無形資產（億）,-,-,"6,749","6,701",36.6,36.2,36.7,36,35.7,36,35.7,35.9,36,35,35.3,34.7,32.8,32.2,32.8,32.4,32.9,33.1,32.7,31.7,30.1,24.9,24.6,24.2,24,23.7,22.8,22.6,22.7,22.9,22.8,22,21.9,21.8,22,22,21.5
資產,其他資產（億）,-,-,731,521,230,227,243,195,266,283,180,248,183,139,170,312,264,272,139,126,122,121,83.5,73.7,83,149,85.2,114,86.8,104,117,149,166,71.6,70.1,98.9,85.3,103,157,145,198
資產,資產總額（億）,-,-,"87,755","86,807","33,942","34,153","32,907","33,004","32,377","32,027","30,360","29,893","29,727","28,924","27,648","27,454","26,337","26,342","25,126","24,720","24,724","22,367","21,961","21,401","20,799","21,024","20,309","20,073","19,327","18,830","17,869","17,944","17,492","17,354","16,775","16,607","15,966","15,971","15,770","15,202","15,194"
資產,現金％,-,-,0.86,0.97,0.75,0.88,1.01,0.89,0.79,0.97,0.96,1.25,1.07,1.18,1.14,1.25,1.02,1.36,1.1,1.47,1.02,1.05,1.11,1.05,1.06,1.15,1.19,1.35,1.12,1.1,1.26,1.15,1.13,1.18,1.31,1.29,1.08,1.14,1.29,1.18,1.17
資產,買匯放款％,-,-,32.3,33.4,52.6,51.7,50.5,51.5,51,51.2,50.2,49.7,49.9,50.1,51.2,52.2,52.9,52.9,52.8,54.2,53.4,57.3,56.6,57,57.5,56.6,56.1,55.1,55.7,54.9,57,57.3,56.7,56.8,57.2,57.5,58.1,56.9,55.6,57.5,56.5
資產,基金投資％,-,-,50.3,49.8,36.3,37,37.6,34.4,36.8,36.5,37.8,37.9,37.6,37.5,35.9,34.8,34.5,33.6,33.4,32.4,33.6,28.6,29.3,29.2,29.5,30,30,30.4,30.2,30.2,28.4,28.3,27,29,28.2,27.6,27.9,29.9,28.5,28.4,28.9
資產,固定資產％,-,-,0.98,0.91,0.73,0.74,0.77,0.77,0.79,0.8,0.85,0.86,0.87,0.9,0.94,0.81,0.85,0.85,0.89,0.91,0.91,0.86,0.87,0.89,0.92,0.9,0.94,0.96,0.99,1.02,1.07,1.07,1.09,1.11,1.14,1.14,1.17,1.16,1.17,1.21,1.21
資產,無形資產％,-,-,7.69,7.72,0.11,0.11,0.11,0.11,0.11,0.11,0.12,0.12,0.12,0.12,0.13,0.13,0.12,0.12,0.13,0.13,0.13,0.15,0.15,0.15,0.14,0.12,0.12,0.12,0.12,0.13,0.13,0.13,0.13,0.13,0.14,0.13,0.14,0.14,0.14,0.14,0.14
資產,其他資產％,-,-,0.83,0.6,0.68,0.66,0.74,0.59,0.82,0.88,0.59,0.83,0.61,0.48,0.61,1.14,1,1.03,0.55,0.51,0.49,0.54,0.38,0.34,0.4,0.71,0.42,0.57,0.45,0.55,0.66,0.83,0.95,0.41,0.42,0.6,0.53,0.64,1,0.95,1.31
負債,存款儲金（億）,-,-,"35,812","36,099","23,890","24,238","23,202","22,928","22,618","22,156","21,025","20,533","20,568","20,105","19,147","18,216","17,617","17,392","16,813","16,718","16,485","16,338","16,080","15,606","15,193","14,908","14,341","14,054","13,849","13,358","12,597","12,476","12,164","12,215","11,945","11,720","11,367","11,065","11,041","10,616","10,509"
負債,其他負債（億）,-,-,211,267,238,98,106,99.9,89.9,110,98.1,82.9,63.9,60,69.8,117,88.9,105,141,70.8,60.9,45.6,68.4,112,66.4,53.8,54.5,48.5,47.1,40.9,37.1,40.3,41.3,53.6,47.4,38.5,33.2,36.9,33.6,27.3,27.9
負債,負債總額（億）,-,-,"82,914","82,103","31,817","31,855","30,618","30,745","30,176","29,811","28,194","27,796","27,641","26,815","25,619","25,518","24,474","24,334","23,145","22,771","22,741","20,472","20,099","19,574","19,017","19,230","18,519","18,310","17,594","17,073","16,124","16,362","15,944","15,778","15,222","15,079","14,474","14,459","14,281","13,968","13,993"
負債,存款儲金％,-,-,40.8,41.6,70.4,71,70.5,69.5,69.9,69.2,69.3,68.7,69.2,69.5,69.3,66.4,66.9,66,66.9,67.6,66.7,73,73.2,72.9,73,70.9,70.6,70,71.7,70.9,70.5,69.5,69.5,70.4,71.2,70.6,71.2,69.3,70,69.8,69.2
負債,其他負債％,-,-,0.24,0.31,0.7,0.29,0.32,0.3,0.28,0.34,0.32,0.28,0.21,0.21,0.25,0.43,0.34,0.4,0.56,0.29,0.25,0.2,0.31,0.52,0.32,0.26,0.27,0.24,0.24,0.22,0.21,0.22,0.24,0.31,0.28,0.23,0.21,0.23,0.21,0.18,0.18
負債,負債總額％,-,-,94.5,94.6,93.7,93.3,93,93.2,93.2,93.1,92.9,93,93,92.7,92.7,92.9,92.9,92.4,92.1,92.1,92,91.5,91.5,91.5,91.4,91.5,91.2,91.2,91,90.7,90.2,91.2,91.2,90.9,90.7,90.8,90.7,90.5,90.6,91.9,92.1
股東,股本（億）,-,-,"2,487","2,487","1,298","1,298","1,298","1,298","1,248","1,248","1,248","1,248","1,197","1,197","1,197","1,197","1,141","1,141","1,141","1,141","1,091","1,091","1,091","1,091","1,066","1,066","1,066","1,066","1,044","1,044","1,044","1,043",999,999,998,998,957,952,951,950,886
股東,股東權益（億）,-,-,"4,841","4,704","2,125","2,298","2,289","2,259","2,201","2,216","2,166","2,096","2,087","2,109","2,029","1,936","1,863","2,007","1,981","1,949","1,983","1,895","1,861","1,828","1,782","1,794","1,790","1,762","1,733","1,757","1,745","1,582","1,548","1,576","1,553","1,529","1,492","1,512","1,489","1,234","1,201"
股東,股東權益％,-,-,5.52,5.42,6.26,6.73,6.96,6.84,6.8,6.92,7.13,7.01,7.02,7.29,7.34,7.05,7.07,7.62,7.88,7.88,8.02,8.47,8.47,8.54,8.57,8.53,8.81,8.78,8.97,9.33,9.77,8.81,8.85,9.08,9.26,9.2,9.35,9.47,9.44,8.12,7.91
股東,每股淨值,-,-,18.4,17.9,15.1,16.3,16.3,16,16.2,16.3,16,15.4,16,16.1,15.5,14.8,15.2,16.4,16.2,16,16.9,16.2,15.9,15.6,15.5,15.6,15.6,15.4,15.4,15.6,15.2,14.2,14.4,14.7,14.4,14.2,14.4,14.6,14.3,12.5,13
獲利,營業收入（億）,-,-,609,449,200,248,204,235,214,213,167,165,175,192,190,164,144,166,165,192,161,120,104,120,118,99.8,106,112,108,110,89,103,105,101,95.8,102,92.8,85,86.5,90.9,91.1
獲利,營業毛利（億）,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
獲利,營業利益（億）,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
獲利,業外損益（億）,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
獲利,稅後淨利（億）,-,-,147,124,54.9,47.3,34,60.8,55.6,50.1,25,32.2,38.2,50.6,65.9,38,23.3,21.4,25,48.5,84.8,44.8,27.3,46.4,45.6,25.6,25.7,37,38.2,44,16.8,34.3,40.2,38.1,26.7,35.9,34.7,33.3,16.1,30.8,28.7
獲利,營業毛利％,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
獲利,營業利益％,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
獲利,業外損益％,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
獲利,稅後淨利％,-,-,24.2,27.6,27.5,19.1,16.7,25.9,26,23.5,15,19.5,21.8,26.3,34.6,23.1,16.2,12.9,15.1,25.2,52.8,37.3,26.3,38.6,38.8,25.6,24.1,33.1,35.4,39.9,18.8,33.2,38.4,37.8,27.9,35.2,37.5,39.2,18.6,33.9,31.4
獲利,單季ROE％,-,-,3.09,3.63,2.48,2.06,1.5,2.73,2.52,2.29,1.17,1.54,1.82,2.45,3.33,2,1.2,1.07,1.27,2.47,4.37,2.38,1.48,2.57,2.55,1.43,1.45,2.11,2.19,2.52,1.01,2.19,2.57,2.43,1.73,2.37,2.32,2.22,1.18,2.53,2.36
獲利,年化ROE％,-,-,12.3,14.5,9.93,8.25,5.99,10.9,10.1,9.15,4.69,6.16,7.28,9.79,13.3,7.99,4.82,4.29,5.08,9.87,17.5,9.53,5.91,10.3,10.2,5.71,5.79,8.46,8.75,10.1,4.03,8.76,10.3,9.73,6.93,9.5,9.27,8.88,4.73,10.1,9.44
獲利,單季ROA％,-,-,0.17,0.21,0.16,0.14,0.1,0.19,0.17,0.16,0.08,0.11,0.13,0.18,0.24,0.14,0.09,0.08,0.1,0.2,0.36,0.2,0.13,0.22,0.22,0.12,0.13,0.19,0.2,0.24,0.09,0.19,0.23,0.22,0.16,0.22,0.22,0.21,0.1,0.2,0.19
獲利,年化ROA％,-,-,0.67,0.82,0.64,0.56,0.41,0.74,0.69,0.64,0.33,0.43,0.52,0.72,0.96,0.56,0.35,0.33,0.4,0.78,1.44,0.81,0.5,0.88,0.87,0.5,0.51,0.75,0.8,0.96,0.37,0.77,0.92,0.89,0.64,0.88,0.87,0.84,0.42,0.81,0.76
