分類,項目,2026Q1,2025Q4,2025Q3,2025Q2,2025Q1,2024Q4,2024Q3,2024Q2,2024Q1,2023Q4,2023Q3,2023Q2,2023Q1,2022Q4,2022Q3,2022Q2,2022Q1,2021Q4,2021Q3,2021Q2,2021Q1,2020Q4,2020Q3,2020Q2,2020Q1,2019Q4,2019Q3,2019Q2,2019Q1,2018Q4,2018Q3,2018Q2,2018Q1,2017Q4,2017Q3,2017Q2,2017Q1,2016Q4,2016Q3,2016Q2,2016Q1
資產,現金（億）,-,34.5,24.4,34.3,28.5,28.3,23.5,21.2,18.7,19.8,20.5,19.6,18,19.1,18.9,25.1,26.5,30.5,31.4,40.2,44.9,45.6,46.1,18.3,18.8,11.3,9.45,14.2,13.6,12.3,12.6,14.1,13.1,12.1,11.4,13.7,12.7,11.5,11.1,18.5,19
資產,應收帳款（億）,-,6.98,6.04,5.92,5.81,5.53,7.52,9.06,8.02,5.17,3.7,2.58,1.82,1.82,3.36,2.84,3,3.13,5.41,5.63,5.86,6.17,7,6.84,5.89,4.99,5.29,3.43,1.66,2.29,2.93,2.46,2.29,2.63,2.25,2.86,1.48,1.73,2.27,2.18,1.98
資產,存貨（億）,-,9.23,8.35,7.48,7.59,8.11,9.02,11,11,9.73,6.95,4.82,3.03,3.81,3.86,4.93,5.24,5.97,6.37,6.09,5.29,5.11,5.02,4.78,4.85,4.43,3.83,2.25,1.47,1.65,1.7,2.4,2.24,1.39,1.29,1.48,1.69,1.58,1.75,1.99,2.89
資產,流動資產（億）,-,55.7,51.3,48,44.5,42.2,40.6,41.9,38.4,35.7,31.6,27.4,23.1,26.9,28.3,35.3,37.2,42.1,45.7,54.4,58.4,59.4,60.6,32.3,32.3,23.6,22,23,21.1,20.6,20.2,22.1,20.9,19.3,18.2,21.4,19.7,18.8,19.1,27.3,27.2
資產,基金投資（億）,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
資產,固定資產（億）,-,47.9,48.4,49.6,50.2,51.5,51.6,51.1,50.6,49.7,50.1,50.6,51,49.4,48.6,47.8,46.4,43.3,35.7,29.7,24.2,21.8,18.9,15.6,14.7,13.7,12.3,11.9,11.1,11.2,10.1,10.4,10.7,11.1,11.5,12,12.3,12.8,13.1,13.4,13.5
資產,無形資產（億）,-,0.24,0.22,0.1,0.11,0.14,0.07,0.05,0.07,0.07,0.08,0.1,0.12,0.15,0.17,0.16,0.16,0.18,0.17,0.2,0.17,0.21,0.21,0.15,0.17,0.18,0.18,0.2,0.2,0.22,0.25,0.09,0.03,0.04,0.04,0.05,0.06,0.07,0.05,0.06,0.06
資產,其他資產（億）,-,0.53,0.85,0.49,0.89,0.89,1.12,2.2,2.57,1.52,1.15,1.35,1.37,1.62,1.67,1.78,1.61,2.32,5.57,6.37,4.76,3.04,2.59,2.76,2.23,1.3,0.9,0.19,0.11,0.11,1.04,0.9,0.37,0.14,0.12,0.1,0.16,0.06,0.14,0.33,0.65
資產,資產總額（億）,-,105,102,99.1,96.7,95.6,94.4,96.1,92.6,88,83.9,80.4,76.5,79,79.7,86.1,86.5,89,88.1,91.7,88.5,85.4,83.4,52,50.6,40,36.6,36.8,33.9,32.3,31.7,33.6,32.2,30.8,30,33.7,32.4,31.9,32.6,41.3,41.5
資產,現金％,-,32.8,24.1,34.6,29.5,29.5,25,22,20.2,22.5,24.4,24.4,23.5,24.2,23.8,29.1,30.6,34.3,35.6,43.8,50.8,53.4,55.2,35.2,37.2,28.3,25.8,38.6,40.1,37.9,39.7,42,40.7,39.4,37.9,40.8,39.3,36.2,33.9,44.8,45.7
