交易日期,開盤,最高,最低,收盤,漲跌,漲跌%,振幅%,成交張數,成交筆數,成交均張,成交億元,外資,投信,自營,法人合計,外資持股%,融資增減,融資餘額,融券增減,融券餘額,券資比%,5日均線,10日均線,20日均線,60日均線,120日均線,240日均線,5日平均成交量,10日平均成交量,20日平均成交量
2026/03/31,123.50,124.50,117.00,118.00,-7.50,-5.98,5.98,"4,241","2,721",2,5,-,-,-,-,-,-,-,-,-,-,124.90,126.95,128.60,119.73,114.25,101.58,"5,090","5,608","6,930"
2026/03/30,125.50,126.00,119.00,125.50,-4.00,-3.09,5.41,"6,217","4,901",1,8,-948,0,-46,-994,27,-382,"5,763",-361,39,1,125.50,128.10,129.55,119.68,114.24,101.41,"5,109","5,601","8,249"
2026/03/27,122.00,131.50,121.50,129.50,4.50,3.60,8.00,"4,073","3,507",1.16,5.17,73,0,29,102,27,459,"6,145",58,400,7,124.70,128.80,129.58,119.48,114.14,101.24,"4,877","5,509","8,233"
2026/03/26,128.00,134.00,125.00,125.00,-1.50,-1.19,7.11,"6,345","5,912",1.07,8.25,-82,-1,8.05,-75,26.9,-160,"5,686",342,342,6.01,125.30,129.50,129.25,119.05,114.04,101.06,"5,280","5,653","8,443"
2026/03/25,127.00,130.50,126.50,126.50,5.50,4.55,3.31,"4,573","4,693",0.97,5.86,154,0,20.1,174,26.9,12,"5,846",0,0,0,127.40,130.45,129.03,118.65,113.92,100.88,"5,906","5,822","8,322"
2026/03/24,125.00,126.50,119.50,121.00,-0.50,-0.41,5.76,"4,335","3,909",1.11,5.34,88,0,19,107,26.7,339,"5,834",0,0,0,129.00,131.50,128.88,118.27,113.79,100.73,"6,127","6,444","8,423"
2026/03/23,127.50,130.50,120.50,121.50,-11.00,-8.3,7.55,"5,058","5,479",0.92,6.3,-347,0,-336,-683,26.7,-104,"5,495",-1,0,0,130.70,132.30,128.55,117.98,113.69,100.61,"6,094","6,919","8,314"
2026/03/20,138.50,140.00,132.50,132.50,-3.00,-2.21,5.54,"6,089","5,555",1.1,8.24,-178,0,-324,-502,26.8,562,"5,599",-211,1,0.02,132.90,132.75,128.03,117.70,113.61,100.49,"6,141","7,149","8,226"
2026/03/19,135.00,140.50,133.50,135.50,1.00,0.74,5.2,"9,475","7,993",1.19,13,-5,1,533,529,26.8,-55,"5,037",-278,212,4.21,133.70,132.10,127.20,117.20,113.42,100.32,"6,026","7,239","8,187"
2026/03/18,131.00,135.00,130.00,134.50,5.00,3.86,3.86,"5,676","5,030",1.13,7.57,871,0,55,925,26.8,-30,"5,092",-4,490,9.62,133.50,131.05,126.20,116.68,113.20,100.14,"5,737","7,718","7,848"
2026/03/17,133.00,134.50,128.50,129.50,-3.00,-2.26,4.53,"4,172","4,213",0.99,5.45,339,0,-62,278,26.4,-286,"5,122",-11,494,9.64,134.00,130.25,125.05,116.18,113.01,99.97,"6,762","8,252","7,714"
2026/03/16,137.50,137.50,129.50,132.50,-4.00,-2.93,5.86,"5,295","4,765",1.11,7.01,-924,0,-197,"-1,121",26.2,284,"5,408",-50,505,9.34,133.90,131.00,124.40,115.85,112.87,99.82,"7,743","10,896","7,676"
2026/03/13,131.50,136.50,127.00,136.50,2.00,1.49,7.06,"5,514","4,614",1.2,7.35,799,0,-16,782,26.6,-190,"5,124",49,555,10.8,132.60,130.35,123.55,115.42,112.74,99.66,"8,157","10,957","7,659"
2026/03/12,135.50,142.50,133.50,134.50,-2.50,-1.82,6.57,"8,029","7,537",1.07,11,270,0,-168,102,26.2,-31,"5,314",-22,506,9.52,130.50,129.00,122.13,114.91,112.57,99.48,"8,452","11,234","7,503"
2026/03/11,130.50,138.00,130.00,137.00,8.00,6.20,6.20,"10,798","8,273",1.31,14.6,"3,479",0,311,"3,790",26,-153,"5,345",67,528,10,128.60,127.60,120.58,114.43,112.41,99.31,"9,699","10,823","7,256"
2026/03/10,131.00,131.00,124.50,129.00,3.00,2.38,5.16,"9,081","6,660",1.36,11.6,-772,0,-137,-909,24.2,188,"5,498",13,461,8.38,126.50,126.25,119.33,113.90,112.22,99.12,"9,742","10,403","6,832"
2026/03/09,115.00,126.00,114.00,126.00,0.00,0.00,9.52,"7,365","5,792",1.27,8.96,"1,890",0,48.2,"1,938",24.6,-280,"5,310",16,448,8.44,128.10,124.80,118.73,113.50,112.09,98.97,"14,049","9,710","6,584"
2026/03/06,123.50,130.50,123.00,126.00,1.00,0.8,6,"6,988","5,520",1.27,8.92,702,0,78,780,23.5,-404,"5,590",13,432,7.73,128.10,123.30,118.60,113.13,111.94,98.83,"13,756","9,302","6,530"
2026/03/05,132.50,138.00,123.50,125.00,-1.50,-1.19,11.5,"14,263","10,632",1.34,18.6,"-1,226",0,-188,"-1,414",23.2,266,"5,994",-9,419,6.99,127.50,122.30,118.53,112.75,111.82,98.69,"14,015","9,136","6,399"
2026/03/04,130.00,132.50,123.50,126.50,-10.50,-7.66,6.57,"11,014","8,998",1.22,14,433,0,-134,299,23.6,-764,"5,728",58,428,7.47,126.60,121.35,118.43,112.30,111.72,98.56,"11,946","7,978","5,832"
2026/03/03,132.00,138.50,129.00,137.00,11.00,8.73,7.54,"30,617","20,835",1.47,41.4,-743,0,243,-500,23.4,"2,079","6,492",265,370,5.7,126.00,119.85,118.38,111.87,111.62,98.43,"11,063","7,175","5,540"
2026/03/02,117.50,128.50,117.50,126.00,3.00,2.44,8.94,"5,900","5,546",1.06,7.3,471,0,154,625,23.6,488,"4,413",6,105,2.38,121.50,117.80,117.80,111.24,111.42,98.26,"5,370","4,455","4,510"
2026/02/26,120.50,127.50,120.50,123.00,2.50,2.07,5.81,"8,280","6,674",1.24,10.4,-577,0,62,-515,23.2,356,"3,925",28,99,2.52,118.50,116.75,117.70,110.75,111.32,98.14,"4,847","4,362","5,017"
2026/02/25,124.50,125.00,118.50,120.50,-3.00,-2.43,5.26,"3,920","3,489",1.12,4.72,-942,0,-208,"-1,150",23.5,107,"3,569",-18,71,1.99,117.10,115.25,117.63,110.26,111.24,98.04,"4,256","3,773","5,198"
2026/02/24,114.50,124.00,114.00,123.50,9.00,7.86,8.73,"6,600","5,239",1.26,7.96,"1,311",0,444,"1,755",23.8,-154,"3,462",33,89,2.57,116.10,113.55,117.13,109.98,111.13,97.94,"4,010","3,689","5,065"
2026/02/23,113.50,116.00,113.00,114.50,3.50,3.15,2.7,"2,151","1,842",1.17,2.46,163,0,102,265,23.1,-38,"3,616",3,56,1.55,113.70,112.40,116.55,109.66,111.00,97.84,"3,287","3,262","4,796"
